place_name,place_address,orig_lat,orig_lng,naver_place_id,naver_url,naver_lat,naver_lng,match_confidence,matched_name,matched_address,verification_status,mismatch_flag,mismatch_reason
마곡중앙로(1),서울 강서구 마곡중앙10로 10,37.563497,126.830233,,,,,failed,,,not_matched,false,
마곡중앙로(2),서울 강서구 마곡동 721-7,37.558059,126.826650,,,,,failed,,,not_matched,false,
마곡중앙로(3),서울 강서구 마곡중앙로 168,37.568432,126.828720,,,,,failed,,,not_matched,false,
월드컵북로(5단지앞),서울 마포구 상암동 1715,37.579999,126.887548,,,,,failed,,,not_matched,false,
MBC,서울 마포구 성암로 267,37.581123,126.890989,11582966,https://map.naver.com/p/entry/place/11582966,37.5810495,126.8904967,high,상암동MBC신사옥,서울 마포구 성암로 267 서울 마포구 상암동 1603,verified,false,
누리꿈스퀘어,서울 마포구 월드컵북로 396,37.579428,126.889783,32528619,https://map.naver.com/p/entry/place/32528619,37.5793707,126.8899532,high,누리꿈스퀘어빌딩,서울 마포구 월드컵북로 396 서울 마포구 상암동 1605,verified,false,
당산철교,서울 영등포구 여의도동 80-3,37.539915,126.907842,18999540,https://map.naver.com/p/entry/place/18999540,37.5406275,126.9075996,high,당산철교,서울 영등포구 여의도동,verified,false,
서강대교,서울 영등포구 여의도동 83-1,37.535855,126.924794,18999808,https://map.naver.com/p/entry/place/18999808,37.5378529,126.9255699,high,서강대교,서울 영등포구 여의도동,verified,false,
마포대교,서울 영등포구 여의도동 85-2,37.532429,126.935734,34522486,https://map.naver.com/p/entry/place/34522486,37.5331166,126.9360771,mid,영화[어벤져스2]촬영지(마포대교),서울 영등포구 여의도동 85-2,verified,false,
여의대로,서울 영등포구 여의도동 2-11,37.525698,126.924241,,,,,failed,,,not_matched,false,
IFC,서울 영등포구 국제금융로 10,37.525178,126.924877,21423942,https://map.naver.com/p/entry/place/21423942,37.5251912,126.9258013,high,IFC몰,서울 영등포구 국제금융로 10 IFC몰 B1 서울 영등포구 여의도동 23,verified,false,
스위치22 여의도점,서울 영등포구 여의대로 108,37.525191,126.929113,,,,,failed,,,not_matched,false,
국제금융로,서울 영등포구 여의도동 2-2,37.525493,126.927362,19000062,https://map.naver.com/p/entry/place/19000062,37.523875,126.9252,high,국제금융로2길,서울 영등포구 여의도동,verified,false,
고척스카이돔,서울 구로구 경인로 430,37.498213,126.867089,18967604,https://map.naver.com/p/entry/place/18967604,37.4982105,126.8672613,high,고척스카이돔,서울 구로구 경인로 430 서울 구로구 고척동 63-6,verified,false,
고려대학교 구로병원,서울 구로구 구로동로 148,37.491150,126.884511,18958178,https://map.naver.com/p/entry/place/18958178,37.4918949,126.8844654,high,고려대학교구로병원 본관,서울 구로구 구로동로 148 서울 구로구 구로동 80,verified,false,
올림픽대로,서울 영등포구 여의도동 87-5,37.517397,126.945660,,,,,failed,,,not_matched,false,
노량대교,서울 동작구 본동 477,37.515777,126.953220,19028473,https://map.naver.com/p/entry/place/19028473,37.5147687,126.954494,high,노량대교,서울 동작구 본동,verified,false,
노들로,서울 동작구 노량진동 320-1,37.515580,126.936599,,,,,failed,,,not_matched,false,
강변북로,서울 용산구 이촌동 375,37.521994,126.960328,,,,,failed,,,not_matched,false,
동작대교,서울 용산구 이촌동 385,37.509920,126.981704,18726869,https://map.naver.com/p/entry/place/18726869,37.510825,126.9819963,high,동작대교,서울 용산구 이촌동,verified,false,
녹트,서울 용산구 올림픽대로 2085-96,37.508032,126.984552,1020828516,https://map.naver.com/p/entry/place/1020828516,37.5070431,126.9845639,high,녹트,서울 용산구 올림픽대로 2085-96 THE RIVER 2층 서울 용산구 용산동6가 451,verified,false,
국립서울현충원,서울 동작구 동작동 212-6,37.502144,126.974274,11620310,https://map.naver.com/p/entry/place/11620310,37.5027957,126.9748176,high,국립서울현충원,서울 동작구 서울 동작구 동작동 212-6,verified,false,
국립중앙박물관,서울 용산구 서빙고로 137,37.524702,126.977740,11620570,https://map.naver.com/p/entry/place/11620570,37.5240867,126.980388,high,국립중앙박물관,서울 용산구 서빙고로 137 국립중앙박물관 서울 용산구 용산동6가 168-6,verified,false,
르가드더메인한남,서울 용산구 한남대로10길 16,37.531551,127.009903,,,,,failed,,,not_matched,false,
그랜드하얏트 서울,서울 용산구 소월로 322,37.539763,126.996241,11555954,https://map.naver.com/p/entry/place/11555954,37.5396013,126.997452,high,그랜드 하얏트 서울,서울 용산구 소월로 322 서울 용산구 한남동 747-7,verified,false,
나라약국,서울 용산구 청파로47길 7,37.544706,126.970224,1400757933,https://map.naver.com/p/entry/place/1400757933,37.5447529,126.9701618,high,나라약국,서울 용산구 청파로47길 7 청파새마을금고 서울 용산구 청파동3가 21-9,verified,false,
청춘식당(폐업),서울 용산구 청파로 289,37.545381,126.970195,,,,,failed,,,precheck:closed_place_name,false,
신세계백화점 본점,서울 중구 소공로 63,37.560919,126.980979,1105054687,https://map.naver.com/p/entry/place/1105054687,37.5609695,126.9811547,mid,신세계백화점 본점본관,서울 중구 소공로 63 서울 중구 충무로1가 52-5,verified,false,
대한민국역사박물관,서울 종로구 세종대로 198,37.573714,126.978339,18664755,https://map.naver.com/p/entry/place/18664755,37.5739235,126.9778133,high,대한민국역사박물관,서울 종로구 세종대로 198 대한민국역사박물관 서울 종로구 세종로 82-1,verified,false,
경복궁,서울 종로구 사직로 161,37.575904,126.976842,11571707,https://map.naver.com/p/entry/place/11571707,37.5788408,126.9770162,mid,경복궁,서울 종로구 사직로 161 경복궁 서울 종로구 세종로 1-1,verified,false,
"경복궁,국립민속박물관 정류장(01540)",서울 종로구 세종로 1-61,37.580109,126.979842,,,,,failed,,,not_matched,false,
삼청로,서울 종로구 세종로 3,37.577935,126.979542,,,,,failed,,,not_matched,false,
서울경찰청,서울 종로구 사직로8길 31,37.574946,126.971980,11640195,https://map.naver.com/p/entry/place/11640195,37.5750598,126.9720724,high,서울경찰청,서울 종로구 사직로8길 31 서울경찰청 서울 종로구 내자동 201-11,verified,false,
서순라길,서울 종로구 서순라길 51,37.572815,126.993120,1970513330,https://map.naver.com/p/entry/place/1970513330,37.5728155,126.993122,mid,픽닷 서순라길점,서울 종로구 서순라길 51 1층 서울 종로구 봉익동 12-6,verified,false,
종묘,서울 종로구 종로 157,37.573134,126.994864,11620940,https://map.naver.com/p/entry/place/11620940,37.5758018,126.9939555,mid,종묘,서울 종로구 종로 157 서울 종로구 훈정동 1-2,verified,false,
써브웨이 종암점,서울 성북구 종암로 110,37.600095,127.034338,1235687792,https://map.naver.com/p/entry/place/1235687792,37.6001807,127.034252,high,써브웨이 종암점,서울 성북구 종암로 110 서울 성북구 종암동 3-1192,verified,false,
경희대학교,서울 동대문구 경희대로 26,37.593949,127.054891,12064583,https://map.naver.com/p/entry/place/12064583,37.5941567,127.0537205,high,경희대학교 치과대학,서울 동대문구 경희대로 26 서울 동대문구 회기동 36-8,verified,false,
성신여자대학교 운정그린캠퍼스,서울 강북구 도봉로76가길 55,37.632038,127.027124,20592046,https://map.naver.com/p/entry/place/20592046,37.6322546,127.0275732,high,성신여자대학교 운정그린캠퍼스,서울 강북구 도봉로76가길 55 성신여자대학교운정그린캠퍼스 서울 강북구 미아동 147,verified,false,
응봉산,서울 성동구 금호동4가 1540,37.547091,127.029190,11491502,https://map.naver.com/p/entry/place/11491502,37.5478269,127.029725,mid,응봉산,서울 성동구 금호동4가 1540,verified,false,
청담대교,서울 광진구 자양동 824,37.526286,127.064885,18830462,https://map.naver.com/p/entry/place/18830462,37.5262008,127.0642655,high,청담대교,서울 광진구 자양동,verified,false,
캐틀앤비(폐업),서울 서초구 양재천로 131,37.478802,127.041977,,,,,failed,,,precheck:closed_place_name,false,
시티악기,서울 서초구 남부순환로323길 25,37.482212,127.013503,11736501,https://map.naver.com/p/entry/place/11736501,37.4822175,127.0135994,high,시티악기,서울 서초구 남부순환로323길 25 시티악기 서울 서초구 서초동 1451-72,verified,false,
잠수교,서울 서초구 반포동 649,37.512545,126.996906,18762982,https://map.naver.com/p/entry/place/18762982,37.5145083,126.9965328,high,잠수교,서울 서초구 반포동,verified,false,
서초대로,서울 서초구 서초대로 347,37.495671,127.019253,,,,,failed,,,not_matched,false,
럭셔리판다,서울 강남구 논현로152길 33,37.521720,127.030809,1332411868,https://map.naver.com/p/entry/place/1332411868,37.5216878,127.030865,high,럭셔리판다,서울 강남구 논현로152길 33 서울 강남구 신사동 589-20,verified,false,
