id,place_name,kakao_place_name,kakao_place_url,distance_m,confidence
st_00471,파랑새어린이집,,,,low
st_00472,청자모텔,,,,low
st_00473,"연세로,문화의거리 정류장(13324)",,,,low
st_00474,동해해물탕 골목,,,,low
st_00475,연세로5가길,더케이파티룸&스튜디오,http://place.map.kakao.com/626244777,0.0,mid
st_00476,연세로7안길,미진축산 신촌점,http://place.map.kakao.com/1410278937,0.0,mid
st_00477,연세로4길,룸익스케이프 블랙점,http://place.map.kakao.com/27329834,0.0,mid
st_00478,연세로4길(2),젊은공간프리미엄원룸텔 신촌홍대점,http://place.map.kakao.com/1964456011,95.0,mid
st_00479,르바게트메종(폐업),,,,low
st_00480,이노와이즈신촌,이노와이즈신촌,http://place.map.kakao.com/1819618705,0.0,high
st_00481,필더필딩,계면당,http://place.map.kakao.com/1450478733,0.0,mid
st_00482,인생네컷 신촌점(폐업),,,,low
st_00483,가치,가치,http://place.map.kakao.com/1722716342,0.0,high
st_00484,호텔나루서울 엠겔러리,호텔 나루 서울 엠갤러리 앰배서더,http://place.map.kakao.com/2051491774,16.0,high
st_00485,보라매역부근,,,,low
st_00486,서울공업고등학교,서울공고동창회,http://place.map.kakao.com/10506015,0.0,high
st_00487,완성빌라,완성빌라,http://place.map.kakao.com/551283625,63.0,high
st_00488,바이온,,,,low
st_00489,인천제2시립노인전문병원,인천제2시립노인치매요양병원,http://place.map.kakao.com/13523306,11.0,high
st_00490,삼산경찰서,인천삼산경찰서 전기차충전소,http://place.map.kakao.com/1389782511,0.0,high
st_00491,더쿠스,더쿠스,http://place.map.kakao.com/1859081109,0.0,high
st_00492,조이마당스튜디오,조이마당스튜디오,http://place.map.kakao.com/1470063247,0.0,high
st_03699,조이마당스튜디오,조이마당스튜디오,http://place.map.kakao.com/1470063247,0.0,high
st_04174,조이마당스튜디오,조이마당스튜디오,http://place.map.kakao.com/1470063247,0.0,high
st_05395,조이마당스튜디오,조이마당스튜디오,http://place.map.kakao.com/1470063247,0.0,high
st_06037,조이마당스튜디오,조이마당스튜디오,http://place.map.kakao.com/1470063247,0.0,high
st_06944,조이마당스튜디오,조이마당스튜디오,http://place.map.kakao.com/1470063247,0.0,high
st_08296,조이마당스튜디오,조이마당스튜디오,http://place.map.kakao.com/1470063247,0.0,high
st_11260,조이마당스튜디오,조이마당스튜디오,http://place.map.kakao.com/1470063247,0.0,high
st_14003,조이마당스튜디오,조이마당스튜디오,http://place.map.kakao.com/1470063247,0.0,high
st_15279,조이마당스튜디오,조이마당스튜디오,http://place.map.kakao.com/1470063247,0.0,high
st_16073,조이마당스튜디오,조이마당스튜디오,http://place.map.kakao.com/1470063247,0.0,high
st_16419,조이마당스튜디오,조이마당스튜디오,http://place.map.kakao.com/1470063247,0.0,high
st_16541,조이마당스튜디오,조이마당스튜디오,http://place.map.kakao.com/1470063247,0.0,high
st_16965,조이마당스튜디오,조이마당스튜디오,http://place.map.kakao.com/1470063247,0.0,high
st_17507,조이마당스튜디오,조이마당스튜디오,http://place.map.kakao.com/1470063247,0.0,high
st_17578,조이마당스튜디오,조이마당스튜디오,http://place.map.kakao.com/1470063247,0.0,high
st_18136,조이마당스튜디오,조이마당스튜디오,http://place.map.kakao.com/1470063247,0.0,high
st_18392,조이마당스튜디오,조이마당스튜디오,http://place.map.kakao.com/1470063247,0.0,high
st_00493,우인아크리움빌2오피스텔,우인아크리움빌2오피스텔,http://place.map.kakao.com/8024829,0.0,high
st_00494,명동찌개마을 라페스타점,명동찌개마을 라페스타점,http://place.map.kakao.com/21132935,19.0,high
st_00495,도래울파크뷰,고양 도래울파크뷰아파트 전기차충전소,http://place.map.kakao.com/2100044966,0.0,high
st_00496,스포츠아일랜드 수영장,스포츠아일랜드 수영장,http://place.map.kakao.com/1565910556,0.0,high
st_00497,천주교용인공원묘지,천주교용인공원묘원,http://place.map.kakao.com/10855073,134.0,mid
st_01410,잣절공원 배드민턴장,잣절공원 배드민턴장,http://place.map.kakao.com/912727787,177.0,mid
st_01411,경인자동차 공업사 앞,,,,low
st_01412,미래에코지식산업센터 앞,,,,low
st_01413,루하스사우나,루하스사우나,http://place.map.kakao.com/27387876,41.0,high
st_01414,YTN본사,YTN 본사,http://place.map.kakao.com/9862154,6.0,high
st_08273,YTN본사,YTN 본사,http://place.map.kakao.com/9862154,6.0,high
st_11226,YTN본사,YTN 본사,http://place.map.kakao.com/9862154,6.0,high
st_16937,YTN본사,YTN 본사,http://place.map.kakao.com/9862154,6.0,high
st_19057,YTN본사,YTN 본사,http://place.map.kakao.com/9862154,6.0,high
st_01416,지미 스모크하우스,지미스모크하우스,http://place.map.kakao.com/1921885173,0.0,high
st_01417,느티나무설렁탕,느티나무설렁탕,http://place.map.kakao.com/8853925,2.0,high
st_01418,콤콤오락실 열정도점,,,,low
st_01419,위드피아노 사당점,위드피아노 사당점,http://place.map.kakao.com/26908719,1.0,high
st_01420,하마천경로당,하마천,http://place.map.kakao.com/536428404,0.0,high
st_01421,벌말교,벌말교,http://place.map.kakao.com/14547284,30.0,high
st_01422,명품세탁 넘버원,명품세탁넘버원,http://place.map.kakao.com/560732854,1.0,high
st_01423,카페비투,카페B2,http://place.map.kakao.com/367754572,4.0,high
st_01424,은행나무집 영양탕,은행나무집영양탕,http://place.map.kakao.com/11179540,2.0,high
st_01426,동부빌딩,동부빌딩,http://place.map.kakao.com/27428261,43.0,high
st_01427,두끼 인천삼산점,두끼떡볶이 인천삼산점,http://place.map.kakao.com/1908838870,14.0,high
st_01428,송현방앗간 앞,,,,low
st_01429,신한진빌라,신한진빌라,http://place.map.kakao.com/30911666,0.0,high
st_01430,용현동 집,,,456.0,low
st_01431,수봉남로,수봉하이츠빌라,http://place.map.kakao.com/1654944446,0.0,mid
st_01432,인천미추홀경찰서 학동지구대,,,,low
st_01433,명문숯불갈비,명문숯불갈비,http://place.map.kakao.com/10324553,2.0,high
st_01434,송도랜드마크씨티1호근린공원,랜드마크시티 1호 체육공원,http://place.map.kakao.com/215358829,477.0,mid
st_01435,송도센트럴파크호텔,하나은행365 송도센트럴파크호텔,http://place.map.kakao.com/1392909073,0.0,high
st_01616,송도센트럴파크호텔,하나은행365 송도센트럴파크호텔,http://place.map.kakao.com/1392909073,0.0,high
st_01436,더샵센트럴파크1,우지커피 송도센트럴파크점,http://place.map.kakao.com/1934448805,0.0,high
st_01437,더샵센트럴파크2,더샵센트럴파크2몰,http://place.map.kakao.com/576777812,0.0,high
st_01438,오크우드프리미어 인천 파노라믹65,오크우드프리미어인천 파노라믹65,http://place.map.kakao.com/492426337,20.0,high
st_16072,오크우드프리미어 인천 파노라믹65,오크우드프리미어인천 파노라믹65,http://place.map.kakao.com/492426337,20.0,high
st_01439,송도컨벤시아 사거리,,,,low
st_01440,트리플스트리트,이가네양꼬치 송도트리플스트리트점,http://place.map.kakao.com/1817179235,0.0,high
st_01441,송도국제대로,,,103.0,low
st_01443,의정부성모병원,맛깔참죽 의정부성모병원점,http://place.map.kakao.com/180647346,0.0,high
st_17506,의정부성모병원,맛깔참죽 의정부성모병원점,http://place.map.kakao.com/180647346,0.0,high
st_01444,남포동집,남포동집,http://place.map.kakao.com/15481336,4.0,high
st_01445,헤이리사거리,헤이리사거리,http://place.map.kakao.com/8613110,279.0,mid
st_01446,오눈오네,오눈오네,http://place.map.kakao.com/1548834018,2.0,high
st_16139,오눈오네,오눈오네,http://place.map.kakao.com/1548834018,2.0,high
st_01447,파주행복요양원,,,,low
st_01448,한길육교,한길육교,http://place.map.kakao.com/103886338,438.0,mid
st_01449,초롱유치원,초롱유치원,http://place.map.kakao.com/9513128,0.0,high
st_01450,일산호수공원선인장전시관,,,,low
st_01451,소노캄 고양 웨스트타워,소노캄 고양 웨스트타워 (급) 전기차충전소,http://place.map.kakao.com/1309301612,0.0,high
st_01452,이케아 고양점,이케아레스토랑 고양점,http://place.map.kakao.com/416440726,0.0,high
st_01453,리븐델게스트하우스,리븐델게스트하우스,http://place.map.kakao.com/1756209832,0.0,high
st_03725,리븐델게스트하우스,리븐델게스트하우스,http://place.map.kakao.com/1756209832,0.0,high
st_16551,리븐델게스트하우스,리븐델게스트하우스,http://place.map.kakao.com/1756209832,0.0,high
st_01454,벚꽃마을 세종그라시아 옆,,,,low
st_01455,오정경찰서,부천오정경찰서,http://place.map.kakao.com/12526752,3.0,high
st_01456,안산소방서,안산소방서,http://place.map.kakao.com/11561678,51.0,high
st_01457,더헤븐CC,BMW차징스테이션 더헤븐CC by삼천리모터스 전기차충전소,http://place.map.kakao.com/517064877,0.0,high
st_01458,대왕판교로,CU 판교스페이스점,http://place.map.kakao.com/1548136332,0.0,mid
st_01459,행궁동 비원,비원,http://place.map.kakao.com/1351998336,4.0,high
st_01460,고덕두레 어린이 공원,고덕두레 어린이 공원,http://place.map.kakao.com/400390431,9.0,high
st_01461,금강랜드,군산금강랜드 실내야구장,http://place.map.kakao.com/2135718362,2.0,high
st_01462,익산교도소 세트장,익산 교도소 세트장,http://place.map.kakao.com/11555705,2.0,high
st_01606,사비나미술관,사비나미술관,http://place.map.kakao.com/7913752,5.0,high
st_01607,국회의사당,김기표국회의원사무실,http://place.map.kakao.com/703388445,0.0,high
st_01608,용산국제업무지구,용산국제업무지구,http://place.map.kakao.com/25161646,159.0,mid
st_01609,대원정사 주차장,대원정사 옥상주차장,http://place.map.kakao.com/1580896060,41.0,high
st_04147,대원정사 주차장,대원정사 옥상주차장,http://place.map.kakao.com/1580896060,41.0,high
st_11238,대원정사 주차장,대원정사 옥상주차장,http://place.map.kakao.com/1580896060,41.0,high
st_01610,볼보자동차 동대문전시장,볼보 천하자동차 동대문 전시장,http://place.map.kakao.com/506174125,0.0,high
st_01611,성신여자대학교 운정그린캠퍼스,성신여자대학교 뷰티융합대학원,http://place.map.kakao.com/1935631002,0.0,high
st_05082,성신여자대학교 운정그린캠퍼스,성신여자대학교 뷰티융합대학원,http://place.map.kakao.com/1935631002,0.0,high
st_06019,성신여자대학교 운정그린캠퍼스,성신여자대학교 뷰티융합대학원,http://place.map.kakao.com/1935631002,0.0,high
st_07445,성신여자대학교 운정그린캠퍼스,성신여자대학교 뷰티융합대학원,http://place.map.kakao.com/1935631002,0.0,high
st_10213,성신여자대학교 운정그린캠퍼스,성신여자대학교 뷰티융합대학원,http://place.map.kakao.com/1935631002,0.0,high
st_11242,성신여자대학교 운정그린캠퍼스,성신여자대학교 뷰티융합대학원,http://place.map.kakao.com/1935631002,0.0,high
st_14939,성신여자대학교 운정그린캠퍼스,성신여자대학교 뷰티융합대학원,http://place.map.kakao.com/1935631002,0.0,high
st_16359,성신여자대학교 운정그린캠퍼스,성신여자대학교 뷰티융합대학원,http://place.map.kakao.com/1935631002,0.0,high
st_01612,북서울꿈의숲,북서울꿈의숲 관리사무소,http://place.map.kakao.com/11464405,0.0,high
st_01613,성지펜션,성지펜션,http://place.map.kakao.com/1658537987,0.0,high
st_01614,서인천25시야구센터,서인천25시야구센터,http://place.map.kakao.com/567961153,17.0,high
st_01615,동남아파트 상가동,동남아파트 상가동,http://place.map.kakao.com/26450334,150.0,mid
st_01617,뜨인돌 출판사,뜨인돌출판사,http://place.map.kakao.com/18410519,3.0,high
st_01618,성모의원,성모의원,http://place.map.kakao.com/10484000,3.0,high
st_01619,HJ매그놀리아국제병원,HJ매그놀리아국제병원,http://place.map.kakao.com/10855164,0.0,high
st_02876,HJ매그놀리아국제병원,HJ매그놀리아국제병원,http://place.map.kakao.com/10855164,0.0,high
st_01620,흥덕U타워,U타워카정비소,http://place.map.kakao.com/18721706,13.0,high
st_01621,의림여관,의림여관,http://place.map.kakao.com/1900809754,1.0,high
st_01622,애막골성당,애막골성당,http://place.map.kakao.com/11240454,17.0,high
st_01623,남부상가아파트,남부상가아파트,http://place.map.kakao.com/681281517,1.0,high
st_02512,DDMC,솔솥 상암DDMC점,http://place.map.kakao.com/664566110,0.0,high
st_02513,마포소금구이,마포소금구이,http://place.map.kakao.com/16268792,0.0,high
st_07697,마포소금구이,마포소금구이,http://place.map.kakao.com/16268792,0.0,high
st_02514,대성정밀,,,,low
st_02515,세검정초등학교 정류장(01133),,,,low
st_02516,세검정초등학교 정류장(01144),,,,low
st_02517,평창사 세탁,평창사 세탁,http://place.map.kakao.com/20534949,5.0,high
st_02518,동문열쇠건물,,,,low
st_02519,정릉로8길,레스고케이펍,http://place.map.kakao.com/759872697,0.0,mid
st_02520,강북해병대전우회,,,,low
st_02521,대진고등학교,대진고등학교 농구장,http://place.map.kakao.com/572724457,107.0,mid
st_12050,대진고등학교,대진고등학교 농구장,http://place.map.kakao.com/572724457,107.0,mid
st_16944,대진고등학교,대진고등학교 농구장,http://place.map.kakao.com/572724457,107.0,mid
st_02522,대웅빌딩,대웅빌딩관리사무소,http://place.map.kakao.com/26025233,2.0,high
st_02523,서울과학기술대학교 창학관,서울과학기술대학교 창학관,http://place.map.kakao.com/17566533,251.0,mid
st_02524,아난티 앳 강남,아난티 앳 강남 쁘아쏭,http://place.map.kakao.com/765501007,0.0,high
st_02525,미카도스시 둔촌포레온점,미카도스시 둔촌포레온점,http://place.map.kakao.com/399174161,0.0,high
st_02526,길주로,서울정형외과신경과의원,http://place.map.kakao.com/847794292,0.0,mid
st_02527,백산인력,백산인력,http://place.map.kakao.com/885877029,1.0,high
st_02528,개항로통닭,개항로통닭,http://place.map.kakao.com/901296869,6.0,high
st_08980,개항로통닭,개항로통닭,http://place.map.kakao.com/901296869,6.0,high
st_02529,제물포시장,제물포시장,http://place.map.kakao.com/18524762,23.0,high
st_02530,동남태권도장,동남태권도장,http://place.map.kakao.com/8267903,148.0,mid
st_02531,송도국제대로,,,164.0,low
st_02532,남계로,,,207.0,low
st_02533,남계대교,,,,low
st_02534,양주한국병원,양주한국병원 장례문화원,http://place.map.kakao.com/622095104,0.0,high
st_04168,양주한국병원,양주한국병원 장례문화원,http://place.map.kakao.com/622095104,0.0,high
st_05123,양주한국병원,양주한국병원 장례문화원,http://place.map.kakao.com/622095104,0.0,high
st_05620,양주한국병원,양주한국병원 장례문화원,http://place.map.kakao.com/622095104,0.0,high
st_10296,양주한국병원,양주한국병원 장례문화원,http://place.map.kakao.com/622095104,0.0,high
st_12065,양주한국병원,양주한국병원 장례문화원,http://place.map.kakao.com/622095104,0.0,high
st_16124,양주한국병원,양주한국병원 장례문화원,http://place.map.kakao.com/622095104,0.0,high
st_16539,양주한국병원,양주한국병원 장례문화원,http://place.map.kakao.com/622095104,0.0,high
