rank,title_kr,title_en,first_aired,basis,source_url
1,Teach You a Lesson,Teach You a Lesson,2026-06,"Netflix 비영어권 역대 Top10 진입(스퀴드게임 이어 두 번째 한국작), 공개 8주만 6020만 뷰, 85개국 비영어 1위 데뷔",https://www.koreaherald.com/article/10824333
2,Agent Kim Reactivated,Agent Kim Reactivated,2026-06,"Netflix 글로벌 비영어 TV Top10 4주 연속 1위, 820만 시청, 7200만 시청시간",https://www.asiae.co.kr/en/article/2026072208552851891
3,My Royal Nemesis,My Royal Nemesis,2026-05,"Netflix 글로벌 비영어 TV 차트 1위, 57개국 Top10 진입, 국내 시청률 11.8%",https://www.koreatimes.co.kr/entertainment/shows-dramas/20260512/my-royal-nemesis-korean-historical-rom-com-tops-netflixs-global-non-english-tv-chart
4,사냥개들 2,Bloodhounds 2,2026-04,"Netflix 글로벌 비영어 TV 차트 2주차 1위(740만 뷰), 한국 Top10 7일 연속 1위",https://kbizoom.com/bloodhounds-2-netflix-no1-korean-drama-seven-days/
5,The East Palace,The East Palace,2026-07,"Netflix 글로벌 비영어 TV Top10 데뷔 2위, 490만 시청, 3290만 시청시간",https://www.starnewskorea.com/en/broadcast-drama/2026/07/27/2026072717412141711
6,월간 남자친구,Boyfriend on Demand,2026-03,"Netflix 주간 차트 1위, 480만 뷰, 47개국 차트 1위",https://www.koreatimes.co.kr/entertainment/shows-dramas/20260318/jisoos-rom-com-boyfriend-on-demand-tops-netflix-weekly-chart
7,모범택시 3,Taxi Driver 3,2025-11,"Netflix 글로벌 비영어 TV Top10 9위(11/24-30), 한국 Netflix 일간 차트 반복 1위",https://kbizoom.com/taxi-driver-3-netflix-global-top10/
8,폭군의 셰프,"Bon Appétit, Your Majesty",2025-08,"Netflix 글로벌 비영어 차트 2주 연속 1위, Netflix 2025년 연간 일간 Top10 집계 2위",https://variety.com/2025/tv/news/cj-enm-bon-appetit-your-majesty-netflix-global-chart-1236527637/
9,Dynamite Kiss,Dynamite Kiss,2025-11,Netflix 2025년 연간 일간 Top10 집계 3위,https://www.whats-on-netflix.com/news/k-dramas/most-popular-k-dramas-from-netflix-daily-top-10s-for-2025/
10,Spooky in Love,Spooky in Love,2026-07,Netflix 글로벌 비영어 TV 주간 차트 5위(7/13-19),https://www.starnewskorea.com/en/broadcast-drama/2026/07/27/2026072717412141711
11,The Apartment Job,The Apartment Job,2026-07,Netflix 글로벌 비영어 TV 주간 차트 6위(7/13-19),https://www.starnewskorea.com/en/broadcast-drama/2026/07/27/2026072717412141711
12,언더커버 미쓰홍,Undercover Miss Hong,2026-01,"국내 시청률 13.1%, Netflix 비영어 Top10 진입",https://dramamint.io/blog/most-watched-kdrama-2026
13,Beyond the Bar,Beyond the Bar,2025-08,Netflix 2025년 연간 일간 Top10 집계 5위,https://www.whats-on-netflix.com/news/k-dramas/most-popular-k-dramas-from-netflix-daily-top-10s-for-2025/
14,Perfect Crown,Perfect Crown,2026-04,국내 시청률 종영 13.8%(최고 16%대),https://dramamint.io/blog/most-watched-kdrama-2026
15,판사 이한영,The Judge Returns,2026-01,국내 시청률 종영 13.6%,https://dramamint.io/blog/most-watched-kdrama-2026
16,Reborn Rookie,Reborn Rookie,2026-05,국내 시청률 11.0%대 상승세,https://dramamint.io/blog/most-watched-kdrama-2026
17,태풍상사,Typhoon Family,2025-10,Netflix 글로벌 비영어 Top10 7위(10/20-26)·9위(11/3-9),https://news.mydramalist.com/article/would-you-marry-me-concludes-strong-typhoon-family-sees-improvement
18,Notes from the Last Row,Notes from the Last Row,2026-06,"Netflix 공식 발표 비영어 TV 세계 8위, '2026년 최고의 한국 드라마' 평가",https://www.hellomagazine.com/film/913042/netflix-notes-from-the-last-row-best-k-drama/
19,유미의 세포들 3,Yumi's Cells 3,2026-04,"라쿠텐 비키 81개국 1위, TVING 3주 연속 1위",https://mydramalist.com/789724-yumi-s-cells-season-3
20,"Genie, Make a Wish","Genie, Make a Wish",2025-10,Netflix 2025년 연간 일간 Top10 집계 순위권 진입,https://www.whats-on-netflix.com/news/k-dramas/most-popular-k-dramas-from-netflix-daily-top-10s-for-2025/
21,As You Stood By,As You Stood By,2025-11,Netflix 2025년 연간 일간 Top10 집계 순위권 진입,https://www.whats-on-netflix.com/news/k-dramas/most-popular-k-dramas-from-netflix-daily-top-10s-for-2025/
22,Phantom Lawyer,Phantom Lawyer,2026-03,국내 시청률 10.0%,https://dramamint.io/blog/most-watched-kdrama-2026
23,The Scarecrow,The Scarecrow,2026-04,국내 시청률 8.1%,https://dramamint.io/blog/most-watched-kdrama-2026
24,Can This Love Be Translated?,Can This Love Be Translated?,2026-01,Netflix 2026년 한국 콘텐츠 슬레이트 오프닝작으로 언론 보도,https://dramamint.io/blog/most-watched-kdrama-2026
25,컨피던스맨 KR,Confidence Queen,2025-09,"공개 초 Amazon Prime Video 월드와이드 TV 부문 5~9위권, 10개국 이상 트렌딩",https://www.kpoppost.com/october-2025-korean-drama-and-actor-brand-reputation-rankings/
26,Would You Marry Me?,Would You Marry Me?,2025-10,Disney+ 트렌딩, 언론 보도상 국내 시청률 호조로 종영,https://news.mydramalist.com/article/would-you-marry-me-concludes-strong-typhoon-family-sees-improvement
27,Tempest,Tempest,2025-09,전지현·강동원 주연 대작으로 다수 해외 매체 보도(글로벌 순위 수치는 미확인),https://www.marieclaire.com/culture/tv-shows/tempest-hulu-cast/
