rank,title_en,title_kr,metric,source_url
1,When Life Gives You Tangerines,,9.3,https://mydramalist.com/shows/top_korean_dramas
2,Twinkling Watermelon,,9.2,https://mydramalist.com/shows/top_korean_dramas
3,Move to Heaven,,9.1,https://mydramalist.com/shows/top_korean_dramas
4,Weak Hero Class 1,,9.1,https://mydramalist.com/shows/top_korean_dramas
5,Alchemy of Souls,,9.1,https://mydramalist.com/shows/top_korean_dramas
6,The Trauma Code: Heroes on Call,,9.1,https://mydramalist.com/shows/top_korean_dramas
7,Hospital Playlist Season 2,,9.1,https://mydramalist.com/shows/top_korean_dramas
8,Flower of Evil,,9.0,https://mydramalist.com/shows/top_korean_dramas
9,Reply 1988,,9.0,https://mydramalist.com/shows/top_korean_dramas
10,Moving,,9.0,https://mydramalist.com/shows/top_korean_dramas
11,Hospital Playlist,,9.0,https://mydramalist.com/shows/top_korean_dramas
12,Teach You a Lesson,,9.0,https://mydramalist.com/shows/top_korean_dramas
13,Under the Queen's Umbrella,,9.0,https://mydramalist.com/shows/top_korean_dramas
14,Crash Landing on You,,9.0,https://mydramalist.com/shows/top_korean_dramas
15,Lovely Runner,,9.0,https://mydramalist.com/shows/top_korean_dramas
16,My Mister,,8.9,https://mydramalist.com/shows/top_korean_dramas
17,The Glory Part 2,,8.9,https://mydramalist.com/shows/top_korean_dramas
18,Mr. Queen,,8.9,https://mydramalist.com/shows/top_korean_dramas
19,Prison Playbook,,8.9,https://mydramalist.com/shows/top_korean_dramas
20,My Dearest,,8.9,https://mydramalist.com/shows/top_korean_dramas
21,Mother,,8.9,https://mydramalist.com/shows/top_korean_dramas?page=2
22,Alchemy of Souls Season 2: Light and Shadow,,8.9,https://mydramalist.com/shows/top_korean_dramas?page=2
23,Taxi Driver Season 2,,8.9,https://mydramalist.com/shows/top_korean_dramas?page=2
24,The Good Bad Mother,,8.9,https://mydramalist.com/shows/top_korean_dramas?page=2
25,The Glory,,8.9,https://mydramalist.com/shows/top_korean_dramas?page=2
26,Navillera,,8.9,https://mydramalist.com/shows/top_korean_dramas?page=2
27,My Dearest Part 2,,8.9,https://mydramalist.com/shows/top_korean_dramas?page=2
28,Dr. Romantic Season 3,,8.9,https://mydramalist.com/shows/top_korean_dramas?page=2
29,Mouse,,8.9,https://mydramalist.com/shows/top_korean_dramas?page=2
30,Vincenzo,,8.9,https://mydramalist.com/shows/top_korean_dramas?page=2
31,Kingdom Season 2,,8.9,https://mydramalist.com/shows/top_korean_dramas?page=2
32,Study Group,,8.8,https://mydramalist.com/shows/top_korean_dramas?page=2
33,Extraordinary Attorney Woo,,8.8,https://mydramalist.com/shows/top_korean_dramas?page=2
34,Signal,,8.8,https://mydramalist.com/shows/top_korean_dramas?page=2
35,Weak Hero Class 2,,8.8,https://mydramalist.com/shows/top_korean_dramas?page=2
36,It's Okay to Not Be Okay,,8.8,https://mydramalist.com/shows/top_korean_dramas?page=2
37,Happiness,,8.8,https://mydramalist.com/shows/top_korean_dramas?page=2
38,Tomorrow,,8.8,https://mydramalist.com/shows/top_korean_dramas?page=2
39,Death's Game Part 2,,8.8,https://mydramalist.com/shows/top_korean_dramas?page=2
40,Taxi Driver,,8.8,https://mydramalist.com/shows/top_korean_dramas?page=2
41,Partners for Justice Season 2,,8.8,https://mydramalist.com/shows/top_korean_dramas?page=3
42,Death's Game,,8.8,https://mydramalist.com/shows/top_korean_dramas?page=3
43,The Uncanny Counter,,8.8,https://mydramalist.com/shows/top_korean_dramas?page=3
44,Guardian: The Lonely and Great God,,8.8,https://mydramalist.com/shows/top_korean_dramas?page=3
45,Kingdom,,8.8,https://mydramalist.com/shows/top_korean_dramas?page=3
46,Twenty Five Twenty One,,8.8,https://mydramalist.com/shows/top_korean_dramas?page=3
47,Mr. Sunshine,,8.8,https://mydramalist.com/shows/top_korean_dramas?page=3
48,Healer,,8.8,https://mydramalist.com/shows/top_korean_dramas?page=3
49,Daily Dose of Sunshine,,8.8,https://mydramalist.com/shows/top_korean_dramas?page=3
50,D.P.,,8.7,https://mydramalist.com/shows/top_korean_dramas?page=3
51,A Shop for Killers,,8.7,https://mydramalist.com/shows/top_korean_dramas?page=3
52,Tale of the Nine-Tailed 1938,,8.7,https://mydramalist.com/shows/top_korean_dramas?page=3
53,Dr. Romantic Season 2,,8.7,https://mydramalist.com/shows/top_korean_dramas?page=3
54,The Red Sleeve,,8.7,https://mydramalist.com/shows/top_korean_dramas?page=3
55,Stranger,,8.7,https://mydramalist.com/shows/top_korean_dramas?page=3
56,The First Responders,,8.7,https://mydramalist.com/shows/top_korean_dramas?page=3
57,Weightlifting Fairy Kim Bok Joo,,8.7,https://mydramalist.com/shows/top_korean_dramas?page=3
58,Agent Kim Reactivated,,8.7,https://mydramalist.com/shows/top_korean_dramas?page=3
59,Moon Lovers: Scarlet Heart Ryeo,,8.7,https://mydramalist.com/shows/top_korean_dramas?page=3
60,Resident Playbook,,8.7,https://mydramalist.com/shows/top_korean_dramas?page=3
61,Bloodhounds,,8.7,https://mydramalist.com/shows/top_korean_dramas?page=4
62,Sweet Home,,8.7,https://mydramalist.com/shows/top_korean_dramas?page=4
63,SKY Castle,,8.7,https://mydramalist.com/shows/top_korean_dramas?page=4
64,Beyond Evil,,8.7,https://mydramalist.com/shows/top_korean_dramas?page=4
65,Youth of May,,8.7,https://mydramalist.com/shows/top_korean_dramas?page=4
66,Through the Darkness,,8.7,https://mydramalist.com/shows/top_korean_dramas?page=4
67,D.P. Season 2,,8.7,https://mydramalist.com/shows/top_korean_dramas?page=4
68,Missing: The Other Side Season 2,,8.7,https://mydramalist.com/shows/top_korean_dramas?page=4
69,Our Unwritten Seoul,,8.7,https://mydramalist.com/shows/top_korean_dramas?page=4
70,Racket Boys,,8.7,https://mydramalist.com/shows/top_korean_dramas?page=4
71,Taxi Driver Season 3,,8.7,https://mydramalist.com/shows/top_korean_dramas?page=4
72,Queen of Tears,,8.7,https://mydramalist.com/shows/top_korean_dramas?page=4
73,Dr. Romantic,,8.7,https://mydramalist.com/shows/top_korean_dramas?page=4
74,The Devil Judge,,8.7,https://mydramalist.com/shows/top_korean_dramas?page=4
75,The Guest,,8.7,https://mydramalist.com/shows/top_korean_dramas?page=4
76,The Penthouse: War in Life,,8.7,https://mydramalist.com/shows/top_korean_dramas?page=4
77,The Penthouse Season 2: War in Life,,8.7,https://mydramalist.com/shows/top_korean_dramas?page=4
78,Hometown Cha-Cha-Cha,,8.7,https://mydramalist.com/shows/top_korean_dramas?page=4
79,Strong Girl Bong Soon,,8.7,https://mydramalist.com/shows/top_korean_dramas?page=4
80,My Name,,8.7,https://mydramalist.com/shows/top_korean_dramas?page=4
81,While You Were Sleeping,,8.7,https://mydramalist.com/shows/top_korean_dramas?page=5
82,Arthdal Chronicles Part 3: The Prelude to All Legends,,8.7,https://mydramalist.com/shows/top_korean_dramas?page=5
83,Family by Choice,,8.7,https://mydramalist.com/shows/top_korean_dramas?page=5
84,Business Proposal,,8.7,https://mydramalist.com/shows/top_korean_dramas?page=5
85,The First Responders Season 2,,8.6,https://mydramalist.com/shows/top_korean_dramas?page=5
86,Bloodhounds Season 2,,8.6,https://mydramalist.com/shows/top_korean_dramas?page=5
87,The Price of Confession,,8.6,https://mydramalist.com/shows/top_korean_dramas?page=5
88,"Kill Me, Heal Me",,8.6,https://mydramalist.com/shows/top_korean_dramas?page=5
89,"Arthdal Chronicles Part 2: The Sky Turning Inside Out, Rising Land",,8.6,https://mydramalist.com/shows/top_korean_dramas?page=5
90,The Judge from Hell,,8.6,https://mydramalist.com/shows/top_korean_dramas?page=5
91,Family Matters,,8.6,https://mydramalist.com/shows/top_korean_dramas?page=5
92,Strangers from Hell,,8.6,https://mydramalist.com/shows/top_korean_dramas?page=5
93,Life on Mars,,8.6,https://mydramalist.com/shows/top_korean_dramas?page=5
94,The Worst of Evil,,8.6,https://mydramalist.com/shows/top_korean_dramas?page=5
95,Duty after School: Part 1,,8.6,https://mydramalist.com/shows/top_korean_dramas?page=5
96,Defendant,,8.6,https://mydramalist.com/shows/top_korean_dramas?page=5
97,Flex X Cop,,8.6,https://mydramalist.com/shows/top_korean_dramas?page=5
98,All of Us Are Dead,,8.6,https://mydramalist.com/shows/top_korean_dramas?page=5
99,Six Flying Dragons,,8.6,https://mydramalist.com/shows/top_korean_dramas?page=5
100,Mouse: The Predator,,8.6,https://mydramalist.com/shows/top_korean_dramas?page=5
