title_kr,title_aliases,wiki_article_found,query_used,status,views_12m
1%의어떤것,Something About 1 Percent,Something About 1 Percent,Something About 1 Percent,OK,216
20세기소년소녀,20th Century Boy and Girl,20th Century Boy and Girl,20th Century Boy and Girl,NO_PAGEVIEW_DATA,0
21세기대군부인,,,,NO_ARTICLE_FOUND,0
24시헬스클럽,,,,NO_ARTICLE_FOUND,0
38사기동대,,Squad 38,38사기동대,NO_PAGEVIEW_DATA,0
7인의부활,The Escape of the Seven: Resurrection,The Escape of the Seven: Resurrection,The Escape of the Seven: Resurrection,NO_PAGEVIEW_DATA,0
7인의탈출,The Escape of the Seven,The Escape of the Seven,The Escape of the Seven,OK,90018
DNA러버,,DNA Lover,DNA러버,OK,17270
LTNS,,LTNS (TV series),LTNS,OK,37461
S라인,,S Line (TV series),S라인,OK,437261
UDT우리동네특공대,,Heroes Next Door,UDT우리동네특공대,NO_PAGEVIEW_DATA,0
W,W: Two Worlds,Two Worlds,W: Two Worlds,OK,1631
가석방심사관이한신,Parole Examiner Lee,Parole Examiner Lee,Parole Examiner Lee,OK,13621
가슴이뛴다,Heartbeat,Heartbeat,Heartbeat,OK,10548
가족x멜로,,Romance in the House,가족x멜로,OK,38542
가족계획,,Family Matters (South Korean TV series),가족계획,OK,133479
감사합니다,The Auditors,The Auditors,The Auditors,OK,27573
감자연구소,The Potato Lab,The Potato Lab,The Potato Lab,OK,95507
강남비사이드,Gangnam B-Side,Gangnam B-Side,Gangnam B-Side,OK,80578
강매강,,강매강,강매강,OK,8
개소리,,개리,개소리,OK,31
거래,,The Deal (TV series),거래,NO_PAGEVIEW_DATA,0
검법남녀2,Partners for Justice 2,Partners for Justice,Partners for Justice 2,OK,85447
견우와선녀,,,,NO_ARTICLE_FOUND,0
결혼해YOU,,Marry You (TV series),결혼해YOU,OK,24025
경도를기다리며,,,,NO_ARTICLE_FOUND,0
경이로운소문2,The Uncanny Counter 2: Counter Punch,The Uncanny Counter 2: Counter Punch,The Uncanny Counter 2: Counter Punch,OK,391
계시록,Revelations,Revelations,Revelations,OK,3342
고물상미란이,,,,NO_ARTICLE_FOUND,0
고백공격,,Kim Do-hoon (actor),고백공격,OK,194046
고백부부,Go Back Couple,Go Back Couple,Go Back Couple,OK,411
골드랜드,,Gold Land,골드랜드,OK,59393
공항가는길,On the Way to the Airport,On the Way to the Airport,On the Way to the Airport,OK,12664
광장,Mercy for None,Mercy for None,Mercy for None,OK,250788
괴리와냉소,,,,NO_ARTICLE_FOUND,0
구미호뎐1938,Tale of the Nine-Tailed 1938,Tale of the Nine Tailed 1938,Tale of the Nine-Tailed 1938,OK,92972
국민사형투표,The Killing Vote,The Killing Vote,The Killing Vote,OK,93832
굿닥터,Good Doctor,Good Doctor,Good Doctor,OK,164
굿보이,Good Boy,Good Boy (TV series),Good Boy,NO_PAGEVIEW_DATA,0
굿파트너,Good Partner,Good Partner,Good Partner,OK,99272
궁,Princess Hours,Princess Hours,Princess Hours,OK,86269
귀궁,The Haunted Palace,The Haunted Palace (TV series),The Haunted Palace,OK,156703
그녀는거짓말을너무사랑해,,,,NO_ARTICLE_FOUND,0
그녀는예뻤다,She Was Pretty,She Was Pretty,She Was Pretty,OK,90406
그녀의사생활,Her Private Life,Her Private Life (TV series),Her Private Life,OK,93846
그놈은흑염룡,,,,NO_ARTICLE_FOUND,0
그래서나는안티팬과결혼했다,So I Married an Anti-fan,So I Married an Anti-fan (TV series),So I Married an Anti-fan,OK,127
그림자고백,,,,NO_ARTICLE_FOUND,0
그해우리는,Our Beloved Summer,Our Beloved Summer,Our Beloved Summer,OK,134745
극야,,List of songs produced by Suga,극야,OK,22378
금주를부탁해,,,,NO_ARTICLE_FOUND,0
금쪽같은내스타,,My Troublesome Star,금쪽같은내스타,OK,149214
기리고,,If Wishes Could Kill,기리고,NO_PAGEVIEW_DATA,0
기상청사람들,Forecasting Love and Weather,Forecasting Love and Weather,Forecasting Love and Weather,OK,94293
