title_en,title_kr,source_url
Teach You a Lesson,참교육,https://en.wikipedia.org/wiki/Teach_You_a_Lesson
Agent Kim Reactivated,김부장,https://en.wikipedia.org/wiki/Agent_Kim_Reactivated
My Royal Nemesis,멋진 신세계,https://en.wikipedia.org/wiki/My_Royal_Nemesis
The East Palace,동궁,https://en.wikipedia.org/wiki/The_East_Palace
Dynamite Kiss,키스는 괜히 해서!,https://en.wikipedia.org/wiki/Dynamite_Kiss
Spooky in Love,오싹한 연애,https://en.wikipedia.org/wiki/Spooky_in_Love
The Apartment Job,아파트,https://en.wikipedia.org/wiki/The_Apartment_Job
Beyond the Bar,에스콰이어: 변호사를 꿈꾸는 변호사들,https://en.wikipedia.org/wiki/Beyond_the_Bar
Perfect Crown,21세기 대군부인,https://en.wikipedia.org/wiki/Perfect_Crown
Reborn Rookie,신입사원 강회장,https://en.wikipedia.org/wiki/Reborn_Rookie
Notes from the Last Row,맨 끝줄 소년,https://en.wikipedia.org/wiki/Notes_from_the_Last_Row
