id,title,title_aliases,title_category,title_cast,place_name,place_type,place_address,place_latitude,place_longitude,place_image_url,place_naver_url,scene_description,source_url,last_updated
new_달의연인_001,달의연인-보보경심 려,Moon Lovers: Scarlet Heart Ryeo,drama,이준기;아이유;강하늘,포천 아트밸리,촬영지,경기도 포천시 신북면 아트밸리로 234,37.9234466506997,127.236500949033,,,극 초반 고하진이 소주를 마시다 물에 빠진 아이를 구하고 시간여행을 시작하는 장면,https://creatrip.com/en/blog/9957,2026-07-30
new_달의연인_002,달의연인-보보경심 려,Moon Lovers: Scarlet Heart Ryeo,drama,이준기;아이유;강하늘,월화원(수원 효원공원),촬영지,경기도 수원시 팔달구 동수원로 399,37.2649062083029,127.039457090913,,,극 중 여러 회차에서 인물들이 머무는 정원 배경으로 등장하는 장면,https://creatrip.com/en/blog/9957,2026-07-30
new_달의연인_003,달의연인-보보경심 려,Moon Lovers: Scarlet Heart Ryeo,drama,이준기;아이유;강하늘,강릉 선교장,촬영지,강원특별자치도 강릉시 운정길 63,37.7873054456205,128.8845298873,,,눈 내리는 설경 속 인상적인 장면의 배경,https://creatrip.com/en/blog/9957,2026-07-30
new_달의연인_004,달의연인-보보경심 려,Moon Lovers: Scarlet Heart Ryeo,drama,이준기;아이유;강하늘,단양 온달관광지,촬영지,충청북도 단양군 영춘면 온달로 23,37.0629552611025,128.492923305038,,,궁궐과 저잣거리 등 사극 세트 장면의 배경,https://creatrip.com/en/blog/9957,2026-07-30
new_달의연인_005,달의연인-보보경심 려,Moon Lovers: Scarlet Heart Ryeo,drama,이준기;아이유;강하늘,백제문화단지,촬영지,충청남도 부여군 규암면 백제문로 455,36.3075715788732,126.908494592976,,,궁궐과 사찰 건물이 등장하는 장면의 배경,https://creatrip.com/en/blog/9957,2026-07-30
new_달의연인_006,달의연인-보보경심 려,Moon Lovers: Scarlet Heart Ryeo,drama,이준기;아이유;강하늘,서동요테마파크,촬영지,충청남도 부여군 충화면 천신로 616,,,,,마을과 귀족 저택 등이 등장하는 장면의 배경,https://creatrip.com/en/blog/9957,2026-07-30
new_달의연인_007,달의연인-보보경심 려,Moon Lovers: Scarlet Heart Ryeo,drama,이준기;아이유;강하늘,밀양 위양지(위양못),촬영지,경상남도 밀양시 부북면 위양리 279-2,35.5467190304711,128.717502064325,,,야외 풍경 장면의 배경으로 등장,https://www.grandculture.net/miryang/multimedia/GC087P05429,2026-07-30
new_달의연인_008,달의연인-보보경심 려,Moon Lovers: Scarlet Heart Ryeo,drama,이준기;아이유;강하늘,광한루,촬영지,전라북도 남원시 요천로 1447,35.4041318359584,127.38050354021,,,다리를 건너는 장면의 배경,https://creatrip.com/en/blog/9957,2026-07-30
new_달의연인_009,달의연인-보보경심 려,Moon Lovers: Scarlet Heart Ryeo,drama,이준기;아이유;강하늘,나주영상테마파크,촬영지,전라남도 나주시 공산면 덕음로 450,,,,,궁궐과 장수 등장 장면의 배경,https://creatrip.com/en/blog/9957,2026-07-30
new_달의연인_010,달의연인-보보경심 려,Moon Lovers: Scarlet Heart Ryeo,drama,이준기;아이유;강하늘,화순 만연사,촬영지,전라남도 화순군 화순읍 진각로 367,35.0830992019912,126.984422306116,,,여러 회차에 걸쳐 자주 등장하는 장면의 배경,https://creatrip.com/en/blog/9957,2026-07-30
new_달의연인_011,달의연인-보보경심 려,Moon Lovers: Scarlet Heart Ryeo,drama,이준기;아이유;강하늘,영월 요선암·요선정,촬영지,강원특별자치도 영월군 무릉도원면 도원운학로 13-39,37.2972765094039,128.26189595029,,,,http://koreandrama.org/scarlet-heart-ryeo/,2026-07-30
new_달의연인_012,달의연인-보보경심 려,Moon Lovers: Scarlet Heart Ryeo,drama,이준기;아이유;강하늘,구례 사성암,촬영지,전라남도 구례군 문척면 사성암길 303,35.1801334135705,127.480605665028,,,,https://namu.wiki/w/달의 연인 - 보보경심 려,2026-07-30
new_달의연인_013,달의연인-보보경심 려,Moon Lovers: Scarlet Heart Ryeo,drama,이준기;아이유;강하늘,경산 반곡지,촬영지,경상북도 경산시 남산면 반곡리 246,35.7804593618526,128.806655040703,,,,https://namu.wiki/w/달의 연인 - 보보경심 려,2026-07-30
