id,title,title_aliases,title_category,title_cast,place_name,place_type,place_address,place_latitude,place_longitude,place_image_url,place_naver_url,scene_description,source_url,last_updated
new_빈센조_001,빈센조,Vincenzo,drama,송중기;전여빈;옥택연,세운상가(세운청계상가),상가/촬영지,서울 종로구 청계천로 159,37.569138,126.995237,,,"극중 '금가플라자' 배경으로 사용, 빈센조와 홍차영 활동 무대",https://mediahub.seoul.go.kr/archives/2002025,2026-07-30
new_빈센조_002,빈센조,Vincenzo,drama,송중기;전여빈;옥택연,서대문형무소역사관,역사관/관광지,서울 서대문구 통일로 251,37.574609,126.955612,,,16화·19화 출소 장면 촬영지,https://hanlyu-map.com/contents/vincenzo-deac18,2026-07-30
new_빈센조_003,빈센조,Vincenzo,drama,송중기;전여빈;옥택연,IFC서울,복합쇼핑몰/오피스,서울 영등포구 국제금융로 10,37.525006,126.925874,,,바벨그룹 본사 외관으로 사용,https://hanlyu-map.com/contents/vincenzo-deac18,2026-07-30
new_빈센조_004,빈센조,Vincenzo,drama,송중기;전여빈;옥택연,콘래드 서울 호텔,호텔,서울 영등포구 국제금융로 10,37.525419,126.926744,,,17화에서 전략 회의실 장면 촬영지,https://hanlyu-map.com/contents/vincenzo-deac18,2026-07-30
new_빈센조_005,빈센조,Vincenzo,drama,송중기;전여빈;옥택연,대구오페라하우스,공연장,대구 북구 호암로 15,35.883533,128.592213,,,8화에서 바벨-신강은행 협약식 장면 촬영지,https://hanlyu-map.com/contents/vincenzo-deac18,2026-07-30
new_빈센조_006,빈센조,Vincenzo,drama,송중기;전여빈;옥택연,서울로7017,공원/보행로,서울 중구 남대문로5가 84-15,37.557109,126.975414,,,고가 보행로를 배경으로 한 장면 촬영지,https://hanlyu-map.com/contents/vincenzo-deac18,2026-07-30
new_빈센조_007,빈센조,Vincenzo,drama,송중기;전여빈;옥택연,노들섬,공원/섬,서울 용산구 양녕로 445,37.517660,126.958034,,,13화에서 인물들이 만나는 장면 촬영지,https://hanlyu-map.com/contents/vincenzo-deac18,2026-07-30
new_빈센조_008,빈센조,Vincenzo,drama,송중기;전여빈;옥택연,파크 하얏트 서울,호텔,서울 강남구 테헤란로 606,37.508732,127.064283,,,호텔 배경 장면 촬영지,https://hanlyu-map.com/contents/vincenzo-deac18,2026-07-30
new_빈센조_009,빈센조,Vincenzo,drama,송중기;전여빈;옥택연,벽초지수목원,수목원,경기 파주시 광탄면 부흥로 242,37.800770,126.874258,,,16화에서 가족이 정원을 산책하는 장면 촬영지,https://hanlyu-map.com/contents/vincenzo-deac18,2026-07-30
new_빈센조_010,빈센조,Vincenzo,drama,송중기;전여빈;옥택연,두리랜드,놀이공원,경기 양주시 장흥면 권율로 120,37.724634,126.950163,,,8화에서 빈센조와 민성이 놀이공원에서 하루를 보내는 장면,https://hanlyu-map.com/contents/vincenzo-deac18,2026-07-30
new_빈센조_011,빈센조,Vincenzo,drama,송중기;전여빈;옥택연,강촌레일파크(김유정레일바이크),테마파크,강원 춘천시 신동면 김유정로 1383,37.815773,127.712332,,,10화 추격·터널 장면 촬영지,https://hanlyu-map.com/contents/vincenzo-deac18,2026-07-30
new_빈센조_012,빈센조,Vincenzo,drama,송중기;전여빈;옥택연,아난티 클럽 서울(아난티코드GC),리조트/골프장,경기 가평군 설악면 유명로 961-34,37.620089,127.482353,,,12화에서 아버지의 별장으로 등장한 장면 촬영지,https://hanlyu-map.com/contents/vincenzo-deac18,2026-07-30
new_빈센조_013,빈센조,Vincenzo,drama,송중기;전여빈;옥택연,블룸비스타 호텔앤컨퍼런스(구 현대블룸비스타),호텔,경기 양평군 강하면 강남로 316,37.500371,127.421925,,,17화에서 바벨타워 행사장 장면 촬영지,https://hanlyu-map.com/contents/vincenzo-deac18,2026-07-30
new_빈센조_014,빈센조,Vincenzo,drama,송중기;전여빈;옥택연,동대문디자인플라자(DDP),문화시설,서울 중구 을지로 281,37.567184,127.009911,,,배경으로 등장한 건축 랜드마크,https://hanlyu-map.com/contents/vincenzo-deac18,2026-07-30
new_빈센조_015,빈센조,Vincenzo,drama,송중기;전여빈;옥택연,한국은행 화폐박물관,박물관,서울 중구 남대문로 39,37.562098,126.980523,,,법무법인 외관 장면 촬영지,https://hanlyu-map.com/contents/vincenzo-deac18,2026-07-30
new_빈센조_016,빈센조,Vincenzo,drama,송중기;전여빈;옥택연,청계천(서린동),하천/공원,서울 종로구 서린동,37.569147,126.978647,,,20화 결말부 대화 장면 촬영지,https://hanlyu-map.com/contents/vincenzo-deac18,2026-07-30
