id,title,title_aliases,title_category,title_cast,place_name,place_type,place_address,place_latitude,place_longitude,place_image_url,place_naver_url,scene_description,source_url,last_updated
new_슈룹_001,슈룹,Under the Queen's Umbrella,drama,김혜수;김해숙;최원영,문경새재오픈세트장,촬영지,경상북도 문경시 문경읍 새재로 932,36.7616034289935,128.076989152595,,,궁궐 등 극 중 대부분의 사극 장면이 촬영된 핵심 오픈세트,https://kdramadiary.com/korea-travel/under-the-queens-umbrella-filming-location/,2026-07-30
new_슈룹_002,슈룹,Under the Queen's Umbrella,drama,김혜수;김해숙;최원영,전주향교,촬영지,전라북도 전주시 완산구 향교길 139,35.812177597872,127.157226774295,,,조선시대 향교를 배경으로 한 장면,https://kdramadiary.com/korea-travel/under-the-queens-umbrella-filming-location/,2026-07-30
new_슈룹_003,슈룹,Under the Queen's Umbrella,drama,김혜수;김해숙;최원영,전주한옥마을,촬영지,전라북도 전주시 완산구 기린대로 99,35.8182133310179,127.153608497904,,,,https://kdramadiary.com/korea-travel/under-the-queens-umbrella-filming-location-jeonju-hanok-village/,2026-07-30
new_슈룹_004,슈룹,Under the Queen's Umbrella,drama,김혜수;김해숙;최원영,남원 광한루원,촬영지,전라북도 남원시 요천로 1447,35.4041318359584,127.38050354021,,,궁궐 후원 배경으로 오작교와 완월정이 등장하는 장면,https://thecinemaholic.com/is-netflixs-under-the-queens-umbrella-based-on-a-true-story-where-is-it-filmed/,2026-07-30
new_슈룹_005,슈룹,Under the Queen's Umbrella,drama,김혜수;김해숙;최원영,통영 세병관,촬영지,경상남도 통영시 세병로 27,34.8471548606626,128.423489026299,,,,https://www.sianews.kr/news/articleView.html?idxno=1547,2026-07-30
new_슈룹_006,슈룹,Under the Queen's Umbrella,drama,김혜수;김해숙;최원영,나주향교,촬영지,전라남도 나주시 금계동,35.0306021119211,126.714371815349,,,,https://www.sianews.kr/news/articleView.html?idxno=1547,2026-07-30
new_슈룹_007,슈룹,Under the Queen's Umbrella,drama,김혜수;김해숙;최원영,창덕궁(낙선재·인정전),촬영지,서울특별시 종로구 율곡로 99,37.5788697347103,126.989710338876,,,"왕비와 왕자들의 사적 공간인 낙선재, 인정전 등이 등장하는 장면",https://thecinemaholic.com/is-netflixs-under-the-queens-umbrella-based-on-a-true-story-where-is-it-filmed/,2026-07-30
new_슈룹_008,슈룹,Under the Queen's Umbrella,drama,김혜수;김해숙;최원영,경복궁(근정전·경회루),촬영지,서울특별시 종로구 사직로 161,37.5759040910202,126.976842133821,,,"왕과 대신들의 정무 장면, 근정전과 경회루가 등장하는 장면",https://thecinemaholic.com/is-netflixs-under-the-queens-umbrella-based-on-a-true-story-where-is-it-filmed/,2026-07-30
new_슈룹_009,슈룹,Under the Queen's Umbrella,drama,김혜수;김해숙;최원영,덕수궁,촬영지,서울특별시 중구 세종대로 99,37.5660868250943,126.973725785222,,,궁중 야외 의례 및 행사 장면,https://thecinemaholic.com/is-netflixs-under-the-queens-umbrella-based-on-a-true-story-where-is-it-filmed/,2026-07-30
new_슈룹_010,슈룹,Under the Queen's Umbrella,drama,김혜수;김해숙;최원영,용인대장금파크,촬영지,경기도 용인시 처인구 백암면 용천리,37.123487100611,127.356224010357,,,,https://www.sianews.kr/news/articleView.html?idxno=1547,2026-07-30
