id,title,title_aliases,title_category,title_cast,place_name,place_type,place_address,place_latitude,place_longitude,place_image_url,place_naver_url,scene_description,source_url,last_updated
new_철인왕후_001,철인왕후,Mr. Queen,drama,신혜선;김정현;나인우,허균·허난설헌 기념공원,관광지/기념공원,강원 강릉시 난설헌로193번길 1-29,37.7910301468257,128.909552420373,,,철종이 중전 김소용의 집을 찾아가 마당의 임시 우물을 발견하는 장면,https://creatrip.com/en/blog/9995,2026-07-30
new_철인왕후_002,철인왕후,Mr. Queen,drama,신혜선;김정현;나인우,궁남지,관광지/연못,충청남도 부여군 부여읍 동남리 152-1,36.271819292326,126.913187020415,,,봉환이 연못에 빠져 조선시대로 넘어오게 되는 장면이 촬영된 곳,https://creatrip.com/en/blog/9995,2026-07-30
new_철인왕후_003,철인왕후,Mr. Queen,drama,신혜선;김정현;나인우,선교장,고택/전통가옥,강원 강릉시 운정길 63,37.7873054456205,128.8845298873,,,철인왕후 김소용이 집에서 널뛰기를 하는 장면이 촬영된 곳,https://creatrip.com/en/blog/9995,2026-07-30
new_철인왕후_004,철인왕후,Mr. Queen,drama,신혜선;김정현;나인우,광한루원,관광지/정원,전북 남원시 요천로 1447,35.4041318359584,127.38050354021,,,봉환이 소중한 것을 잃어버린 것을 알아채고 책 읽는 왕을 처음 만나는 장면,https://creatrip.com/en/blog/9995,2026-07-30
new_철인왕후_005,철인왕후,Mr. Queen,drama,신혜선;김정현;나인우,문경새재 오픈세트장,사극세트장,경북 문경시 문경읍 새재로 932,36.7616034289935,128.076989152595,,,궁중 장면 다수와 수라간(어주방) 장면이 촬영된 대표 사극 세트장,https://creatrip.com/en/blog/9995,2026-07-30
new_철인왕후_006,철인왕후,Mr. Queen,drama,신혜선;김정현;나인우,병산서원,서원/문화유산,경북 안동시 풍천면 병산길 386,36.5403022642502,128.552787482737,,,철종이 불청객으로 찾아온 사촌과 격렬하게 다투는 장면이 촬영된 곳,https://creatrip.com/en/blog/9995,2026-07-30
new_철인왕후_007,철인왕후,Mr. Queen,drama,신혜선;김정현;나인우,안동 군자마을,전통마을,경북 안동시 와룡면 오천리 산27-1,36.6732587288722,128.802392180429,,,철종과 철인왕후가 꽃다발을 주고받는 로맨틱한 장면이 촬영된 곳,https://creatrip.com/en/blog/9995,2026-07-30
new_철인왕후_008,철인왕후,Mr. Queen,drama,신혜선;김정현;나인우,경상남도수목원,수목원,경남 진주시 이반성면 수목원로 386,35.1571982460115,128.295736047431,,,철인왕후와 철종이 말을 타고 산길을 오르는 장면이 촬영된 곳,https://creatrip.com/en/blog/9995,2026-07-30
new_철인왕후_009,철인왕후,Mr. Queen,drama,신혜선;김정현;나인우,지신정,고택/정자,경상남도 진주시 지수면 승산리 260,35.2377059973846,128.267747558214,,,철종과 철인왕후가 말에서 내려 손을 잡는 장면이 촬영된 곳,https://creatrip.com/en/blog/9995,2026-07-30
new_철인왕후_010,철인왕후,Mr. Queen,drama,신혜선;김정현;나인우,용인대장금파크,사극세트장,경기도 용인시 처인구 백암면 용천드라마길 25,37.1194440425504,127.337088732809,,,,"https://dh.aks.ac.kr/Edu/wiki/index.php/%EC%B2%A0%EC%9D%B8%EC%99%95%ED%9B%84(%EB%93%9C%EB%9D%BC%EB%A7%88,_2020)",2026-07-30
