id,title,title_aliases,title_category,title_cast,place_name,place_type,place_address,place_latitude,place_longitude,place_image_url,place_naver_url,scene_description,source_url,last_updated
new_환혼_001,환혼,Alchemy of Souls,drama,이재욱;정소민;황민현,백운동원림,정원/관광지,전남 강진군 성전면 월하안운길 100-63,34.742034,126.699875,,,"3화에서 장욱과 무덕이 함께 이동하는 장면, 메인 포스터 배경으로 사용된 곳",https://www.ivisitkorea.com/alchemy-of-souls-filming-locations-in-korea/,2026-07-30
new_환혼_002,환혼,Alchemy of Souls,drama,이재욱;정소민;황민현,농월정,정자/관광지,경남 함양군 안의면 농월정길 9-13,35.623894,127.778435,,,"무덕과 장욱의 수련 장면, 김도주와 박진의 차담 장면 촬영지",https://www.ivisitkorea.com/alchemy-of-souls-filming-locations-in-korea/,2026-07-30
new_환혼_003,환혼,Alchemy of Souls,drama,이재욱;정소민;황민현,성흥산성(가림성),산성/유적,충남 부여군 임천면 성흥로97번길 167,36.197690,126.899638,,,"5화에서 장욱, 무덕, 서율, 박당구가 함께 등장하는 장면",https://www.ivisitkorea.com/alchemy-of-souls-filming-locations-in-korea/,2026-07-30
new_환혼_004,환혼,Alchemy of Souls,drama,이재욱;정소민;황민현,용머리해안,해안/자연경관,제주 서귀포시 안덕면 사계리 112-3,33.231660,126.314724,,,2화에서 장욱이 무덕을 찾아 헤매는 장면,https://www.ivisitkorea.com/alchemy-of-souls-filming-locations-in-korea/,2026-07-30
new_환혼_005,환혼,Alchemy of Souls,drama,이재욱;정소민;황민현,권금성,산성/유적,강원 속초시 설악동 산41,38.163655,128.484969,,,1화에서 호연법사가 장욱을 가르치는 장면,https://www.ivisitkorea.com/alchemy-of-souls-filming-locations-in-korea/,2026-07-30
new_환혼_006,환혼,Alchemy of Souls,drama,이재욱;정소민;황민현,가산수피아,테마파크/자연경관,경북 칠곡군 가산면 학하들안2길 105,36.086109,128.485044,,,5화에서 스승이 수레를 끌고 숲 입구로 향하는 장면(신비로운 문은 CG 합성),https://www.ivisitkorea.com/alchemy-of-souls-filming-locations-in-korea/,2026-07-30
new_환혼_007,환혼,Alchemy of Souls,drama,이재욱;정소민;황민현,아침고요수목원,수목원/관광지,경기 가평군 상면 수목원로 427,37.743004,127.351661,,,19화에서 서율과 낙수가 서화연 인근에서 이별하는 장면,https://www.ivisitkorea.com/alchemy-of-souls-filming-locations-in-korea/,2026-07-30
new_환혼_008,환혼,Alchemy of Souls,drama,이재욱;정소민;황민현,세연정,정자/관광지,전남 완도군 보길면 부황길 57,34.162479,126.555944,,,10화에서 무덕과 장욱이 밤늦게 대화를 나누는 장면,https://www.ivisitkorea.com/alchemy-of-souls-filming-locations-in-korea/,2026-07-30
new_환혼_009,환혼,Alchemy of Souls,drama,이재욱;정소민;황민현,고석정,정자/현무암절벽,강원 철원군 동송읍 장흥리 725-13,38.185262,127.287954,,,"4화, 6화 현무암 절벽 배경 뱃놀이 장면",https://www.ivisitkorea.com/alchemy-of-souls-filming-locations-in-korea/,2026-07-30
new_환혼_010,환혼,Alchemy of Souls,drama,이재욱;정소민;황민현,수옥폭포,폭포/자연경관,충북 괴산군 연풍면 원풍리 산86-1,36.807013,128.028917,,,1화에서 당구가 폭포 아래에서 화살을 쏘는 장면,https://www.ivisitkorea.com/alchemy-of-souls-filming-locations-in-korea/,2026-07-30
new_환혼_011,환혼,Alchemy of Souls,drama,이재욱;정소민;황민현,몰운대,절벽/자연경관,강원 정선군 화암면 몰운리 산43,37.316523,128.809684,,,8화에서 장욱과 무덕이 함께 서 있는 장면,https://www.ivisitkorea.com/alchemy-of-souls-filming-locations-in-korea/,2026-07-30
new_환혼_012,환혼,Alchemy of Souls,drama,이재욱;정소민;황민현,파도리해변(해안동굴 인근),해안/자연경관,충남 태안군 소원면 파도리,36.738981,126.133582,,,7화에서 장욱이 무덕에게 돌을 선물하는 장면(인근 해안동굴),https://www.ivisitkorea.com/alchemy-of-souls-filming-locations-in-korea/,2026-07-30
new_환혼_013,환혼,Alchemy of Souls,drama,이재욱;정소민;황민현,포천아트밸리,관광지/자연경관,경기 포천시 신북면 아트밸리로 234,37.923174,127.237246,,,19화에서 진부연이 천주호에서 고드름을 채취하는 장면,https://www.ivisitkorea.com/alchemy-of-souls-filming-locations-in-korea/,2026-07-30
new_환혼_014,환혼,Alchemy of Souls,drama,이재욱;정소민;황민현,쌍산재,한옥/전통가옥,전남 구례군 마산면 장수길 3-2,35.215754,127.498043,,,"호서정 촬영지, 대나무숲길 배경으로 사용",https://www.ivisitkorea.com/alchemy-of-souls-filming-locations-in-korea/,2026-07-30
new_환혼_015,환혼,Alchemy of Souls,drama,이재욱;정소민;황민현,계명대학교 성서캠퍼스,대학/촬영세트장,대구 달서구 달구벌대로 1095,35.855868,128.484537,,,극 전반에 걸쳐 궁궐 분위기의 배경으로 사용,https://www.ivisitkorea.com/alchemy-of-souls-filming-locations-in-korea/,2026-07-30
new_환혼_016,환혼,Alchemy of Souls,drama,이재욱;정소민;황민현,문경 선유동계곡,계곡/자연경관,경북 문경시 가은읍 완장리,36.669582,127.976055,,,4화에서 무덕과 장욱이 포옹하는 장면,https://www.ivisitkorea.com/alchemy-of-souls-filming-locations-in-korea/,2026-07-30
