title,year,award,category,source_url
공동경비구역 JSA,2000,청룡영화상,최우수작품상,https://ko.wikipedia.org/wiki/청룡영화상의_수상자_목록
봄날은 간다,2001,청룡영화상,최우수작품상,https://ko.wikipedia.org/wiki/청룡영화상의_수상자_목록
취화선,2002,청룡영화상,최우수작품상,https://ko.wikipedia.org/wiki/청룡영화상의_수상자_목록
봄 여름 가을 겨울 그리고 봄,2003,청룡영화상,최우수작품상,https://ko.wikipedia.org/wiki/청룡영화상의_수상자_목록
실미도,2004,청룡영화상,최우수작품상,https://ko.wikipedia.org/wiki/청룡영화상의_수상자_목록
친절한 금자씨,2005,청룡영화상,최우수작품상,https://ko.wikipedia.org/wiki/청룡영화상의_수상자_목록
괴물,2006,청룡영화상,최우수작품상,https://ko.wikipedia.org/wiki/청룡영화상의_수상자_목록
우아한 세계,2007,청룡영화상,최우수작품상,https://ko.wikipedia.org/wiki/청룡영화상의_수상자_목록
우리 생애 최고의 순간,2008,청룡영화상,최우수작품상,https://ko.wikipedia.org/wiki/청룡영화상의_수상자_목록
마더,2009,청룡영화상,최우수작품상,https://ko.wikipedia.org/wiki/청룡영화상의_수상자_목록
의형제,2010,청룡영화상,최우수작품상,https://ko.wikipedia.org/wiki/청룡영화상의_수상자_목록
부당거래,2011,청룡영화상,최우수작품상,https://ko.wikipedia.org/wiki/청룡영화상의_수상자_목록
피에타,2012,청룡영화상,최우수작품상,https://ko.wikipedia.org/wiki/청룡영화상의_수상자_목록
소원,2013,청룡영화상,최우수작품상,https://ko.wikipedia.org/wiki/청룡영화상의_수상자_목록
변호인,2014,청룡영화상,최우수작품상,https://ko.wikipedia.org/wiki/청룡영화상의_수상자_목록
암살,2015,청룡영화상,최우수작품상,https://ko.wikipedia.org/wiki/청룡영화상의_수상자_목록
내부자들,2016,청룡영화상,최우수작품상,https://ko.wikipedia.org/wiki/청룡영화상의_수상자_목록
택시운전사,2017,청룡영화상,최우수작품상,https://ko.wikipedia.org/wiki/청룡영화상의_수상자_목록
1987,2018,청룡영화상,최우수작품상,https://ko.wikipedia.org/wiki/청룡영화상의_수상자_목록
기생충,2019,청룡영화상,최우수작품상,https://ko.wikipedia.org/wiki/청룡영화상의_수상자_목록
남산의 부장들,2020,청룡영화상,최우수작품상,https://ko.wikipedia.org/wiki/청룡영화상의_수상자_목록
모가디슈,2021,청룡영화상,최우수작품상,https://ko.wikipedia.org/wiki/청룡영화상의_수상자_목록
헤어질 결심,2022,청룡영화상,최우수작품상,https://ko.wikipedia.org/wiki/청룡영화상의_수상자_목록
밀수,2023,청룡영화상,최우수작품상,https://ko.wikipedia.org/wiki/청룡영화상의_수상자_목록
박하사탕,2000,대종상,최우수작품상,https://ko.wikipedia.org/wiki/대종상_역대_수상작
공동경비구역 JSA,2001,대종상,최우수작품상,https://ko.wikipedia.org/wiki/대종상_역대_수상작
집으로...,2002,대종상,최우수작품상,https://ko.wikipedia.org/wiki/대종상_역대_수상작
살인의 추억,2003,대종상,최우수작품상,https://ko.wikipedia.org/wiki/대종상_역대_수상작
봄 여름 가을 겨울 그리고 봄,2004,대종상,최우수작품상,https://ko.wikipedia.org/wiki/대종상_역대_수상작
말아톤,2005,대종상,최우수작품상,https://ko.wikipedia.org/wiki/대종상_역대_수상작
왕의 남자,2006,대종상,최우수작품상,https://ko.wikipedia.org/wiki/대종상_역대_수상작
가족의 탄생,2007,대종상,최우수작품상,https://ko.wikipedia.org/wiki/대종상_역대_수상작
마더,2009,대종상,최우수작품상,https://ko.wikipedia.org/wiki/대종상_역대_수상작
설국열차,2013,대종상,최우수작품상,https://ko.wikipedia.org/wiki/대종상_역대_수상작
기생충,2020,대종상,최우수작품상,https://ko.wikipedia.org/wiki/대종상_역대_수상작
꽃섬,2001,부산국제영화제,뉴커런츠상,https://ko.wikipedia.org/wiki/부산국제영화제의_수상작_목록
질투는 나의 힘,2002,부산국제영화제,뉴커런츠상,https://ko.wikipedia.org/wiki/부산국제영화제의_수상작_목록
여자, 정혜,2004,부산국제영화제,뉴커런츠상,https://ko.wikipedia.org/wiki/부산국제영화제의_수상작_목록
허수아비들의 땅,2008,부산국제영화제,뉴커런츠상,https://ko.wikipedia.org/wiki/부산국제영화제의_수상작_목록
나는 곤경에 처했다,2009,부산국제영화제,뉴커런츠상,https://ko.wikipedia.org/wiki/부산국제영화제의_수상작_목록
무산일기,2010,부산국제영화제,뉴커런츠상,https://ko.wikipedia.org/wiki/부산국제영화제의_수상작_목록
파수꾼,2010,부산국제영화제,뉴커런츠상,https://ko.wikipedia.org/wiki/부산국제영화제의_수상작_목록
파스카,2013,부산국제영화제,뉴커런츠상,https://ko.wikipedia.org/wiki/부산국제영화제의_수상작_목록
철원기행,2014,부산국제영화제,뉴커런츠상,https://ko.wikipedia.org/wiki/부산국제영화제의_수상작_목록
죄 많은 소녀,2017,부산국제영화제,뉴커런츠상,https://ko.wikipedia.org/wiki/부산국제영화제의_수상작_목록
호흡,2018,부산국제영화제,뉴커런츠상,https://ko.wikipedia.org/wiki/부산국제영화제의_수상작_목록
샴,2001,부산국제영화제,선재상,https://ko.wikipedia.org/wiki/부산국제영화제의_수상작_목록
하드로맨스,2001,부산국제영화제,선재상,https://ko.wikipedia.org/wiki/부산국제영화제의_수상작_목록
단속평형,2004,부산국제영화제,선재상,https://ko.wikipedia.org/wiki/부산국제영화제의_수상작_목록
금붕어,2004,부산국제영화제,선재상,https://ko.wikipedia.org/wiki/부산국제영화제의_수상작_목록
졸업영화,2006,부산국제영화제,선재상,https://ko.wikipedia.org/wiki/부산국제영화제의_수상작_목록
바람이 분다,2006,부산국제영화제,선재상,https://ko.wikipedia.org/wiki/부산국제영화제의_수상작_목록
아들의 여자,2008,부산국제영화제,선재상,https://ko.wikipedia.org/wiki/부산국제영화제의_수상작_목록
워낭소리,2008,부산국제영화제,비프메세나상,https://ko.wikipedia.org/wiki/부산국제영화제의_수상작_목록
붕괴,2014,부산국제영화제,비프메세나상,https://ko.wikipedia.org/wiki/부산국제영화제의_수상작_목록
고양이를 부탁해,2001,부산국제영화제,넷팩상,https://ko.wikipedia.org/wiki/부산국제영화제의_수상작_목록
로드 무비,2002,부산국제영화제,넷팩상,https://ko.wikipedia.org/wiki/부산국제영화제의_수상작_목록
민둥산,2008,부산국제영화제,넷팩상,https://ko.wikipedia.org/wiki/부산국제영화제의_수상작_목록
돼지의 왕,2011,부산국제영화제,넷팩상,https://ko.wikipedia.org/wiki/부산국제영화제의_수상작_목록
지슬: 끝나지 않은 세월 2,2012,부산국제영화제,넷팩상,https://ko.wikipedia.org/wiki/부산국제영화제의_수상작_목록
취화선,2002,칸영화제,감독상,https://www.nocutnews.co.kr/news/5299676
올드보이,2004,칸영화제,심사위원대상(그랑프리),https://www.nocutnews.co.kr/news/5299676
밀양,2007,칸영화제,여우주연상,https://www.nocutnews.co.kr/news/5299676
박쥐,2009,칸영화제,심사위원상,https://www.nocutnews.co.kr/news/5299676
기생충,2019,칸영화제,황금종려상,https://www.nocutnews.co.kr/news/5299676
헤어질 결심,2022,칸영화제,감독상,https://ko.wikipedia.org/wiki/헤어질_결심
