title,year,award,category,source_url
추격자,2008,대종상,최우수작품상,https://ko.wikipedia.org/wiki/대종상의_수상작_목록
시,2010,대종상,최우수작품상,https://ko.wikipedia.org/wiki/대종상의_수상작_목록
고지전,2011,대종상,최우수작품상,https://ko.wikipedia.org/wiki/대종상의_수상작_목록
"광해, 왕이 된 남자",2012,대종상,최우수작품상,https://ko.wikipedia.org/wiki/대종상의_수상작_목록
명량,2014,대종상,최우수작품상,https://ko.wikipedia.org/wiki/대종상의_수상작_목록
국제시장,2015,대종상,최우수작품상,https://ko.wikipedia.org/wiki/대종상의_수상작_목록
내부자들,2016,대종상,최우수작품상,https://ko.wikipedia.org/wiki/대종상의_수상작_목록
택시운전사,2017,대종상,최우수작품상,https://ko.wikipedia.org/wiki/대종상의_수상작_목록
버닝,2018,대종상,최우수작품상,https://ko.wikipedia.org/wiki/대종상의_수상작_목록
헤어질 결심,2022,대종상,최우수작품상,https://ko.wikipedia.org/wiki/대종상의_수상작_목록
콘크리트 유토피아,2023,대종상,최우수작품상,https://en.wikipedia.org/wiki/59th_Grand_Bell_Awards
서울의 봄,2024,청룡영화상,최우수작품상,https://ko.wikipedia.org/wiki/제45회_청룡영화상
어쩔수가없다,2025,청룡영화상,최우수작품상,https://ko.wikipedia.org/wiki/제46회_청룡영화상
