title,release_date,audience_acc,source_url
와일드 씽,2026-06-03,1345203,https://www.moviechart.co.kr/rank/boxoffice
순례자들은 왜 돌아오지 않는가,2026-06-03,,https://ko.wikipedia.org/wiki/2026%EB%85%84_%EB%8C%80%ED%95%9C%EB%AF%BC%EA%B5%AD%EC%9D%98_%EC%98%81%ED%99%94_%EB%AA%A9%EB%A1%9D
밀월,2026-06-04,,https://ko.wikipedia.org/wiki/2026%EB%85%84_%EB%8C%80%ED%95%9C%EB%AF%BC%EA%B5%AD%EC%9D%98_%EC%98%81%ED%99%94_%EB%AA%A9%EB%A1%9D
이반리 장만옥,2026-06-10,,https://ko.wikipedia.org/wiki/2026%EB%85%84_%EB%8C%80%ED%95%9C%EB%AF%BC%EA%B5%AD%EC%9D%98_%EC%98%81%ED%99%94_%EB%AA%A9%EB%A1%9D
현상수배,2026-06-10,,https://ko.wikipedia.org/wiki/2026%EB%85%84_%EB%8C%80%ED%95%9C%EB%AF%BC%EA%B5%AD%EC%9D%98_%EC%98%81%ED%99%94_%EB%AA%A9%EB%A1%9D
납치 48시간,2026-06-17,,https://ko.wikipedia.org/wiki/2026%EB%85%84_%EB%8C%80%ED%95%9C%EB%AF%BC%EA%B5%AD%EC%9D%98_%EC%98%81%ED%99%94_%EB%AA%A9%EB%A1%9D
현재를 위하여,2026-06-17,,https://ko.wikipedia.org/wiki/2026%EB%85%84_%EB%8C%80%ED%95%9C%EB%AF%BC%EA%B5%AD%EC%9D%98_%EC%98%81%ED%99%94_%EB%AA%A9%EB%A1%9D
충충충,2026-06-17,,https://ko.wikipedia.org/wiki/2026%EB%85%84_%EB%8C%80%ED%95%9C%EB%AF%BC%EA%B5%AD%EC%9D%98_%EC%98%81%ED%99%94_%EB%AA%A9%EB%A1%9D
신사: 악귀의 속삭임,2026-06-17,,https://ko.wikipedia.org/wiki/2026%EB%85%84_%EB%8C%80%ED%95%9C%EB%AF%BC%EA%B5%AD%EC%9D%98_%EC%98%81%ED%99%94_%EB%AA%A9%EB%A1%9D
눈동자,2026-06-24,1524850,https://www.moviechart.co.kr/rank/boxoffice
여름의 카메라,2026-06-24,,https://ko.wikipedia.org/wiki/2026%EB%85%84_%EB%8C%80%ED%95%9C%EB%AF%BC%EA%B5%AD%EC%9D%98_%EC%98%81%ED%99%94_%EB%AA%A9%EB%A1%9D
그림자 아이,2026-07-01,,https://indiespace.kr/491509
하나 코리아,2026-07-08,15650,https://www.moviechart.co.kr/rank/boxoffice
호프,2026-07-15,3619235,https://www.moviechart.co.kr/rank/boxoffice
호컴,2026-07-22,9002,https://www.moviechart.co.kr/rank/boxoffice
지느러미,2026-07-22,5447,https://www.moviechart.co.kr/rank/boxoffice
고도: 기다리는 사람들,2026-07-25,,https://ko.wikipedia.org/wiki/2026%EB%85%84_%EB%8C%80%ED%95%9C%EB%AF%BC%EA%B5%AD%EC%9D%98_%EC%98%81%ED%99%94_%EB%AA%A9%EB%A1%9D
산양들,2026-07-29,821,https://www.moviechart.co.kr/rank/boxoffice
