id,title,title_aliases,title_category,title_cast,place_name,place_type,place_address,place_latitude,place_longitude,place_image_url,place_naver_url,scene_description,source_url,last_updated
,케이팝 데몬 헌터스,KPop Demon Hunters,movie,아덴 조;메이 홍;유지영,N서울타워,관광명소(전망대),서울 용산구 남산공원길 105,37.5513049702718,126.988230622132,,,극 중 귀마가 서울 전역을 소환해 최종 콘서트 겸 대결을 벌이는 무대의 배경이 된 서울 랜드마크,https://mediahub.seoul.go.kr/archives/2015071;https://www.mt.co.kr/politics/2026/03/19/2026031915451190181,2026-07-31
,케이팝 데몬 헌터스,KPop Demon Hunters,movie,아덴 조;메이 홍;유지영,북촌한옥마을,관광명소(전통마을),서울 종로구 북촌로 53,37.581768153833444,126.98481245064092,,,극 중 루미와 진우가 밤에 만나 정을 나누고 함께 듀엣곡 'Free'를 부르는 장면의 배경이 된 한옥마을,https://mediahub.seoul.go.kr/archives/2015071;https://www.econovill.com/news/articleView.html?idxno=717264,2026-07-31
,케이팝 데몬 헌터스,KPop Demon Hunters,movie,아덴 조;메이 홍;유지영,낙산공원,공원(성곽길),서울 종로구 낙산길 41,37.58056966858,127.007521763748,,,극 중 루미와 진우가 한양도성 성곽길 야경을 배경으로 로맨틱한 대화를 나누는 장면의 배경,https://mediahub.seoul.go.kr/archives/2015071;https://ch.yes24.com/Article/View/81593,2026-07-31
,케이팝 데몬 헌터스,KPop Demon Hunters,movie,아덴 조;메이 홍;유지영,코엑스 K팝 스퀘어,랜드마크(전광판),서울 강남구 영동대로 513,37.511824182641504,127.05915859162609,,,극 중 헌트릭스의 신곡 'Golden' 뮤직비디오가 대형 3D 전광판에 최초 공개되는 장면의 배경,https://mediahub.seoul.go.kr/archives/2015071;https://www.forbeskorea.co.kr/news/articleView.html?idxno=401820,2026-07-31
,케이팝 데몬 헌터스,KPop Demon Hunters,movie,아덴 조;메이 홍;유지영,청담대교,교량,서울 광진구 자양동 824,37.525894367582204,127.06410776758645,,,극 중 헌트릭스가 지하철 위에서 악령들과 격렬한 전투를 벌이는 장면의 배경이 된 다리,http://www.opinionnews.co.kr/news/articleView.html?idxno=126188;https://www.mydaily.co.kr/page/view/2025071714402778650,2026-07-31
,케이팝 데몬 헌터스,KPop Demon Hunters,movie,아덴 조;메이 홍;유지영,뚝섬한강공원,공원(한강공원),서울 광진구 자양동 427-6,37.5292974433415,127.06892112991,,,극 중 헌트릭스가 청담대교 전투에 이어 한강공원 일대에서 악령과 싸우는 전투 장면의 배경,https://www.naeil.com/news/read/561066;https://www.forbeskorea.co.kr/news/articleView.html?idxno=401820,2026-07-31
,케이팝 데몬 헌터스,KPop Demon Hunters,movie,아덴 조;메이 홍;유지영,자양역,지하철역,서울 광진구 능동로 10,37.53155927720518,127.06679509976304,,,극 중 청담대교 전투 후 헌트릭스가 내리는 역으로 작중 '섬유원지역'이라는 이름으로 등장,http://www.edaily.co.kr/news/newspath.asp?newsid=01154566642330952;http://www.opinionnews.co.kr/news/articleView.html?idxno=126188,2026-07-31
,케이팝 데몬 헌터스,KPop Demon Hunters,movie,아덴 조;메이 홍;유지영,명동거리,관광명소(테마거리),서울 중구 명동2가,37.5620769169639,126.984901336292,,,극 중 사자보이즈가 거리 공연 'Soda Pop'을 펼치고 헌트릭스와 처음 마주치는 장면의 배경,https://mediahub.seoul.go.kr/archives/2015071;https://www.mydaily.co.kr/page/view/2025071714402778650,2026-07-31
,케이팝 데몬 헌터스,KPop Demon Hunters,movie,아덴 조;메이 홍;유지영,잠실종합운동장(서울올림픽주경기장),경기장,서울 송파구 올림픽로 25,37.515852166006034,127.0727885566667,,,극 중 헌트릭스의 대규모 콘서트 장면의 모델이 된 경기장으로 팬들이 가장 많이 찾는 성지순례지,https://mediahub.seoul.go.kr/archives/2015071;http://www.yonhapnewstv.co.kr/MYH20250829143148701,2026-07-31
,케이팝 데몬 헌터스,KPop Demon Hunters,movie,아덴 조;메이 홍;유지영,경복궁,고궁,서울 종로구 사직로 161,37.577613288258206,126.97689786832184,,,극 중 진우의 400년 전 조선시대 회상 장면에 등장하는 궁궐의 배경으로 추정되는 곳,http://www.edaily.co.kr/news/newspath.asp?newsid=04585446642266664;https://www.forbeskorea.co.kr/news/articleView.html?idxno=401820,2026-07-31
,케이팝 데몬 헌터스,KPop Demon Hunters,movie,아덴 조;메이 홍;유지영,서울한방진흥센터,문화시설(한의약박물관),서울 동대문구 약령중앙로 26,37.580701813863506,127.03746850219292,,,극 중 루미가 목소리 이상을 치료하러 찾아가는 'HAN의원'의 실제 모델이 된 한방진흥센터,https://www.khan.co.kr/article/202509022102015;https://www.donga.com/news/Culture/article/all/20250928/132478116/1,2026-07-31
,케이팝 데몬 헌터스,KPop Demon Hunters,movie,아덴 조;메이 홍;유지영,삼청동거리,관광명소(테마거리),서울 종로구 팔판동 67-1,37.5820641053666,126.981482777468,,,북촌 인근 전통 거리로 극 중 배경으로 등장한 뒤 더욱 주목받게 된 곳,https://www.joongang.co.kr/article/25361078,2026-07-31
