id,title,title_aliases,title_category,title_cast,place_name,place_type,place_address,place_latitude,place_longitude,place_image_url,place_naver_url,scene_description,source_url,last_updated
,파묘,Exhuma,movie,최민식;김고은;유해진,국립아시아문화전당(ACC),문화시설,광주광역시 동구 문화전당로 38,35.147057304165,126.92003143495,,,화림과 봉길이 위독한 아기를 만나러 미국 병원을 찾아가는 영화 도입부 병원 장면,https://blog.naver.com/gwangju_city/223676172103,2026-07-30
,파묘,Exhuma,movie,최민식;김고은;유해진,더 플라자 서울,호텔,서울특별시 중구 소공로 119,37.5646641418657,126.978090221167,,,풍수학자 김상덕이 호텔이 자리한 터가 명당임을 설명하는 장면,https://blog.naver.com/berita_/223402911397,2026-07-30
,파묘,Exhuma,movie,최민식;김고은;유해진,담양 경상리 느티나무(당산나무),자연/문화유적,전라남도 담양군 가사문학면 경상리 400,35.15869743610564,127.0443851412743,,,무당 화림의 회상 장면 속 신령한 당산나무로 등장,https://www.harpersbazaar.co.kr/article/1861948,2026-07-30
,파묘,Exhuma,movie,최민식;김고은;유해진,아홉산숲,자연/숲,부산광역시 기장군 철마면 미동길 37-1,35.2870427695427,129.171517582693,,,상덕 일행이 조상의 묘를 찾아 산길을 오르는 장면,https://www.harpersbazaar.co.kr/article/1861948,2026-07-30
,파묘,Exhuma,movie,최민식;김고은;유해진,대운산자연휴양림,자연휴양림,경상남도 양산시 탑골길 270,35.41785088955261,129.2089115402033,,,숲과 캠핑장이 있는 산길 배경 장면,https://thecinemaholic.com/where-exhuma-filmed/,2026-07-30
,파묘,Exhuma,movie,최민식;김고은;유해진,기장도예관광힐링촌,관광명소,부산광역시 기장군 장안읍 기룡리 산 133,35.3623115672663,129.237835868209,,,조상의 묫자리 오픈세트가 조성돼 상덕과 영근이 송이버섯을 구워 먹는 장면을 촬영,https://www.harpersbazaar.co.kr/article/1861948,2026-07-30
,파묘,Exhuma,movie,최민식;김고은;유해진,한국민속극박물관,박물관,충청남도 공주시 의당면 돌모루2길 17-15,36.5022345885703,127.148156312037,,,도교 경문이 등장하는 장면을 촬영,https://www.harpersbazaar.co.kr/article/1861948,2026-07-30
,파묘,Exhuma,movie,최민식;김고은;유해진,제주신화빌라스,리조트,제주특별자치도 서귀포시 안덕면 신화역사로304번길 139,33.30440505668838,126.32145665440639,,,,http://www.segyebiz.com/newsView/20240227511206,2026-07-30
,파묘,Exhuma,movie,최민식;김고은;유해진,옛 전남도청,역사유적,광주광역시 동구 문화전당로 38,35.14678355738123,126.91948190778369,,,,https://www.newsis.com/view/?id=NISX20240430_0002718429&cID=10201&pID=10200,2026-07-30
,파묘,Exhuma,movie,최민식;김고은;유해진,불광산숲(장안사 인근),자연/숲,부산광역시 기장군 장안읍 장안사로 108 인근,35.37481439794516,129.23286611668468,,,여우가 등장하는 산길(여우 길) 장면을 촬영,https://www.harpersbazaar.co.kr/article/1861948,2026-07-30
