id,title,title_aliases,title_category,title_cast,place_name,place_type,place_address,place_latitude,place_longitude,place_image_url,place_naver_url,scene_description,source_url,last_updated
,해운대,Haeundae (Tidal Wave),movie,설경구;하지원;박중훈,광안대교,랜드마크,부산 수영구 민락동 113-52,35.1474701651617,129.130066851959,,,쓰나미가 광안대교를 덮치며 대형 선박이 걸리고 컨테이너가 떨어지는 재난 장면,https://www.busan.go.kr/news/specnews/view?dataNo=58575&gugun=Prev,2026-07-30
,해운대,Haeundae (Tidal Wave),movie,설경구;하지원;박중훈,해운대해수욕장,해변,부산 해운대구 우동,35.1585232170784,129.159854668484,,,부산 앞바다에서 밀려온 쓰나미가 해운대 해변을 덮치는 영화의 핵심 재난 장면,https://busan.grandculture.net/Contents/Contents?RequestBy=%ED%95%AD%EB%AA%A9%EB%A7%81%ED%81%AC&contents_id=GC04212849&dataType=01&gcode=&isTreeSpread=Y,2026-07-30
,해운대,Haeundae (Tidal Wave),movie,설경구;하지원;박중훈,다대포해수욕장,해변,부산 사하구 다대동,35.0465263488422,128.962741189119,,,,https://busan.grandculture.net/Contents/Contents?RequestBy=%ED%95%AD%EB%AA%A9%EB%A7%81%ED%81%AC&contents_id=GC04212849&dataType=01&gcode=&isTreeSpread=Y,2026-07-30
,해운대,Haeundae (Tidal Wave),movie,설경구;하지원;박중훈,부산사직종합운동장 사직야구장,경기장,부산 동래구 사직로 45,35.194017568250274,129.06154402103502,,,,https://busan.grandculture.net/Contents/Contents?RequestBy=%ED%95%AD%EB%AA%A9%EB%A7%81%ED%81%AC&contents_id=GC04212849&dataType=01&gcode=&isTreeSpread=Y,2026-07-30
,해운대,Haeundae (Tidal Wave),movie,설경구;하지원;박중훈,해운대미포횟집,상점,부산 해운대구 달맞이길62번길 38,35.1585514907504,129.170973131585,,,주인공들의 애잔한 사랑 이야기가 담긴 장면이 촬영된 활어횟집,https://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0001304097,2026-07-30
,해운대,Haeundae (Tidal Wave),movie,설경구;하지원;박중훈,해운대 포장마차촌 바다마을,거리,부산 해운대구 달맞이길62번길 38,35.1585008784355,129.171182465021,,,해운대 포장마차촌에서 이민기와 강예원이 술잔을 기울이는 장면,https://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0001304097,2026-07-30
,해운대,Haeundae (Tidal Wave),movie,설경구;하지원;박중훈,해운대전통시장,상점가,부산 해운대구 구남로41번길 22-1,35.1613986341697,129.16233605367,,,쓰나미 장면 촬영을 위해 대형 수조를 설치하고 도로를 통제해 촬영한 곳,https://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0001304097,2026-07-30
,해운대,Haeundae (Tidal Wave),movie,설경구;하지원;박중훈,누리마루 APEC하우스,건물외관,부산 해운대구 동백로 116,35.1523345777828,129.151325936955,,,역대 APEC 정상회의가 열렸던 건물이 영화 속 배경으로 등장한 곳,https://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0001304097,2026-07-30
,해운대,Haeundae (Tidal Wave),movie,설경구;하지원;박중훈,동백섬,자연경관,부산 해운대구 우동 708-3,35.1539431141198,129.152289970167,,,,https://busan.grandculture.net/Contents/Contents?RequestBy=%ED%95%AD%EB%AA%A9%EB%A7%81%ED%81%AC&contents_id=GC04212849&dataType=01&gcode=&isTreeSpread=Y,2026-07-30
,해운대,Haeundae (Tidal Wave),movie,설경구;하지원;박중훈,이기대도시자연공원,자연경관,부산 남구 용호동 산 125-2,35.11658442953258,129.12255030176132,,,최형식과 김희미가 광안대교 야경을 보며 데이트하는 장면,https://www.busan.go.kr/news/specnews/view?dataNo=58575&gugun=Prev,2026-07-30
,해운대,Haeundae (Tidal Wave),movie,설경구;하지원;박중훈,오륙도,자연경관,부산 남구 용호동 936,35.09786081865651,129.12405810888256,,,,https://busan.grandculture.net/Contents/Contents?RequestBy=%ED%95%AD%EB%AA%A9%EB%A7%81%ED%81%AC&contents_id=GC04212849&dataType=01&gcode=&isTreeSpread=Y,2026-07-30
,해운대,Haeundae (Tidal Wave),movie,설경구;하지원;박중훈,수영만요트경기장,관광명소,부산 해운대구 해운대해변로 84,35.16026170107591,129.14127264196568,,,요트경기장 부지에 오픈세트를 지어 재난 장면을 촬영한 곳,https://busan.grandculture.net/Contents/Contents?RequestBy=%ED%95%AD%EB%AA%A9%EB%A7%81%ED%81%AC&contents_id=GC04212849&dataType=01&gcode=&isTreeSpread=Y,2026-07-30
,해운대,Haeundae (Tidal Wave),movie,설경구;하지원;박중훈,팔레드시즈,건물외관,부산 해운대구 해운대해변로298번길 24,35.1602233060212,129.166584443581,,,,https://busan.grandculture.net/Contents/Contents?RequestBy=%ED%95%AD%EB%AA%A9%EB%A7%81%ED%81%AC&contents_id=GC04212849&dataType=01&gcode=&isTreeSpread=Y,2026-07-30
