id,place_name,scene_description,desc_source_url
st_04476,시스원 본사,,
st_04478,놋다리문화공원,,
st_04479,어나더사이드,,
st_04481,파란나라문구완구할인매장,7화에서 하늘과 정우가 학교 앞 문방구 오락기로 테트리스를 하다 아이들 원성을 듣는 장면,https://blog.naver.com/tammara/223356568618
st_04482,월드컵북로,,
st_04483,누리꿈스퀘어.MBC 정류장,,
st_04484,가온문화공원,,
st_04485,월드컵경기장역,,
st_04486,신한은행 앞,,
st_04487,카페공명 연남점,,
st_04489,알페로,9화에서 민경민이 하늘에게 다정함으로 가스라이팅하는 레스토랑 장면,https://blog.naver.com/redmee2/223364739384
st_04490,콜린,,
st_04491,가든포에트,빈대영과 이홍란이 데이트하다 유튜브 구독 사실로 티격태격하는 레스토랑 장면,https://blog.naver.com/tammara/223356568618
st_04492,이리카페,,
st_04493,신촌인생네컷 앞,,
st_04494,고바우 앞,10화에서 정우가 하늘에게 예전 땡초 이야기가 거짓말이었다고 고백하는 골목길 장면,https://blog.naver.com/hsc_one1/223365197228
st_04495,세븐일레븐 신촌원룸점,,
st_04496,신촌푸르지오,,
st_04497,미니스톱 북아현푸르지오점,,
st_04499,드링크잇 마포,6화에서 정우와 하늘이 와인을 사러 함께 찾아가는 와인매장 장면,https://blog.naver.com/dalkomi84/223353956540
st_04500,서강대교,,
st_04502,한국수출입은행 뒷편,,
st_04503,도약 여의도본점,,
st_04505,오륜빌딩,,
st_04506,국민은행 여의도영업부,,
st_04510,연세봄 정신건강의학과의원,1화에서 하늘이 상담을 받고 우울증 진단을 받는 정신건강의학과 병원 내부로 등장하는 곳,https://blog.naver.com/redmee2/223351811107
st_04512,본동 주택,,
st_04513,노들섬,1화에서 정우가 한강 노들섬에서 홀로 마음을 추스르는 장면,https://blog.naver.com/hsc_one1/223336093180
st_04514,용산전자상가 제1공영주차장 앞,,
st_04515,부라보선술집,2화에서 하늘과 정우가 처음으로 함께 술자리를 갖는 선술집 장면,https://blog.naver.com/dalkomi84/223353956540
st_04516,아티제 신용산역점,,
st_04517,백범광장,,
st_04518,덕수궁돌담길,,
st_04519,정동제일교회 앞,,
st_04520,낙동강 앞,,
st_04522,메종한남,,
st_04524,곤식당,,
st_04525,성곽마을마당,,
st_04528,호기심 앞,,
st_04529,퇴계로68길,8화에서 하늘이 자신의 아픔 때문에 정우에게 이별을 고하는 광희문 성곽길 장면,https://blog.naver.com/redmee2/223358415239
st_04530,광희문교회 앞,,
st_04531,청구로,,
st_04532,갤러리소연카페,이성경이 카메오로 출연해 하늘을 질투하게 만드는 장면이 촬영된 종로의 카페,https://blog.naver.com/tammara/223356568618
st_04535,킴스부띠끄 삼청점,,
st_04536,이음더플레이스,16화에서 하늘의 미국 진출을 축하하는 가족 파티가 열리는 한옥 갤러리 장면,https://blog.naver.com/hsc_one1/223385857369
st_04540,주정형외과의원,,
st_04541,오로라베이커리카페 성수점,,
st_04543,광진문화예술회관 앞,,
st_04546,교대평상집,,
st_04547,뽑기의신 신사역점,,
st_04548,도산대로,,
st_04549,29펍 4호점,1화에서 하늘과 정우가 자주 찾아가는 술집으로 반복 등장하는 장소,https://blog.naver.com/dalkomi84/223353956540
st_04552,애슐린 앞,,
st_04553,정겨운오뎅집 삼성점 앞,15화에서 정우와 하늘이 병원 근무를 마치고 술 한잔 하러 가는 오뎅집 장면,https://blog.naver.com/hsc_one1/223385857369
st_04558,라티튜드32,12화에서 정우와 하늘이 위스키를 마시다 술잔을 떨어뜨리며 불안해하는 바 장면,https://blog.naver.com/tammara/223371773445
st_04561,페이지37,,
st_04569,저지클럽,,
st_04571,원미로8번길,,
st_04573,판교세븐벤처밸리 정류장,,
st_04575,성남시의료원,,
st_04576,모조에스핀 신세계백화점 경기점,4화에서 하늘과 정우가 쇼핑하러 가는 장소로 등장하는 백화점 매장 장면,https://blog.naver.com/hsc_one1/223344326404
st_04577,풀내음,5화에서 면접 보러 간 하늘을 정우가 따라 내려가 함께 들르는 식당 장면,https://blog.naver.com/dalkomi84/223353956540
st_04578,메밀꽃필무렵모텔,5화에서 응급처치로 막차를 놓친 하늘과 정우가 하룻밤 묵어가는 모텔 장면,https://blog.naver.com/redmee2/223350595917
st_04581,송도물회 앞,,
st_04592,신선초등학교,4화에서 하늘의 어린 시절 회상 장면에 등장하는 부산 초등학교,https://blog.naver.com/hsc_one1/223344326404
st_04594,다대포해수욕장,16화(최종회)에서 하늘이 정우의 프로포즈에 결혼하자고 답하는 일출 바닷가 장면,https://blog.naver.com/redmee2/223387144065
