id,place_name,scene_description,desc_source_url
st_20073,울산대학교,D.P.에서 이등병 안준호와 한호열이 탈영병의 거주지와 다니던 대학교를 뒤지는 장면,https://blog.naver.com/rrhakd3474/222497044366
st_20074,청하공진시장,극중 '공진시장'의 실제 배경으로 보라슈퍼·청호철물·오윤카페 등 여러 세트가 모여 있는 촬영지,https://blog.naver.com/hj86510/224343653950
st_20075,오윤카페(한낮에 커피 달밤에 맥주),윤혜진이 커피가 맛없다며 가지 않으려 했던 오윤(가수)이 운영하는 카페로 등장한 곳,https://blog.naver.com/hj86510/224343653950
st_20076,청호철물,홍두식(홍반장)이 배 수리 부품을 사러 오는 철물점으로 등장한 촬영지,https://blog.naver.com/hj86510/224343653950
st_20077,보라슈퍼,윤혜진이 고급 샴푸가 없다며 가지 않으려 했던 동네 슈퍼로 등장한 곳,https://blog.naver.com/hj86510/224343653950
st_20078,공진시장 오징어 동상,윤혜진이 아이들에게 고슴도치 '슴슴이'를 임보하게 되는 장면에 등장한 오징어 동상,https://blog.naver.com/jg8889/222526312684
st_20079,윤치과(청진3리어민복지회관),"윤혜진(신민아)이 개업한 치과 건물 외관으로 쓰인 촬영지로, 현재는 윤스토랑으로 운영 중",https://blog.naver.com/26th_bluemoon/224344029787
st_20080,목은봉,홍두식이 할아버지에게 물려받은 배를 수리하며 혜진과 만나는 장면이 촬영된 목은봉 정상,https://blog.naver.com/mcstkorea/223115641496
st_20081,이가리 닻 전망대,,
st_20082,카페1703,,
st_20083,구룡포항 언덕(전망 계단),,
st_20084,구룡포공원(구룡 조형물),,
st_20085,석병1리 방파제,혜진과 두식이 고백하며 데이트하는 장면이 촬영된 방파제 빨간 등대,https://blog.naver.com/maereokee/223516190241
st_20086,청진리 마을회관,마을 어르신들이 모여 있는 장면이 촬영된 청진리 마을회관,https://blog.naver.com/rrhakd3474/222500725080
st_20087,구룡포해수욕장,,
st_20088,홍환해수욕장,,
st_20089,월포해수욕장,윤혜진과 홍두식의 첫 만남 장면과 홍반장의 서핑 장면이 촬영된 해변,https://blog.naver.com/she_the_traveler/223796510201
st_20090,곤륜산 활공장,홍두식이 외부인을 데려가 마을 '전망대'라 소개하는 언덕 장면이 촬영된 곳,https://blog.naver.com/jawsnews/224254735080
st_20101,영월 요선암·요선정,고려치킨 배달을 위해 해수가 왕소에게 도시락을 가져다주는 장면을 촬영한 곳,https://blog.naver.com/cma0479/222338133897
st_20102,구례 사성암,,
st_20103,경산 반곡지,마지막 회에서 왕소가 해수를 업고 뛰는 장면을 촬영한 곳,https://blog.naver.com/cma0479/222338133897
st_20116,서산버드랜드(천수만 철새도래지),2화에서 수진(이보영)이 철새 떼를 보며 혜나(허율)를 품에 안고 보호자가 되기로 결심하는 장면,https://www.sedaily.com/article/11794090
st_20117,국립산림과학원,,
st_20118,불은초등학교,,
st_20119,삼척항,,
st_20120,롯데콘서트홀,,
st_20121,무릉계곡관광지,,
st_20122,삼화사,,
st_20123,약천사,,
st_20124,대방동 아파트 단지,고무치 형사가 범인을 몰아붙이며 추격하는 장면을 촬영한 아파트 단지,https://koreandramalocation.com/mouse
st_20125,정릉동 마을(구동 지구 촬영지),극중 가상 마을 구동의 입구이자 잡화점 앞 골목으로 나온 정릉동 촬영지,https://koreandramalocation.com/mouse
st_20126,본이 할머니 집,본이와 할머니가 함께 사는 집으로 나온 장면을 촬영한 곳,https://koreandramalocation.com/mouse
st_20127,정바름(정재훈)의 집,이승기가 연기한 정바름의 집으로 나온 장면을 촬영한 곳,https://koreandramalocation.com/mouse
st_20128,서울방배경찰서,극중 무진경찰서로 나온 옛 서울방배경찰서 건물 촬영지,https://koreandramalocation.com/mouse
st_20129,성남시청,인천힘찬병원의 병원 로비 장면을 촬영한 성남시청 청사,https://koreandramalocation.com/mouse
st_20130,인천함찬종합병원,손요한이 근무하는 병원으로 나온 인천 힘찬종합병원,https://koreandramalocation.com/mouse
st_20131,응급센터 촬영 세트장,손요한이 일하는 응급외래(응급실) 장면을 촬영한 세트장,https://koreandramalocation.com/mouse
st_20132,조이매드 스튜디오,응급외래(응급실) 입구 장면을 촬영한 조이마당스튜디오,https://koreandramalocation.com/mouse
st_20133,구 장흥교도소,한소정이 수감돼 있고 지국이 근무하는 교도소로 나온 구 장흥교도소,https://koreandramalocation.com/mouse
st_20134,고양시 장항동 촬영지,시신 발견 현장으로 나온 고양시 장항동 촬영지,https://koreandramalocation.com/mouse
st_20135,부산해양경찰서 (경찰서 세트),극중 지우가 위장 잠입한 인창서(경찰서) 외경으로 여러 화에 걸쳐 등장하는 장면,https://blog.naver.com/janelleyoon/222551186893
st_20136,깡깡이예술마을,5화에서 강재 패거리와 동천파가 인근 부둣가에서 패싸움을 벌이는 장면,https://blog.naver.com/janelleyoon/222551186893
st_20137,부산대교,지우와 무진이 다리를 사이에 두고 만나 대화를 나누는 장면,https://www.yna.co.kr/view/AKR20211022119900051
st_20139,을지로4가 공중전화 골목,,
st_20140,산림동 골목,,
st_20141,세운전자상가,,
st_20147,한약방,10화에서 유진초이가 옛 은인 은산을 찾아가 하룻밤 재워달라 청하는 장면,https://www.youtube.com/watch?v=CEJwGTmtRZ0
st_20148,한성전기,극중 유진초이의 한성전기 2층 집무실로 등장하는 건물,https://m.blog.naver.com/rdg80767/221367520752
