id,place_name,scene_description,desc_source_url
st_17962,몬드리안 서울 이태원,구원이 호랑이 무늬 티셔츠를 입고 러닝머신을 뛰다 변태로 오해받는 장면이 촬영된 헬스장이다.,https://blog.naver.com/tammara/223133702615
st_17966,더 스테이크 하우스 피어 79,15화에서 구원이 천사랑에게 프러포즈하려다 이별 통보를 받는 레스토랑 장면이 촬영됐다.,https://blog.naver.com/tammara/223176441714
st_17967,데블스도어 그래머시 센트럴,,
st_17968,조선팰리스 서울 강남,2화에서 천사랑이 구원의 객실에 들어가 화장실을 쓰다 들켜 소동이 벌어지는 장면이 촬영됐다.,https://blog.naver.com/tammara/223133702615
st_17970,플레르다솔,구원이 천사랑에게 줄 꽃다발을 사러 가는 꽃집으로 등장하는 장면이 촬영됐다.,https://blog.naver.com/hsc_one1/223133555174
st_17971,MCM 롯데면세점 월드타워점,천사랑의 친구 강다을이 근무하는 MCM 매장으로 등장하는 장면이 촬영됐다.,https://blog.naver.com/tammara/223133702615
st_17972,롯데월드,구원과 천사랑이 교복을 입고 데이트하며 회전목마와 야간개장 성을 구경하는 장면이 나온다.,https://blog.naver.com/true0556/223409219466
st_17973,파라다이스시티,킹호텔 100주년 기념 연회 장소로 등장하는 장면이 촬영됐다.,https://blog.naver.com/hsc_one1/223133555174
st_17974,그랜드하얏트 인천 육교,,
st_17975,뻘다방,휴가를 못 가는 직원들이 모여 웃지 못할 휴가 이벤트를 벌이는 장소로 나온다.,https://blog.naver.com/hsc_one1/223133555174
st_17976,포시즌스튜디오,천사랑이 브리핑하는 장면이 촬영된 실내 스튜디오 세트장이다.,https://blog.naver.com/hsc_one1/223145364583
st_17977,단스튜디오,극중 인물이 회장과 대화하는 장면이 촬영된 실내 스튜디오 세트장이다.,https://blog.naver.com/hsc_one1/223145364583
st_17979,킨텍스로,,
st_17980,웨스턴빌리프,,
st_17982,GS25 지축명성점,,
st_17983,사랑의전원마을,,
st_17984,고양휴게소(서울방향),5~6화에서 지리산에서 사랑을 구출한 뒤 돌아오는 길에 들르는 고속도로 휴게소로 등장한다.,https://blog.naver.com/hsc_one1/223145364583
st_17985,에어로피스,5~6화에서 지리산에 고립된 사랑을 구하러 구원이 헬기로 출동하는 탑승장 장면이다.,https://blog.naver.com/hsc_one1/223145364583
st_17988,우주공원.코스맥스 정류장,구원이 사랑에게 꽃다발 깜짝 이벤트를 하는 판교 코스맥스 앞 정류장으로 등장하는 장면이다.,https://blog.naver.com/hsc_one1/223133555174
st_17989,넥슨 정류장,구원과 사랑이 셔틀버스 정류장에서 소동을 벌이는 장면의 배경으로 등장한다.,https://blog.naver.com/hsc_one1/223133555174
st_17990,피아제 현대백화점 판교점,구원이 사랑에게 줄 반지를 사러 가는 주얼리 매장으로 등장하는 장면이다.,https://blog.naver.com/hsc_one1/223133555174
st_17991,광주공원묘원,구원과 사랑이 결혼을 약속한 뒤 구원 어머니 산소를 찾아 인사하는 장면이다.,https://blog.naver.com/hsc_one1/223133555174
st_17994,유주별장,극 후반부 사랑이 펜션 매물을 검색할 때 화면 속 사진으로 등장하는 감성 펜션이다.,https://blog.naver.com/hsc_one1/223133555174
