id,place_name,scene_description,desc_source_url
st_02910,전주식당,,
st_02911,송현근린공원,,
st_02912,송현동집,,
st_02913,대전슈퍼,,
st_02914,새마을금고,,
st_02915,숭의동집1,,
st_02916,숭의동집2,극 중 이지안 집으로 올라가는 골목이자 박기훈과 최유라가 만나던 골목으로 등장하는 장면,https://blog.naver.com/bl85219/222385036609
st_02917,송림동집,,
st_02919,명인빌딩,,
st_02920,너없는이곳너없는하루,,
st_02921,미니스톱,,
st_02922,연안아파트상가,"극 중 이광일의 사채업체 영광대부 사무실로 동훈이 계단에서 이광일과 몸싸움하는 장면",https://blog.naver.com/bl85219/222385036609
st_02923,무지개약국,,
st_02924,사당,,
st_02926,신덕맨션,1화에서 박동훈의 어머니 변요순이 집 앞 화단에서 파를 뽑아 다듬는 장면,https://ififollowme.blogspot.com/2019/05/my-mister-shinduk-mansion.html
st_02931,서울 영등포구,,
st_02932,갈월동지하차도,,
st_02933,서울 용산구,,
st_02934,본죽,,
st_02935,풍전아파트 (Pungjeon Apt),,
st_02938,카페에스크,,
st_02941,숙대입구역,,
st_02945,청기와양복점,1화에서 박동훈이 동생 박상훈에게 양복을 사주는 장면,https://ififollowme.blogspot.com/2019/04/my-mister-chung-ki-wa-tailor-shop.html
st_02946,남영빌딩,,
st_02947,서울 은평구,,
st_02951,미니스톱,,
st_02952,서울 도렴동,,
st_02953,센터포인트빌딩,,
st_11605,신월동쓰리팝PC방,,
st_11606,CU신월하나점(폐업),,
st_11607,한성상가,,
st_11608,미래산업 잭,6화에서 고현탁과 서준태가 박후민을 찾으러 간 영진산업으로 등장하는 장면,https://blog.naver.com/location_info/223847716565
st_11609,삼진기업주변,,
st_11610,헤이피피 홍대점,극 중 최효만 무리가 자주 가는 술집으로 등장하는 장면,https://blog.naver.com/beerry/223849631829
st_11611,클럽엑스엑스2,,
st_11612,어울마당로,,
st_11613,영등포경찰서,,
st_11614,영등포경찰서앞,,
st_11615,이앤비하이코,,
st_11616,영등포로,,
st_11617,밤동산지하보도,2화에서 박후민이 처음 등장하는 신길동 밤동산 마을 굴다리 장면,https://blog.naver.com/location_info/223846315857
st_11618,영등포로67가길,,
st_11619,영등포로79가길,,
st_11620,이레아키빌,,
st_11621,쓰리팝PC카페대방점,,
st_11622,노량진로26길,,
st_11623,문배동이안아파트앞 정류장,,
st_11624,멕시칸치킨 효창중앙점,3화에서 박후민의 아버지가 운영하는 치킨집으로 등장하는 장면,https://blog.naver.com/location_info/223847716565
st_11625,효창원로69길,,
st_11626,서울역사박물관,5화에서 고현탁이 서준태에게 싸움을 가르쳐주는 장면,https://blog.naver.com/location_info/223847716565
st_11627,중랑천 농구장,,
st_11628,중대로 횡단보도,,
st_11629,송파사회복지관.성요셉성당 정류장,,
st_11630,거마로7길,,
st_11631,강동경희대학교의대병원,극 중 선강대학교병원으로 등장하며 연시은이 스마트폰을 사러 가는 길목 장면,https://blog.naver.com/beerry/223849631829
st_11632,인천공항,,
st_11633,인천하늘고등학교,극 중 나백진이 다니는 여일고등학교로 등장하는 장면,https://blog.naver.com/location_info/223847716565
st_11634,송도트리플스트리트,,
st_11635,성사교회,,
st_11636,뉴대성병원,,
st_11637,로얄볼링장,4화에서 금성제가 연시은을 데리고 가는 아지트 볼링장으로 등장하는 장면,https://blog.naver.com/location_info/223847716565
st_11638,이디야커피 하남덕풍초교점,,
st_11639,대전시민천문대 주차장,극 중 은장고와 연합 무리가 마지막 대규모 패싸움을 벌이는 장면,https://blog.naver.com/lycochu/224272806848
st_11640,한남대학교,극 중 혼수상태에서 깨어난 안수호가 휠체어를 타고 등장해 연시은과 재회하는 장면,https://blog.naver.com/lycochu/224272806848
st_11641,우송대학교 동캠퍼스,극 중 드라마의 오프닝 장면이 이곳에서 촬영된 장소,https://blog.naver.com/529season/223950344345
st_11642,오랑1길 육교,,
st_11643,육교앞,,
st_11644,대전대신고등학교,극 중 연시은이 전학 간 은장고등학교로 등장하며 등하교 장면이 촬영된 곳,https://blog.naver.com/redmee2/223826714757
