id,place_name,scene_description,desc_source_url
st_05175,아그레아블,,
st_05176,파리바게트,,
st_05177,여의도한강공원,,
st_05178,북촌진곰탕,,
st_05179,세종문화회관,,
st_05180,광화문광장,평행세계를 넘어온 이곤이 광화문광장에서 정태을을 발견하고 격하게 포옹하는 장면,https://www.mhns.co.kr/news/articleView.html?idxno=406011
st_05181,한국은행화폐박물관,,
st_08977,예전,극 중 상태가 동생 강태에게 저녁을 사주며 다정하게 챙기는 장면,https://koreandramalocation.com/its-okay-to-not-be-okay/3
st_08978,인천아트플랫폼,극 중 문영이 인천아트플랫폼에서 피자를 대량으로 사는 장면,https://koreandramalocation.com/its-okay-to-not-be-okay/3
st_08982,버스정류장,,
st_08983,샛골설렁탕,,
st_08984,웰빙쌈밥앤칡불냉면,,
st_08985,서브웨이,,
st_08986,송도아울렛,극 중 트리플스트리트에서 문영의 동화책 사인회가 열리는 장면,https://koreandramalocation.com/its-okay-to-not-be-okay/
st_08987,서래갈매기,극 중 문영이 서래갈매기에서 고기를 맛있게 먹는 장면,https://creatrip.com/en/blog/7936
st_08989,대성관,,
st_08990,엔젤리너스,극 중 문영과 강태가 여의도 카페에서 다투는 장면,https://creatrip.com/en/blog/7936
st_08992,노들견우카페,,
st_08993,후암동집,,
st_10114,동일슈퍼,,
st_10115,서니구락부,,
st_10120,삼부조명,,
st_10121,화신유통,,
st_10123,교보빌딩앞,,
st_10125,효자분식,,
st_10152,더현대서울,,
st_10153,강변북로,,
st_10154,"반포대교,잠수교",극 중 반포대교에서 벌어지는 추격신이 펼쳐지는 장면,https://star.ohmynews.com/NWS_Web/OhmyStar/at_pg.aspx?CNTN_CD=A0002983564
st_10155,코엑스교차로,,
st_10156,잠실종합운동장,극 중 서울종합운동장을 배경으로 폭발신이 펼쳐지고 생존자들이 지하 시설에서 살아가는 장면,https://star.ohmynews.com/NWS_Web/OhmyStar/at_pg.aspx?CNTN_CD=A0002983564
st_10157,부천아트벙커 B39,,
st_10457,하남돼지/코엑스점,,
st_14690,뮈렌,,
st_14691,맥도날드,,
st_14692,성공회대,,
st_14694,그린클라우드,,
st_14695,한국기원,극 중 최택이 바둑을 두러 다니는 한국기원으로 등장하는 장소,https://namu.wiki/w/%EC%9D%91%EB%8B%B5%ED%95%98%EB%9D%BC%201988/%ED%83%90%EA%B5%AC
st_14696,내마음의풍차,,
st_14697,경찰병원,,
st_14698,공군회관,20화(최종화)에서 성선우와 성보라의 결혼식이 열리는 장면,https://namu.wiki/w/%EC%9D%91%EB%8B%B5%ED%95%98%EB%9D%BC%201988/%ED%83%90%EA%B5%AC
st_14699,앙카라공원,,
st_14700,후암동 골목,,
st_14701,후암동 골목,,
st_17931,양평버스터미널,,
st_17932,행운맨션,,
st_17933,섬강 수변공원,,
st_17934,제천서울병원,,
st_17935,황간초등학교,,
st_17936,놀뫼시민장례원,,
st_17937,상관반점,,
st_19856,오렌지힐,,
st_19860,장수갈매기,,
st_19861,누리꿈스퀘어.MBC,,
st_19862,누리꿈스퀘어 서쪽,,
st_19863,patternETHIOPIA,,
st_19864,CU 서교로점,,
st_19865,상암중고등학교입구버정,,
st_19866,동진아파트,,
