id,place_name,scene_description,desc_source_url
st_10463,노원경찰서,극 중 박해영이 어린 시절 진양경찰서(노원경찰서) 앞에서 억울함을 호소하는 어머니를 지켜보는 회상 장면,https://blog.naver.com/busanpen/220615637668
st_10464,GS25 중계에이스점,극 중 박해영(이제훈)이 목격한 간호사를 쫓아 횡단보도를 건너 달려가는 장면,https://blog.naver.com/busanpen/220616519002
st_10465,미증유옆,,
st_10466,서브웨이,,
st_10468,물빛광장,,
st_10470,CU맞은편,,
st_10471,은영슈퍼,,
st_10477,전일모터스,,
st_10478,남산육교,,
st_10479,헬로양꼬치,,
st_15665,광명신우연립,,
st_15666,동아미디어센터,,
st_15667,마포소금구이,,
st_15668,에이미,,
st_15669,성갤러리,,
st_15670,기계회관본관앞 횡단보도,,
st_15671,녹사평육교,,
st_15672,서울루덴스,,
st_15673,동자아파트,,
st_15675,숭의여대,1화 도입부(0~1분29초경)에 노을 지는 하늘을 배경으로 등장하는 장면,https://blog.naver.com/sewc1903/222880326453
st_15676,바캉스커피,"2화 중반, 오인주(김고은)가 진화영을 따돌린 직원을 만나 대화를 나누는 장면",https://blog.naver.com/tastyavenuewalk/222872623608
st_15677,세운대림상가,,
st_15678,광화문역5번출구,,
st_15679,보칼리노,1화에서 오인주(김고은)와 진화영(추자현)이 부자놀이를 하며 고급 이탈리안 레스토랑을 찾는 장면,https://blog.naver.com/ahw112048/222866679932
st_15680,서대문형무소,,
st_15681,평창동집,,
st_15682,충현슈퍼,,
st_15683,반얀트리 페스타,,
st_15684,그옛날 즉석짜장,,
st_15685,신답역,,
st_15686,아베크청담,극 중 오인주(김고은)와 최도일(위하준)이 바에서 만나 쪽지를 주고받으며 밀담을 나누는 장면,https://blog.naver.com/cheom_i/222897050192
st_15687,아크레도 청담점,,
st_15688,MCM,,
st_15689,올리브빌딩,,
st_15691,안동추억박물관,,
st_15692,울산 대바위공원,,
st_15693,골프존파크,,
st_15694,영상산업센터,,
st_19046,퀸스파크청담점,,
st_19047,데이터복구연구소,,
st_19048,NC백화점,,
st_19049,하계2치안센터,,
st_19050,서울노원경찰서,극 중 한강경찰서로 등장하며 배우 이준이 카메오로 출연하는 촬영 장면,https://blog.naver.com/silica6418/220297784112
st_19051,인덕대학앞,,
st_19052,동작대교전망대앞,,
st_19053,성산동집,,
st_19054,새누리어린이공원,,
st_19055,JTBC,,
st_19059,MBC앞,,
st_19060,중앙공인중개사사무소,,
st_19061,누리꿈스퀘어,,
st_19063,힐하우스,,
st_19064,해담는다리,,
st_19065,연희주택,,
st_19066,첼시하우스,,
st_19067,연희하이츠빌라,,
st_19068,만물슈퍼옆,,
st_19069,원진성형외과,,
st_19070,오목공원,,
st_19071,SBS,,
st_19072,KDB산업은행앞,,
st_19073,이마트여의도점앞,,
st_19074,산호아파트C동,,
st_19075,서강껍데기,,
st_19076,단군성전앞,,
