id,place_name,scene_description,desc_source_url
st_12002,헤이더그린,,
st_12003,다이어메이커 상암,,
st_12004,동교로29길,,
st_12005,키스튜디오,,
st_12006,NGT빌딩,,
st_12007,NGT빌딩 옆골목,,
st_12008,제일크리닝,,
st_12009,성산로22길,,
st_12010,여의도한강공원,,
st_12011,여의도한강공원,,
st_12012,콘래드호텔,,
st_12013,남산타워,,
st_12014,남산공원길,,
st_12015,충현슈퍼 앞,,
st_12016,백범광장,,
st_12017,혜화경찰서,,
st_12018,감고당길,,
st_12019,감고당길 + 윤보선길,,
st_12020,보뜨 플라워앞,,
st_12021,소허당앞,,
st_12022,삼청로2길,,
st_12023,북촌로5길,,
st_12024,팔판길,,
st_12025,북촌로12길,,
st_12026,창덕궁길,,
st_12027,볼링장 정류장,,
st_12028,하우애니,,
st_12029,왕짱구식당,,
st_12030,수연홈마트,,
st_12031,풍년식품 앞,,
st_12032,창덕궁로5길,,
st_12033,궁중음식연구원,,
st_12034,라파지블,,
st_12035,청운공원,,
st_12036,윤동주문학관잎,,
st_12037,한양도성 백악구간(와룡공원쪽),,
st_12038,북악산,,
st_12039,한국문예회관 골목,,
st_12040,낙산길,,
st_12041,마로화적,,
st_12042,신전떡볶이 회기점,,
st_12043,삼선교로4길,,
st_12044,구포국수앞,,
st_12045,오동근린공원(월곡산),,
st_12046,삼양로141길(1),,
st_12047,우이동 주택,,
st_12048,삼양로141길(2),,
st_12049,서울과학기술대학교 무궁관,,
st_12050,대진고등학교,,
st_12051,건영스파밸리,,
st_12052,고반식당 수락산점,,
st_12053,메가박스 성수,,
st_12054,서래섬,,
st_12055,보위그,,
st_12056,에그드랍 강남본점,,
st_12057,마제스티 타바론 티 라운지,,
st_12058,개포로116길,,
st_12059,"중동빌딩, 마루공원 주차장앞",,
st_12060,동막해수욕장,,
st_12061,인하대학교 하이데거의숲,,
st_12062,투썸플레이스 송도센트럴파크점,,
st_12063,조선왕가,,
st_12064,문화극장,,
st_12065,양주한국병원,,
st_12066,금강헬스,,
st_12067,만화속으로,,
st_12068,아나키아,,
st_12069,크리스찬메모리얼파크,,
st_12070,고양체육관 수영장,,
st_12071,세븐일레븐 대화새말공원점,,
st_12072,일산로636번길,,
st_12073,청아체육관,,
st_12074,소노캄고양,,
st_12075,일산호수공원,,
st_12076,능안어린이공원,,
st_12077,수정부동산,,
st_12078,한담,,
st_12079,문수골힐링캠핑장,,
st_12080,경기미래교육 양평캠퍼스,,
st_12081,더블트리 바이 힐튼 서울 판교 닉스,,
st_12082,고반식당 미금역점,,
st_12083,르디투어 광교,,
st_12084,아너스톤,,
st_12085,빌라드파넬,,
st_12086,석남사,,
st_12087,송지호해수욕장,,
st_12088,해변슈퍼,,
st_12089,소노펠리체 델피노,,
st_12090,설악산소공원,,
st_12091,강릉대관령휴게소,,
st_12092,헌화로,,
st_12093,구와우마을,,
st_12094,내수국민체육센터,,
st_12095,오송생명로,,
st_12096,오송프라자,,
st_12097,청주서부소방서,,
st_12098,뒤웅박고을,,
st_12099,대전광역시청,,
st_12100,동부로73번길,,
st_12101,문충사옆길,,
st_12102,용운동 집,,
st_12103,실비식당,,
st_12104,수화림,,
st_12105,월미도테마파크,,
