id,place_name,scene_description,desc_source_url
st_04195,건지마을 풍경포인트,12화에서 백현우와 홍해인이 재회해 두 번째 프로포즈를 하며 감정이 벅차오르는 장면,https://procondition99.tistory.com/1280
st_04196,괴산휴게소(양평방향),,
st_04197,내응새마을회관,충북 괴산 연풍면 내응마을에서 극중 결혼식 피로연 장면을 촬영한 곳,https://bro-coli.tistory.com/1107
st_04198,연풍순교성지,,
st_04199,인포 정육점식당,,
st_04200,왕지3길 신안농원쪽,홍해인이 헬기를 타고 용두리 마을에 도착해 백현우 부모님과 차량·경운기로 마주치는 장면,https://blog.naver.com/seoning94/223415398975
st_04201,왕지3길 정부지원농산물간이집하장 쪽,홍해인이 헬기를 타고 용두리 마을에 도착해 백현우 부모님과 차량·경운기로 마주치는 장면,https://blog.naver.com/seoning94/223415398975
st_04202,이화동길33번길쪽,홍해인이 헬기를 타고 용두리 마을에 도착해 백현우 부모님과 차량·경운기로 마주치는 장면,https://blog.naver.com/seoning94/223415398975
st_04203,이화동길33번길쪽(2),홍해인이 헬기를 타고 용두리 마을에 도착해 백현우 부모님과 차량·경운기로 마주치는 장면,https://blog.naver.com/seoning94/223415398975
st_04204,이화동길33번길쪽(3),홍해인이 헬기를 타고 용두리 마을에 도착해 백현우 부모님과 차량·경운기로 마주치는 장면,https://blog.naver.com/seoning94/223415398975
st_04205,왕림리,홍해인이 헬기를 타고 용두리 마을에 도착해 백현우 부모님과 차량·경운기로 마주치는 장면,https://blog.naver.com/seoning94/223415398975
st_04206,장항송림산림욕장,,
st_04207,서천유스호스텔,,
st_04208,성일복지원,,
st_04209,익산교도소세트장,,
st_04210,용연길 다리,1화~16화 전반에 걸쳐 백현우의 고향 용두리 마을 배경으로 등장하는 곳,https://traveltodrama.com/queen-of-tears-mungyeong-filming-locations-map/
st_04211,용연길 다리지나서,1화~16화 전반에 걸쳐 백현우의 고향 용두리 마을 배경으로 등장하는 곳,https://traveltodrama.com/queen-of-tears-mungyeong-filming-locations-map/
st_04212,용연리(1),1화~16화 전반에 걸쳐 백현우의 고향 용두리 마을 배경으로 등장하는 곳,https://traveltodrama.com/queen-of-tears-mungyeong-filming-locations-map/
st_04213,용연리삼거리,1화~16화 전반에 걸쳐 백현우의 고향 용두리 마을 배경으로 등장하는 곳,https://traveltodrama.com/queen-of-tears-mungyeong-filming-locations-map/
st_04214,용연리(2),1화~16화 전반에 걸쳐 백현우의 고향 용두리 마을 배경으로 등장하는 곳,https://traveltodrama.com/queen-of-tears-mungyeong-filming-locations-map/
st_04215,용연리(2-2),1화~16화 전반에 걸쳐 백현우의 고향 용두리 마을 배경으로 등장하는 곳,https://traveltodrama.com/queen-of-tears-mungyeong-filming-locations-map/
st_04216,용연리(3),1화~16화 전반에 걸쳐 백현우의 고향 용두리 마을 배경으로 등장하는 곳,https://traveltodrama.com/queen-of-tears-mungyeong-filming-locations-map/
st_04217,용연리(4),1화~16화 전반에 걸쳐 백현우의 고향 용두리 마을 배경으로 등장하는 곳,https://traveltodrama.com/queen-of-tears-mungyeong-filming-locations-map/
st_04218,용연리(5),1화~16화 전반에 걸쳐 백현우의 고향 용두리 마을 배경으로 등장하는 곳,https://traveltodrama.com/queen-of-tears-mungyeong-filming-locations-map/
st_04219,용연리(6),1화~16화 전반에 걸쳐 백현우의 고향 용두리 마을 배경으로 등장하는 곳,https://traveltodrama.com/queen-of-tears-mungyeong-filming-locations-map/
st_04220,용연리(7),1화~16화 전반에 걸쳐 백현우의 고향 용두리 마을 배경으로 등장하는 곳,https://traveltodrama.com/queen-of-tears-mungyeong-filming-locations-map/
st_04221,용연리(8),1화~16화 전반에 걸쳐 백현우의 고향 용두리 마을 배경으로 등장하는 곳,https://traveltodrama.com/queen-of-tears-mungyeong-filming-locations-map/
st_04222,위만리(1),,
st_04223,위만리(2),,
st_04224,위만리(3),,
st_04225,위만리(4),,
st_04226,위만리(5),,
st_04227,문경활공랜드,,
st_04228,문경맛집순대,,
st_04229,문희로,,
st_04230,유월의가드니아,,
st_04231,봉득교,,
st_04232,문경에코월드,"12화, 14화에서 용두리 식구들과 퀸즈 가족이 함께 시간을 보내는 장면",https://traveltodrama.com/queen-of-tears-mungyeong-filming-locations-map/
st_04233,잉카마야박물관캠핑장,이국적인 분위기 속에서 여행하는 듯한 장면을 촬영한 곳,https://blog.naver.com/tlsqhtjs20/224273036458
st_04234,구랑리철로자전거,13화에서 백현우와 홍해인이 함께 자전거를 타며 서로에게 진심을 고백하는 장면,https://traveltodrama.com/queen-of-tears-mungyeong-filming-locations-map/
