id,title,title_aliases,title_category,title_cast,place_name,place_type,place_address,place_latitude,place_longitude,place_image_url,place_naver_url,scene_description,source_url,last_updated
,광장,Mercy for None,drama,소지섭;허준호;공명,국회의사당,공공기관,서울 영등포구 의사당대로 1,,,,,,https://haechi-travel.tistory.com/365,2026-07-30
,광장,Mercy for None,drama,소지섭;허준호;공명,경희대 국제캠퍼스,대학교,경기 용인시 기흥구 덕영대로 1732,,,,,,https://haechi-travel.tistory.com/365,2026-07-30
,광장,Mercy for None,drama,소지섭;허준호;공명,용산국제업무지구,도시개발지,서울 용산구 한강로3가 40-957,,,,,,https://haechi-travel.tistory.com/365,2026-07-30
,광장,Mercy for None,drama,소지섭;허준호;공명,안국빌딩,건물,서울 종로구 율곡로 33,,,,,,https://haechi-travel.tistory.com/365,2026-07-30
,광장,Mercy for None,drama,소지섭;허준호;공명,동호대교,교량,서울 성동구 옥수동 487,,,,,,https://haechi-travel.tistory.com/365,2026-07-30
,광장,Mercy for None,drama,소지섭;허준호;공명,콘래드 서울,호텔,서울 영등포구 국제금융로 10,,,,,,https://haechi-travel.tistory.com/365,2026-07-30
,광장,Mercy for None,drama,소지섭;허준호;공명,팔현캠프,캠핑장,경기 남양주시 오남읍 팔현로 175번길 310-60,,,,,,https://haechi-travel.tistory.com/365,2026-07-30
,광장,Mercy for None,drama,소지섭;허준호;공명,남산 일대,공원,서울 용산구 용산동2가 산 1-11,,,,,,https://haechi-travel.tistory.com/365,2026-07-30
,광장,Mercy for None,drama,소지섭;허준호;공명,흥덕U타워,건물,경기 용인시 기흥구 흥덕중앙로 120,,,,,,https://haechi-travel.tistory.com/365,2026-07-30
,광장,Mercy for None,drama,소지섭;허준호;공명,그랑시티 시그니처타워,건물,경기 안산시 상록구 해양3로 15,,,,,,https://haechi-travel.tistory.com/365,2026-07-30
,광장,Mercy for None,drama,소지섭;허준호;공명,볼보자동차 동대문전시장,자동차전시장,서울 동대문구 천호대로 373,,,,,,https://haechi-travel.tistory.com/365,2026-07-30
,광장,Mercy for None,drama,소지섭;허준호;공명,서인천25시야구센터,야구장,인천 서구 북항로32번안길 41,,,,,,https://haechi-travel.tistory.com/365,2026-07-30
,광장,Mercy for None,drama,소지섭;허준호;공명,월드컵북로44길,도로,서울 마포구 상암동 35-7,,,,,,https://haechi-travel.tistory.com/365,2026-07-30
,광장,Mercy for None,drama,소지섭;허준호;공명,월드컵북로48길,도로,서울 마포구 상암동 36-28,,,,,,https://haechi-travel.tistory.com/365,2026-07-30
,광장,Mercy for None,drama,소지섭;허준호;공명,국회대로76길,도로,서울 영등포구 여의도동 11-17,,,,,,https://haechi-travel.tistory.com/365,2026-07-30
,광장,Mercy for None,drama,소지섭;허준호;공명,왕십리로5길,도로,서울 성동구 성수동1가 685-201,,,,,,https://haechi-travel.tistory.com/365,2026-07-30
,광장,Mercy for None,drama,소지섭;허준호;공명,송도센트럴파크호텔,호텔,인천 연수구 테크노파크로 193,,,,,,https://haechi-travel.tistory.com/365,2026-07-30
,광장,Mercy for None,drama,소지섭;허준호;공명,송도라마다호텔,호텔,인천 연수구 능허대로267번길 29,,,,,,https://haechi-travel.tistory.com/365,2026-07-30
,광장,Mercy for None,drama,소지섭;허준호;공명,스포츠타운길,도로,강원 춘천시 삼천동 290-2,,,,,,https://haechi-travel.tistory.com/365,2026-07-30
,광장,Mercy for None,drama,소지섭;허준호;공명,가평성모병원,병원,경기 가평군 가평읍 가화로 75,,,,,,https://haechi-travel.tistory.com/365,2026-07-30
,광장,Mercy for None,drama,소지섭;허준호;공명,군축교,교량,강원 인제군 남면 남전리 704-2,,,,,,https://haechi-travel.tistory.com/365,2026-07-30
,광장,Mercy for None,drama,소지섭;허준호;공명,소양강 인제대교 앞,강변,강원 인제군 남면 남전리 707-1,,,,,,https://haechi-travel.tistory.com/365,2026-07-30
,광장,Mercy for None,drama,소지섭;허준호;공명,사비나미술관,미술관,서울 은평구 진관1로 93,,,,,,https://haechi-travel.tistory.com/365,2026-07-30
,광장,Mercy for None,drama,소지섭;허준호;공명,북서울꿈의숲,공원,서울 강북구 월계로 173,,,,,,https://haechi-travel.tistory.com/365,2026-07-30
,광장,Mercy for None,drama,소지섭;허준호;공명,성신여대 운정그린캠퍼스,대학교,서울 강북구 도봉로76가길 55,,,,,,https://haechi-travel.tistory.com/365,2026-07-30
