id,title,title_aliases,title_category,title_cast,place_name,place_type,place_address,place_latitude,place_longitude,place_image_url,place_naver_url,scene_description,source_url,last_updated
,나빌레라,Navillera,drama,박인환;송강;나문희,메디테리움 의학박물관,박물관/문화공간,경기 파주시 회동길 338,,,,,,https://kstarmap.com/en/drama/navillera/,2026-07-30
,나빌레라,Navillera,drama,박인환;송강;나문희,성신여자대학교 운정그린캠퍼스,학교,서울 강북구 도봉로76가길 55,,,,,1화에서 기승주가 은소리의 사무실을 찾아가는 건물 외관으로 등장하는 장면,https://kstarmap.com/en/drama/navillera/,2026-07-30
,나빌레라,Navillera,drama,박인환;송강;나문희,아침고요수목원,수목원/관광명소,경기 가평군 상면 수목원로 432,,,,,2화에서 심덕출이 먼저 세상을 떠난 친구 교석을 찾아 발레를 시작했다고 말하는 장면,https://kstarmap.com/en/drama/navillera/,2026-07-30
,나빌레라,Navillera,drama,박인환;송강;나문희,인천국제공항,공항/대중교통,인천 영종구 공항로 272,,,,,12화에서 해외 생활을 마친 이채록이 3년 만에 한국으로 돌아오는 장면,https://kstarmap.com/en/drama/navillera/,2026-07-30
,나빌레라,Navillera,drama,박인환;송강;나문희,합천영상테마파크,오픈세트장,경남 합천군 용주면 합천호수로 757,,,,,1화에서 어린 심덕출이 처음 발레 공연을 보고 춤의 매력에 빠지는 회상 장면,https://kstarmap.com/en/drama/navillera/,2026-07-30
,나빌레라,Navillera,drama,박인환;송강;나문희,당진문예의전당,공연장/문화공간,충남 당진시 무수동2길 25-21,,,,,1화에서 이채록과 심덕출이 무대에 오른 백조의 호수 공연을 관람하는 장면,https://kstarmap.com/en/drama/navillera/,2026-07-30
,나빌레라,Navillera,drama,박인환;송강;나문희,동작대교,교량/도로,서울 용산구 이촌동 387,,,,,1화에서 이채록이 다리를 건너며 아버지의 출소일 알림을 확인하는 장면,https://kdramamap.com/location/%eb%82%98%eb%b9%8c%eb%a0%88%eb%9d%bc-%eb%8f%99%ec%9e%91%eb%8c%80%ea%b5%90-328/;https://kstarmap.com/en/drama/navillera/,2026-07-30
,나빌레라,Navillera,drama,박인환;송강;나문희,무원마을 버스정류장,대중교통,경기 고양시 덕양구 행신동 무원마을단독주택단지,,,,,,https://kstarmap.com/en/drama/navillera/,2026-07-30
,나빌레라,Navillera,drama,박인환;송강;나문희,비맨션,카페/음식점,경기 부천시 소사구 소사동로 205,,,,,1화에서 이채록이 아르바이트하고 심은호가 인턴으로 합류하는 브런치 카페 장면,https://kstarmap.com/en/drama/navillera/,2026-07-30
,나빌레라,Navillera,drama,박인환;송강;나문희,서강대교,교량/도로,서울 영등포구 여의도동 83-1,,,,,11화에서 이채록이 탄 버스가 서강대교를 건너 이동하는 장면,https://kstarmap.com/en/drama/navillera/,2026-07-30
,나빌레라,Navillera,drama,박인환;송강;나문희,스위스 그랜드 호텔,호텔/숙박,서울 서대문구 연희로 353,,,,,1화에서 심덕출이 가족들과 함께 칠순 생일을 축하하는 장면,https://kstarmap.com/en/drama/navillera/,2026-07-30
,나빌레라,Navillera,drama,박인환;송강;나문희,에어플레인모드,카페/음식점,서울 서대문구 연세로4길 36,,,,,2화에서 심은호가 삼촌 심성관과 단둘이 술을 마시며 이야기하는 장면,https://kstarmap.com/en/drama/navillera/,2026-07-30
