id,title,title_aliases,title_category,title_cast,place_name,place_type,place_address,place_latitude,place_longitude,place_image_url,place_naver_url,scene_description,source_url,last_updated
,눈물의 여왕,Queen of Tears,drama,김수현;김지원;박성훈,더현대 서울,백화점,서울 영등포구 여의대로 108,37.525872071029134,126.92844612411159,,,1화부터 퀸즈백화점 본점으로 등장하며 홍해인 사장의 일터로 여러 화에 걸쳐 나온다,https://traveltodrama.com/queen-of-tears-seoul-filming-locations-map/;https://www.realscene.site/ko/drama/queen-of-tears,2026-07-30
,눈물의 여왕,Queen of Tears,drama,김수현;김지원;박성훈,그랜드 워커힐 서울 애스톤하우스,예식장,경기 구리시 아차산로 1,37.5599296185078,127.113284244788,,,1화 오프닝의 야외 결혼식 장면이 촬영된 곳이다,https://traveltodrama.com/queen-of-tears-seoul-filming-locations-map/;https://www.koreabycar.com/ko/journal/queen-of-tears-filming-locations,2026-07-30
,눈물의 여왕,Queen of Tears,drama,김수현;김지원;박성훈,미림분식,음식점,서울 관악구 호암로 553,37.467081325867,126.931362106684,,,2화에서 백현우가 이혼을 고민하며 친구와 돈까스를 먹는 장면이 촬영됐다,https://traveltodrama.com/queen-of-tears-seoul-filming-locations-map/,2026-07-30
,눈물의 여왕,Queen of Tears,drama,김수현;김지원;박성훈,배팅연습장(남영역),스포츠시설,서울 용산구 한강대로81길 32,37.5421127466826,126.971532239389,,,2화에서 현우가 스트레스를 풀러 야구 배팅연습장을 찾는 장면이 나온다,https://traveltodrama.com/queen-of-tears-seoul-filming-locations-map/;https://www.koreabycar.com/ko/journal/queen-of-tears-filming-locations,2026-07-30
,눈물의 여왕,Queen of Tears,drama,김수현;김지원;박성훈,우리옛돌박물관,박물관,서울 성북구 대사관로13길 66,37.60090128282046,126.99008564748388,,,퀸즈 가문의 대저택 '퀸즈타운'으로 극 전반에 걸쳐 등장하는 정원이다,https://traveltodrama.com/queen-of-tears-seoul-filming-locations-map/;https://www.realscene.site/ko/drama/queen-of-tears,2026-07-30
,눈물의 여왕,Queen of Tears,drama,김수현;김지원;박성훈,포시즌스호텔 서울 찰스H,바/레스토랑,서울 종로구 새문안로 97,37.5706816357747,126.975413740729,,,3화 등에서 재벌가 인물들이 은밀한 대화를 나누는 바 장면으로 등장한다,https://traveltodrama.com/queen-of-tears-seoul-filming-locations-map/,2026-07-30
,눈물의 여왕,Queen of Tears,drama,김수현;김지원;박성훈,몬드리안 서울 이태원,호텔,서울 용산구 장문로 23,37.5285641152689,126.993107954052,,,루프탑 바를 포함한 호텔 바와 로비 장면이 이곳에서 촬영됐다,https://www.koreabycar.com/ko/journal/queen-of-tears-filming-locations,2026-07-30
,눈물의 여왕,Queen of Tears,drama,김수현;김지원;박성훈,써브웨이 사당역점,음식점,서울 서초구 동작대로 24,37.4786616754685,126.982150488734,,,,https://traveltodrama.com/queen-of-tears-seoul-filming-locations-map/,2026-07-30
,눈물의 여왕,Queen of Tears,drama,김수현;김지원;박성훈,메가MGC커피 석촌호수사거리점,카페,서울 송파구 송파대로 474,37.5085517496073,127.104624341194,,,현우가 친구와 만나 이야기를 나누는 장면이 촬영된 카페다,https://traveltodrama.com/queen-of-tears-seoul-filming-locations-map/,2026-07-30
,눈물의 여왕,Queen of Tears,drama,김수현;김지원;박성훈,볼트1932 압구정센터,음식점,서울 강남구 압구정로 152,37.5256250904788,127.025993487475,,,,https://traveltodrama.com/queen-of-tears-seoul-filming-locations-map/,2026-07-30
