id,title,title_aliases,title_category,title_cast,place_name,place_type,place_address,place_latitude,place_longitude,place_image_url,place_naver_url,scene_description,source_url,last_updated
,당신이 잠든 사이에,While You Were Sleeping,drama,이종석;배수지;정해인,공지로 촬영 지점,도로,강원 춘천시 공지로 387,,,,,,https://ififollowme.blogspot.com/2017/11/while-you-were-sleeping-all-filming.html;https://vvish.tistory.com/233,2026-07-30
,당신이 잠든 사이에,While You Were Sleeping,drama,이종석;배수지;정해인,서울마포경찰서 월드컵지구대,경찰관서,서울 마포구 월드컵북로30길 24,,,,,1화에서 어린 시절 재찬이 아버지와 경찰 지구대에 있는 장면,https://ififollowme.blogspot.com/2017/11/seoul-mapo-police-station-world-cup.html;https://ififollowme.blogspot.com/2017/11/while-you-were-sleeping-all-filming.html;https://vvish.tistory.com/233,2026-07-30
,당신이 잠든 사이에,While You Were Sleeping,drama,이종석;배수지;정해인,꿈의숲아트센터,공연장,서울 강북구 월계로 173,,,,,,https://ififollowme.blogspot.com/2017/11/while-you-were-sleeping-all-filming.html;https://vvish.tistory.com/233,2026-07-30
,당신이 잠든 사이에,While You Were Sleeping,drama,이종석;배수지;정해인,가천대 길병원,병원,인천 남동구 남동대로774번길 21,,,,,,https://ififollowme.blogspot.com/2017/11/while-you-were-sleeping-all-filming.html;https://vvish.tistory.com/233,2026-07-30
,당신이 잠든 사이에,While You Were Sleeping,drama,이종석;배수지;정해인,WE ARE YOUNG 벽화,벽화,서울 종로구 율곡로3길 64,,,,,,https://ififollowme.blogspot.com/2017/11/while-you-were-sleeping-all-filming.html;https://vvish.tistory.com/233;https://english.visitseoul.net/hallyu/dreamy-appealing-seoul-from-while-you-were-sleeping/ENN025454,2026-07-30
,당신이 잠든 사이에,While You Were Sleeping,drama,이종석;배수지;정해인,덕성여자고등학교,고등학교,서울 종로구 율곡로3길 50,,,,,,https://ififollowme.blogspot.com/2017/11/while-you-were-sleeping-all-filming.html;https://vvish.tistory.com/233,2026-07-30
,당신이 잠든 사이에,While You Were Sleeping,drama,이종석;배수지;정해인,북촌마을안내소,관광안내소,서울 종로구 북촌로5길 48,,,,,,https://ififollowme.blogspot.com/2017/11/while-you-were-sleeping-all-filming.html;https://vvish.tistory.com/233,2026-07-30
,당신이 잠든 사이에,While You Were Sleeping,drama,이종석;배수지;정해인,일산문화공원,공원,경기 고양시 일산동구 중앙로 1271-4,,,,,,https://ififollowme.blogspot.com/2017/11/while-you-were-sleeping-all-filming.html;https://vvish.tistory.com/233,2026-07-30
,당신이 잠든 사이에,While You Were Sleeping,drama,이종석;배수지;정해인,서울어린이대공원 정문,공원,서울 광진구 능동로 216,,,,,,https://ififollowme.blogspot.com/2017/11/while-you-were-sleeping-all-filming.html;https://vvish.tistory.com/233,2026-07-30
,당신이 잠든 사이에,While You Were Sleeping,drama,이종석;배수지;정해인,건대입구역,지하철역,서울 광진구 아차산로 243,,,,,,https://ififollowme.blogspot.com/2017/11/while-you-were-sleeping-all-filming.html;https://vvish.tistory.com/233,2026-07-30
