id,title,title_aliases,title_category,title_cast,place_name,place_type,place_address,place_latitude,place_longitude,place_image_url,place_naver_url,scene_description,source_url,last_updated
,마이 데몬,My Demon,drama,김유정;송강,청계천,하천/명소,서울 종로구 서린동 148,37.569147,126.978647,,,,http://news.tf.co.kr/read/life/2069658.htm;https://www.junggi.co.kr/article/articleView.html?no=31658;http://www.metroseoul.co.kr/article/20240119500061,2026-07-30
,마이 데몬,My Demon,drama,김유정;송강,서울어린이대공원,공원,서울 광진구 능동로 216,37.549977,127.080235,,,,http://news.tf.co.kr/read/life/2069658.htm;https://www.junggi.co.kr/article/articleView.html?no=31658;http://www.metroseoul.co.kr/article/20240119500061,2026-07-30
,마이 데몬,My Demon,drama,김유정;송강,엘리에나호텔,호텔/웨딩홀,서울 강남구 논현로 645,37.511176,127.031534,,,도도희가 대한민국 CEO 어워드를 받는 시상식 장면이 촬영된 호텔 그랜드볼룸,https://blog.naver.com/eom81/224161944082;https://hugestlight.com/249;https://sys180.com/entry/마이데몬-촬영장소-어디,2026-07-30
,마이 데몬,My Demon,drama,김유정;송강,소피텔 앰배서더 서울,호텔/레스토랑,서울 송파구 잠실로 209,37.513786,127.106165,,,구원과 도도희가 소개팅으로 처음 만나는 32층 레스토랑 장면이 촬영된 곳,https://blog.naver.com/eom81/224161944082;https://sys180.com/entry/마이데몬-촬영장소-어디,2026-07-30
,마이 데몬,My Demon,drama,김유정;송강,성신여자대학교 미아운정그린캠퍼스,대학교,서울 강북구 도봉로76가길 55,37.632019,127.027229,,,구원이 의장으로 있는 선월재단 내부 공간으로 등장한 대학 캠퍼스,https://blog.naver.com/eom81/224161944082;https://sys180.com/entry/마이데몬-촬영장소-어디;https://hugestlight.com/249,2026-07-30
,마이 데몬,My Demon,drama,김유정;송강,일산호수공원,공원,경기 고양시 일산동구 호수로 595,37.656136,126.764142,,,구원과 도도희가 위기에 대해 솔직한 대화를 나누는 장면이 촬영된 호수공원 가로수길,https://blog.naver.com/eom81/224161944082;https://sys180.com/entry/마이데몬-촬영장소-어디,2026-07-30
,마이 데몬,My Demon,drama,김유정;송강,그랜드 하얏트 서울,호텔,서울 용산구 소월로 322,37.539445,126.997081,,,구원과 도도희의 결혼식 장면이 촬영된 호텔 연회장,https://blog.naver.com/eom81/224161944082;https://hugestlight.com/249,2026-07-30
,마이 데몬,My Demon,drama,김유정;송강,오크밸리리조트,리조트,강원특별자치도 원주시 지정면 오크밸리1길 66,37.434470,127.817561,,,주창숙 회장의 칠순 가족모임 장면이 촬영된 리조트 저택,https://hugestlight.com/249;https://sys180.com/entry/마이데몬-촬영장소-어디,2026-07-30
,마이 데몬,My Demon,drama,김유정;송강,자작도해수욕장,해변,강원특별자치도 고성군 죽왕면 문암진리,38.308684,128.542730,,,,https://hugestlight.com/249;https://m.blog.naver.com/tlsqhtjs20/224057328299,2026-07-30
,마이 데몬,My Demon,drama,김유정;송강,노들섬,공원/섬,서울 용산구 양녕로 445,37.517660,126.958034,,,구원이 힘을 되찾기 위해 도도희를 한강에 빠뜨리려 하는 장면이 촬영된 곳,https://sys180.com/entry/마이데몬-촬영장소-어디,2026-07-30
,마이 데몬,My Demon,drama,김유정;송강,거풍아트랜드스케이프센터,정원/스튜디오,경기 남양주시 별내면 청학로247번길 54,,,,,주천숙 회장 자택 정원으로 등장한 스튜디오,https://blog.naver.com/eom81/224161944082;https://hugestlight.com/249;https://sys180.com/entry/마이데몬-촬영장소-어디,2026-07-30
