id,title,title_aliases,title_category,title_cast,place_name,place_type,place_address,place_latitude,place_longitude,place_image_url,place_naver_url,scene_description,source_url,last_updated
,맨 끝줄 소년,Notes from the Last Row,drama,최민식;최현욱;김윤진,계명대학교 성서캠퍼스,대학교,대구 달서구 신당동 1000-2,35.8561067197565,128.490053611743,,,,https://haechi-travel.tistory.com/771;https://dramaplace.bkbro.kr/198,2026-07-30
,맨 끝줄 소년,Notes from the Last Row,drama,최민식;최현욱;김윤진,계명대학교 대명캠퍼스,대학교,대구 남구 대명동 2139-11,35.8537521656601,128.579752714649,,,,https://haechi-travel.tistory.com/771;https://dramaplace.bkbro.kr/198,2026-07-30
,맨 끝줄 소년,Notes from the Last Row,drama,최민식;최현욱;김윤진,템스커피,카페,경기 파주시 문발동 627-3,37.7228436351487,126.693664956755,,,,https://haechi-travel.tistory.com/771,2026-07-30
,맨 끝줄 소년,Notes from the Last Row,drama,최민식;최현욱;김윤진,앤드테라스 파주점,카페,경기 파주시 오도동 216-1,37.7477883870008,126.719335225738,,,,https://haechi-travel.tistory.com/771,2026-07-30
,맨 끝줄 소년,Notes from the Last Row,drama,최민식;최현욱;김윤진,마들원,공원(정원),서울 노원구 하계동 180-1,37.6363930237688,127.071338306303,,,,https://haechi-travel.tistory.com/771,2026-07-30
,맨 끝줄 소년,Notes from the Last Row,drama,최민식;최현욱;김윤진,저지클럽,카페/레스토랑,경기 고양시 일산동구 마두동 851-4,37.6649951005312,126.784334484098,,,,https://haechi-travel.tistory.com/771,2026-07-30
,맨 끝줄 소년,Notes from the Last Row,drama,최민식;최현욱;김윤진,하나로마트 부천농협 본점,마트,경기 부천시 원미구 중동 1132,37.5002801566319,126.776417738852,,,,https://haechi-travel.tistory.com/771,2026-07-30
,맨 끝줄 소년,Notes from the Last Row,drama,최민식;최현욱;김윤진,대구인터불고 엑스코 호텔,호텔,대구 북구 산격동 1674,35.9070976208799,128.611288663267,,,,https://haechi-travel.tistory.com/771,2026-07-30
,맨 끝줄 소년,Notes from the Last Row,drama,최민식;최현욱;김윤진,월드컵북로58길,거리,서울 마포구 상암동 1701,37.5821168196652,126.887873152477,,,,https://haechi-travel.tistory.com/771;https://dramaplace.bkbro.kr/198,2026-07-30
,맨 끝줄 소년,Notes from the Last Row,drama,최민식;최현욱;김윤진,GS25 후곡마을3단지점,편의점,경기 고양시 일산서구 일산동 1069,37.6812734832744,126.767162030919,,,,https://haechi-travel.tistory.com/771,2026-07-30
,맨 끝줄 소년,Notes from the Last Row,drama,최민식;최현욱;김윤진,라망시크레,레스토랑,서울 중구 회현동1가 210,37.5598561361371,126.979496872312,,,,https://haechi-travel.tistory.com/771;https://dramaplace.bkbro.kr/198,2026-07-30
,맨 끝줄 소년,Notes from the Last Row,drama,최민식;최현욱;김윤진,마크다모르,레스토랑,서울 중구 회현동1가 210,37.5598561361371,126.979496872312,,,,https://haechi-travel.tistory.com/771;https://dramaplace.bkbro.kr/198,2026-07-30
,맨 끝줄 소년,Notes from the Last Row,drama,최민식;최현욱;김윤진,한미서점,서점,인천 동구 금곡동 14-4,37.4726516746637,126.636662163573,,,,https://haechi-travel.tistory.com/771,2026-07-30
,맨 끝줄 소년,Notes from the Last Row,drama,최민식;최현욱;김윤진,수원화성박물관,박물관,경기 수원시 팔달구 매향동 49,37.2825901401892,127.019474143094,,,,https://haechi-travel.tistory.com/771,2026-07-30
,맨 끝줄 소년,Notes from the Last Row,drama,최민식;최현욱;김윤진,수원시립미술관,미술관,경기 수원시 팔달구 신풍동 238-1,37.2826953944131,127.015754773892,,,,https://haechi-travel.tistory.com/771,2026-07-30
,맨 끝줄 소년,Notes from the Last Row,drama,최민식;최현욱;김윤진,수변공원,공원,경기 고양시 일산동구 장항동 1798-1,37.6592175093462,126.755438104511,,,,https://haechi-travel.tistory.com/771,2026-07-30
,맨 끝줄 소년,Notes from the Last Row,drama,최민식;최현욱;김윤진,대신아파트,주거지,서울 영등포구 신길동 116-15,37.511076467608,126.917584740113,,,,https://haechi-travel.tistory.com/771;https://dramaplace.bkbro.kr/198,2026-07-30
,맨 끝줄 소년,Notes from the Last Row,drama,최민식;최현욱;김윤진,CU 영종밀레시티점,편의점,인천 중구 운서동 2747-5,37.4955965592345,126.480507580559,,,,https://haechi-travel.tistory.com/771,2026-07-30
,맨 끝줄 소년,Notes from the Last Row,drama,최민식;최현욱;김윤진,벚꽃마을,주거지,경기 부천시 원미구 상동 591,37.4928739714653,126.744754284543,,,,https://haechi-travel.tistory.com/771,2026-07-30
,맨 끝줄 소년,Notes from the Last Row,drama,최민식;최현욱;김윤진,보타닉파크웨딩,웨딩홀,서울 강서구 마곡동 760,37.5672479846037,126.826992736525,,,,https://haechi-travel.tistory.com/771;https://dramaplace.bkbro.kr/198,2026-07-30
,맨 끝줄 소년,Notes from the Last Row,drama,최민식;최현욱;김윤진,삼성본병원,병원,경기 오산시 외삼미동 641,37.1910866493677,127.061580541752,,,,https://haechi-travel.tistory.com/771,2026-07-30
,맨 끝줄 소년,Notes from the Last Row,drama,최민식;최현욱;김윤진,한국지도자아카데미,연수원,경기 시흥시 목감동 산8-1,37.4000728525756,126.870746884722,,,,https://haechi-travel.tistory.com/771,2026-07-30
,맨 끝줄 소년,Notes from the Last Row,drama,최민식;최현욱;김윤진,미루지항,항구,인천 강화군 화도면 여차리 1002-1,37.5942941779249,126.411658200503,,,,https://haechi-travel.tistory.com/771,2026-07-30
,맨 끝줄 소년,Notes from the Last Row,drama,최민식;최현욱;김윤진,로케이션 어스,촬영지(옛 마을),경기 파주시 축현리 283-41,37.8032540637756,126.730281078278,,,,https://haechi-travel.tistory.com/771,2026-07-30
