id,title,title_aliases,title_category,title_cast,place_name,place_type,place_address,place_latitude,place_longitude,place_image_url,place_naver_url,scene_description,source_url,last_updated
,반짝이는 워터멜론,Twinkling Watermelon,drama,려운;최현욱;설인아,전북대학교,대학교,전북특별자치도 전주시 덕진구 백제대로 567,35.84572115414923,127.1296051529039,,,학교 구정문 일대에서 밴드 축제 공연 장면이 촬영된 장소,https://histale.com/i/반짝이는-워터멜론-촬영지-인물관계도/A;https://hugestlight.com/180,2026-07-30
,반짝이는 워터멜론,Twinkling Watermelon,drama,려운;최현욱;설인아,봉봉방앗간,카페,강원특별자치도 강릉시 경강로2024번길 17-1,37.7510367510744,128.892425377761,,,,https://hugestlight.com/180,2026-07-30
,반짝이는 워터멜론,Twinkling Watermelon,drama,려운;최현욱;설인아,파란대문집,주택,강원특별자치도 강릉시 경강로2024번길 19,37.7511199748724,128.892515992997,,,1995년 과거 시절 배경으로 등장하는 주택 촬영 장소,https://smap.co.kr/contents/twinkling-watermelon,2026-07-30
,반짝이는 워터멜론,Twinkling Watermelon,drama,려운;최현욱;설인아,근화여자고등학교,학교,경북 경주시 승삼2길 55,35.8719267280682,129.22743063878,,,남녀 주인공이 다니는 학교로 등장하는 청춘 로맨스의 주요 배경,https://histale.com/i/반짝이는-워터멜론-촬영지-인물관계도/A;https://hugestlight.com/180,2026-07-30
,반짝이는 워터멜론,Twinkling Watermelon,drama,려운;최현욱;설인아,거제 엠파크거리,거리,경남 거제시 고현로11길 20,34.8893026804108,128.624666172788,,,1995년 과거 배경의 8월 촬영분 거리 장면(고현동 젊음의 거리),https://histale.com/i/반짝이는-워터멜론-촬영지-인물관계도/A;https://hugestlight.com/180,2026-07-30
,반짝이는 워터멜론,Twinkling Watermelon,drama,려운;최현욱;설인아,봉황재,한옥게스트하우스,충남 공주시 큰샘3길 8,36.450771594226,127.120029717041,,,1995년 과거 배경의 한옥 게스트하우스 장면이 촬영된 장소,https://smap.co.kr/contents/twinkling-watermelon;https://hugestlight.com/180,2026-07-30
,반짝이는 워터멜론,Twinkling Watermelon,drama,려운;최현욱;설인아,공주 금강철교,다리/천변,충남 공주시 신관동 553,36.46832668450109,127.12574921576268,,,주인공들이 자전거를 타며 청춘의 한때를 보내는 천변 장면,https://smap.co.kr/contents/twinkling-watermelon;https://hugestlight.com/180,2026-07-30
,반짝이는 워터멜론,Twinkling Watermelon,drama,려운;최현욱;설인아,홍대 어울마당로,거리,서울 마포구 어울마당로,37.5496832548778,126.920691961345,,,공연 장면이 촬영된 홍대 거리,https://hugestlight.com/180,2026-07-30
,반짝이는 워터멜론,Twinkling Watermelon,drama,려운;최현욱;설인아,배재고등학교,학교,서울 강동구 고덕로 227,37.5561538661285,127.150852412563,,,극중 배광고등학교로 등장하는 학교 촬영지,https://histale.com/i/반짝이는-워터멜론-촬영지-인물관계도/A;https://hugestlight.com/180,2026-07-30
,반짝이는 워터멜론,Twinkling Watermelon,drama,려운;최현욱;설인아,이월드,놀이공원,대구 달서구 두류공원로 200,35.8548997805397,128.561175831338,,,6화에서 친구들이 함께 놀이공원을 방문하는 장면,https://smap.co.kr/contents/twinkling-watermelon;https://m.blog.naver.com/storyclass/223257090932,2026-07-30
,반짝이는 워터멜론,Twinkling Watermelon,drama,려운;최현욱;설인아,노벨로,카페,서울 영등포구 도림로 456,37.51542513683899,126.89294997375781,,,,https://histale.com/i/반짝이는-워터멜론-촬영지-인물관계도/A,2026-07-30
