id,title,title_aliases,title_category,title_cast,place_name,place_type,place_address,place_latitude,place_longitude,place_image_url,place_naver_url,scene_description,source_url,last_updated
,별에서 온 그대,My Love from the Star,drama,전지현;김수현;박해진,학림다방,카페,서울 종로구 대학로 119,,,,,"도민준과 장영목 변호사가 창가에 앉아 대화하거나 장기를 두는 장면","https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=d7fe12a5-daf7-4e51-bc5c-d20d96a8d46d;https://mediahub.seoul.go.kr/archives/1045237;https://www.yna.co.kr/view/AKR20140617040800805;https://kdramalocations.com/curated-tours/a-star-crossed-romance-7-locations-from-my-love-from-the-star",2026-07-30
,별에서 온 그대,My Love from the Star,drama,전지현;김수현;박해진,유림면,음식점,서울 중구 서소문로 139-1,,,,,도민준이 오랜 단골집에서 즐겨 먹던 메밀국수를 맛보는 장면,https://kdramalocations.com/curated-tours/a-star-crossed-romance-7-locations-from-my-love-from-the-star,2026-07-30
,별에서 온 그대,My Love from the Star,drama,전지현;김수현;박해진,국립극장,공연장,서울 중구 장충단로 59,,,,,,https://kdramalocations.com/curated-tours/a-star-crossed-romance-7-locations-from-my-love-from-the-star,2026-07-30
,별에서 온 그대,My Love from the Star,drama,전지현;김수현;박해진,서울시립미술관 서소문본관,미술관,서울 중구 덕수궁길 61,,,,,,https://kdramalocations.com/curated-tours/a-star-crossed-romance-7-locations-from-my-love-from-the-star,2026-07-30
,별에서 온 그대,My Love from the Star,drama,전지현;김수현;박해진,현대원서공원,공원,서울 종로구 원서동 181,,,,,,https://kdramalocations.com/curated-tours/a-star-crossed-romance-7-locations-from-my-love-from-the-star,2026-07-30
,별에서 온 그대,My Love from the Star,drama,전지현;김수현;박해진,N서울타워,전망대,서울 용산구 남산공원길 105,,,,,"도민준과 천송이가 테라스에서 영원한 사랑을 약속하고 자물쇠를 거는 장면","https://www.korea.net/NewsFocus/FoodTravel/view?articleId=118210;https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=226431;https://kdramalocations.com/location/n-seoul-tower",2026-07-30
,별에서 온 그대,My Love from the Star,drama,전지현;김수현;박해진,장사도해상공원,해상공원,경남 통영시 한산면 장사도길 55,,,,,도민준과 천송이가 사람들을 피해 섬에서 데이트하는 장면,"https://www.korea.net/NewsFocus/FoodTravel/view?articleId=118210;https://english.visitkorea.or.kr/svc/contents/contentsView.do?menuSn=219&page=1&sContsTtl=winter&sort=regDt&vcontsId=251524",2026-07-30
,별에서 온 그대,My Love from the Star,drama,전지현;김수현;박해진,쁘띠프랑스,테마파크,경기 가평군 청평면 호반로 1063,,,,,"도민준과 천송이의 로맨틱한 장면들이 프랑스풍 마을을 배경으로 펼쳐진다","https://www.korea.net/NewsFocus/FoodTravel/view?articleId=118210;https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=93730",2026-07-30
,별에서 온 그대,My Love from the Star,drama,전지현;김수현;박해진,인천대학교 송도캠퍼스,대학교,인천 연수구 아카데미로 119,,,,,,https://www.korea.net/NewsFocus/FoodTravel/view?articleId=118210;https://www.yna.co.kr/view/AKR20140704060600065,2026-07-30
,별에서 온 그대,My Love from the Star,drama,전지현;김수현;박해진,한국민속촌,민속촌,경기 용인시 기흥구 민속촌로 90,,,,,,https://www.korea.net/NewsFocus/FoodTravel/view?articleId=118210,2026-07-30
,별에서 온 그대,My Love from the Star,drama,전지현;김수현;박해진,인천시립박물관,박물관,인천 연수구 청량로160번길 26,,,,,,https://www.yna.co.kr/view/AKR20140704060600065,2026-07-30
,별에서 온 그대,My Love from the Star,drama,전지현;김수현;박해진,동대문디자인플라자,복합문화공간,서울 중구 을지로 281,,,,,,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=140737,2026-07-30
,별에서 온 그대,My Love from the Star,drama,전지현;김수현;박해진,석촌호수,호수공원,서울 송파구 잠실동 47,,,,,,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=192827,2026-07-30
,별에서 온 그대,My Love from the Star,drama,전지현;김수현;박해진,63스퀘어,전망대,서울 영등포구 63로 50,,,,,5화에서 63빌딩을 배경으로 서울 도심 전경을 보여주는 장면,https://miniforge.cloud/en/k-guide/drama/my-love-star,2026-07-30
,별에서 온 그대,My Love from the Star,drama,전지현;김수현;박해진,반포한강공원,한강공원,서울 서초구 신반포로11길 40,,,,,8화에서 도민준과 천송이가 함께 걸으며 대화를 나누는 장면,https://miniforge.cloud/en/k-guide/drama/my-love-star,2026-07-30
,별에서 온 그대,My Love from the Star,drama,전지현;김수현;박해진,광화문광장,광장,서울 종로구 세종대로 175,,,,,11화에서 천송이가 인터뷰 행사를 피해 이동하는 장면,https://miniforge.cloud/en/k-guide/drama/my-love-star,2026-07-30
