id,title,title_aliases,title_category,title_cast,place_name,place_type,place_address,place_latitude,place_longitude,place_image_url,place_naver_url,scene_description,source_url,last_updated
,비밀의 숲,Stranger,drama,조승우;배두나,인하대학교 본관,대학교,인천 미추홀구 인하로 100,37.44939909637399,126.65435131686084,,,서울서부지방검찰청 청사 외경으로 등장한 인하대학교 본관 건물,https://koreandramalocation.com/stranger,2026-07-30
,비밀의 숲,Stranger,drama,조승우;배두나,인하대학교 정석학술정보관,대학교,인천 미추홀구 인하로 100,37.44939181956702,126.65248437808384,,,서부지검 내부 장면이 촬영된 인하대학교 도서관 건물,https://koreandramalocation.com/stranger,2026-07-30
,비밀의 숲,Stranger,drama,조승우;배두나,태화원,중식당,인천 중구 차이나타운로59번길 10,37.47402887194698,126.61856842488434,,,강진섭이 황시목을 불러들인 인천 차이나타운의 중식당,https://koreandramalocation.com/stranger,2026-07-30
,비밀의 숲,Stranger,drama,조승우;배두나,라마다송도호텔,호텔,인천 연수구 능허대로267번길 29,37.41399118488802,126.65530028885652,,,청탁 관련 증인이 있던 장소로 등장한 인천 송도의 호텔,https://koreandramalocation.com/stranger,2026-07-30
,비밀의 숲,Stranger,drama,조승우;배두나,학익풍림아이원아파트,아파트,인천 미추홀구 매소홀로 340,37.44110964747053,126.65863826478837,,,2화·7화 등에서 황시목의 아파트 외경으로 등장한 인천 학익동 아파트,https://koreandramalocation.com/stranger;https://blog.naver.com/yunry/222665327377,2026-07-30
,비밀의 숲,Stranger,drama,조승우;배두나,금강약돌참숯찜질방,찜질방,인천 연수구 능허대로165번길 13,37.4207537816734,126.647519565927,,,3화에서 박무성의 어머니가 일하던 찜질방으로 등장,https://koreandramalocation.com/stranger,2026-07-30
,비밀의 숲,Stranger,drama,조승우;배두나,장위전통시장,전통시장,서울 성북구 장위동 68-185,37.61070051399762,127.05133148312079,,,박무성 모친의 집이 있던 골목 동네로 황시목이 걷던 길이 남아있다,https://koreandramalocation.com/stranger;https://blog.naver.com/yunry/223531602291,2026-07-30
,비밀의 숲,Stranger,drama,조승우;배두나,호텔 라성,호텔,경기 안산시 단원구 화랑로 107,37.32698492273387,126.8012504032847,,,시즌2에서 황시목의 송별회가 열린 안산의 호텔,https://koreandramalocation.com/stranger2,2026-07-30
,비밀의 숲,Stranger,drama,조승우;배두나,경찰청,관공서,서울 서대문구 통일로 97,37.56339789088336,126.96756106914329,,,시즌2에서 경찰청 외경으로 등장한 서대문구 청사,https://koreandramalocation.com/stranger2,2026-07-30
,비밀의 숲,Stranger,drama,조승우;배두나,강화군농업기술센터,관공서,인천 강화군 불은면 중앙로 742-2,37.7040039005824,126.435280590463,,,시즌2에서 통영지청 건물로 등장한 강화군 시설,https://koreandramalocation.com/stranger2,2026-07-30
,비밀의 숲,Stranger,drama,조승우;배두나,서울고등검찰청,관공서,서울 서초구 반포대로 172,37.4952503818107,127.006898030003,,,시즌2에서 대검찰청 외경으로 등장한 서초동 청사,https://koreandramalocation.com/stranger2,2026-07-30
,비밀의 숲,Stranger,drama,조승우;배두나,수원지방검찰청,관공서,경기 수원시 영통구 법조로 91,37.28940187680626,127.06725820775641,,,시즌2에서 서울동부지검 외경으로 등장한 수원 청사,https://koreandramalocation.com/stranger2,2026-07-30
,비밀의 숲,Stranger,drama,조승우;배두나,마들원,식당,서울 노원구 공릉로62길 27-11,37.63641692609326,127.07129493677537,,,시즌2에서 황시목이 소환장을 받는 장면이 촬영된 노원구 식당,https://koreandramalocation.com/stranger2,2026-07-30
,비밀의 숲,Stranger,drama,조승우;배두나,이강분무교동낙지나라,식당,서울 중랑구 면목로 302,37.57929784782939,127.08731617528564,,,시즌2에서 한여진과 황시목이 재회하는 장면이 촬영된 식당,https://koreandramalocation.com/stranger2,2026-07-30
,비밀의 숲,Stranger,drama,조승우;배두나,임마트,마트,서울 종로구 창신8길 49,37.5780214175567,127.010641506555,,,시즌2 6화에서 한여진의 집 근처 마트로 등장하며 골목 풍경이 배경이 되었다,https://blog.naver.com/yunry/223056085027,2026-07-30
