id,title,title_aliases,title_category,title_cast,place_name,place_type,place_address,place_latitude,place_longitude,place_image_url,place_naver_url,scene_description,source_url,last_updated
,선재 업고 튀어,Lovely Runner,drama,김혜윤;변우석,카페 몽테드,카페,경기 수원시 팔달구 화서문로48번길 14,37.2847708429672,127.013616585135,,,학창 시절 솔이가 살던 집 앞 비 오는 날 우산씬이 촬영된 장소,https://www.telltrip.com/domestic-travel/인기-콘텐츠-1위에-오른-드라마-선재-업고-튀어/;https://frommyuniverse.com/선재업고튀어-촬영지-임솔집-류선재-집-등교길-고백/;https://spoonsilver.com/entry/선재업고튀어-인기촬영지-BEST-6,2026-07-30
,선재 업고 튀어,Lovely Runner,drama,김혜윤;변우석,행궁동벽화마을,벽화마을,경기 수원시 팔달구 화서문로 82-6,37.28581656557075,127.01661979365463,,,선재와 솔이가 학교를 오가는 등굣길 장면이 촬영된 벽화마을,https://www.telltrip.com/domestic-travel/인기-콘텐츠-1위에-오른-드라마-선재-업고-튀어/,2026-07-30
,선재 업고 튀어,Lovely Runner,drama,김혜윤;변우석,수원화성 화홍문,문화유적,경기 수원시 팔달구 북수동 9000-1,37.28754551327953,127.01762609024438,,,선재가 솔이에게 마음을 고백하는 장면이 촬영된 장소,https://www.telltrip.com/domestic-travel/인기-콘텐츠-1위에-오른-드라마-선재-업고-튀어/;https://spoonsilver.com/entry/선재업고튀어-인기촬영지-BEST-6;https://news.nucleartip.com/entry/선재-업고-튀어-촬영지-방문-및-여행-추천-장소,2026-07-30
,선재 업고 튀어,Lovely Runner,drama,김혜윤;변우석,방화수류정,문화유적,경기 수원시 팔달구 화성성곽길 233,37.28757246777094,127.01813356571698,,,선재가 솔이에게 자전거 타는 법을 알려주는 장면이 촬영된 곳,https://www.telltrip.com/domestic-travel/인기-콘텐츠-1위에-오른-드라마-선재-업고-튀어/;https://spoonsilver.com/entry/선재업고튀어-인기촬영지-BEST-6,2026-07-30
,선재 업고 튀어,Lovely Runner,drama,김혜윤;변우석,마도해안절벽,자연경관,충남 태안군 근흥면 신진대교길 94-33,36.67719747747196,126.1514113561547,,,12화에서 선재와 솔이가 함께 촬영한 해안절벽 장면,https://www.telltrip.com/domestic-travel/인기-콘텐츠-1위에-오른-드라마-선재-업고-튀어/;https://spoonsilver.com/entry/선재업고튀어-인기촬영지-BEST-6;https://news.nucleartip.com/entry/선재-업고-튀어-촬영지-방문-및-여행-추천-장소,2026-07-30
,선재 업고 튀어,Lovely Runner,drama,김혜윤;변우석,아야진해수욕장,해수욕장,강원특별자치도 고성군 토성면 아야진리,38.2768350126307,128.553373007462,,,,https://news.nucleartip.com/entry/선재-업고-튀어-촬영지-방문-및-여행-추천-장소,2026-07-30
,선재 업고 튀어,Lovely Runner,drama,김혜윤;변우석,성북천 성북3교,하천,서울 성북구 동소문동5가 50-23,37.5913161540553,127.013728852702,,,솔이가 떨어뜨린 시계를 주우러 함께 하천으로 들어가는 장면,https://spoonsilver.com/entry/선재업고튀어-인기촬영지-BEST-6,2026-07-30
,선재 업고 튀어,Lovely Runner,drama,김혜윤;변우석,충남대학교 대덕캠퍼스,대학교,대전 유성구 대학로 99,36.36881378319206,127.34687598476853,,,솔이가 동상 위에서 떨어지고 선재가 받아내는 장면이 촬영된 캠퍼스,https://spoonsilver.com/entry/선재업고튀어-인기촬영지-BEST-6,2026-07-30
,선재 업고 튀어,Lovely Runner,drama,김혜윤;변우석,공주 금강교,다리,충남 공주시 신관동 553,36.46832668450109,127.12574921576268,,,솔이가 선재를 만나 백허그하는 장면이 촬영된 다리,https://spoonsilver.com/entry/선재업고튀어-인기촬영지-BEST-6,2026-07-30
,선재 업고 튀어,Lovely Runner,drama,김혜윤;변우석,무등산편백자연휴양림,자연휴양림,전남 화순군 이서면 안양산로 685,35.09291840495294,127.0301969004639,,,,https://news.nucleartip.com/entry/선재-업고-튀어-촬영지-방문-및-여행-추천-장소,2026-07-30
,선재 업고 튀어,Lovely Runner,drama,김혜윤;변우석,연무대주차장,주차장,경기 수원시 팔달구 매향동 3-17,37.28734446514351,127.02348560317266,,,선재가 버스를 잡던 등교길 장면이 촬영된 주차장 인근,https://frommyuniverse.com/선재업고튀어-촬영지-임솔집-류선재-집-등교길-고백/,2026-07-30
,선재 업고 튀어,Lovely Runner,drama,김혜윤;변우석,중앙고등학교,학교,서울 종로구 창덕궁길 164,37.584025386322,126.98684423018,,,,https://news.nucleartip.com/entry/선재-업고-튀어-촬영지-방문-및-여행-추천-장소,2026-07-30
