id,title,title_aliases,title_category,title_cast,place_name,place_type,place_address,place_latitude,place_longitude,place_image_url,place_naver_url,scene_description,source_url,last_updated
,약한영웅 Class 2,Weak Hero Class 2,drama,박지훈;최민영;유수빈,대전대신고등학교,학교,대전광역시 서구 오량1길 98,36.3089588095398,127.380049146103,,,연시은이 전학 온 학교 '은장고등학교'로 등장하는 실제 자율형사립고,https://www.dshs.kr/news/gallery/list/?mod=document&uid=1058;https://haechi-travel.tistory.com/338;https://m.blog.naver.com/na-smile/223845948182,2026-07-30
,약한영웅 Class 2,Weak Hero Class 2,drama,박지훈;최민영;유수빈,대신고 앞 철길 횡단 육교,육교,대전 서구 도마동 186-24,36.3112690759213,127.379794348247,,,,https://haechi-travel.tistory.com/338,2026-07-30
,약한영웅 Class 2,Weak Hero Class 2,drama,박지훈;최민영;유수빈,강동경희대병원,병원,서울 강동구 상일동 149,37.5529178560471,127.157130980304,,,극 중 '선강대학교병원'으로 등장하는 실제 병원,https://haechi-travel.tistory.com/338;https://m.blog.naver.com/beerry/223849631829,2026-07-30
,약한영웅 Class 2,Weak Hero Class 2,drama,박지훈;최민영;유수빈,헤이피피,술집,서울 마포구 서교동 409-7,37.5496622958996,126.921688284547,,,효만 무리가 모여 술을 마시는 술집으로 등장하는 곳,https://haechi-travel.tistory.com/338;https://m.blog.naver.com/beerry/223849631829,2026-07-30
,약한영웅 Class 2,Weak Hero Class 2,drama,박지훈;최민영;유수빈,지산빌딩,건물(옥상),서울 영등포구 버드나루로8길 12,37.5236042035237,126.911854178991,,,연시은과 금성제가 옥상에서 격투를 벌이는 하이라이트 장면이 촬영된 건물 옥상,https://m.blog.naver.com/alchemist_s/223854224399,2026-07-30
,약한영웅 Class 2,Weak Hero Class 2,drama,박지훈;최민영;유수빈,송도 트리플 스트리트,상업시설,인천 연수구 송도동 176-1,37.3796235609142,126.661060372469,,,,https://haechi-travel.tistory.com/338,2026-07-30
,약한영웅 Class 2,Weak Hero Class 2,drama,박지훈;최민영;유수빈,인천하늘고등학교,학교,인천 영종구 운서동 569,37.4954321394557,126.507239734606,,,,https://haechi-travel.tistory.com/338,2026-07-30
,약한영웅 Class 2,Weak Hero Class 2,drama,박지훈;최민영;유수빈,서울역사박물관,박물관,서울 종로구 신문로2가 2-1,37.5708963268069,126.968856070517,,,,https://haechi-travel.tistory.com/338,2026-07-30
,약한영웅 Class 2,Weak Hero Class 2,drama,박지훈;최민영;유수빈,우송정보대학 동캠퍼스,대학교,대전 동구 자양동 17-2,36.3361499130919,127.453420606431,,,,https://haechi-travel.tistory.com/338;https://m.blog.naver.com/pink7113/223968590529,2026-07-30
,약한영웅 Class 2,Weak Hero Class 2,drama,박지훈;최민영;유수빈,한남대학교,대학교,대전 대덕구 오정동 133,36.354279129872,127.423139182049,,,,https://haechi-travel.tistory.com/338;https://m.blog.naver.com/pink7113/223882522666,2026-07-30
,약한영웅 Class 2,Weak Hero Class 2,drama,박지훈;최민영;유수빈,하남 로얄볼링장,볼링장,경기 하남시 덕풍동 358-1,37.54106846392,127.199499329593,,,,https://haechi-travel.tistory.com/338,2026-07-30
,약한영웅 Class 2,Weak Hero Class 2,drama,박지훈;최민영;유수빈,영등포경찰서,경찰서,서울 영등포구 당산동3가 2-11,37.5259948304828,126.90104575471,,,,https://haechi-travel.tistory.com/338,2026-07-30
,약한영웅 Class 2,Weak Hero Class 2,drama,박지훈;최민영;유수빈,홍대축제거리,거리,서울 마포구 서교동 365-28,37.5512343122068,126.921348949577,,,,https://haechi-travel.tistory.com/338,2026-07-30
,약한영웅 Class 2,Weak Hero Class 2,drama,박지훈;최민영;유수빈,클럽 엑스엑스2,클럽,서울 마포구 와우산로17길 10,37.5502836428384,126.922535923229,,,,https://haechi-travel.tistory.com/338,2026-07-30
,약한영웅 Class 2,Weak Hero Class 2,drama,박지훈;최민영;유수빈,인천국제공항 제1교통센터,공항시설,인천 영종구 공항로 271,37.44774200812161,126.4523739226961,,,,https://haechi-travel.tistory.com/338,2026-07-30
,약한영웅 Class 2,Weak Hero Class 2,drama,박지훈;최민영;유수빈,농구장(도봉동),농구장,서울 도봉구 도봉동 2-6,37.6912149618867,127.049433404842,,,,https://haechi-travel.tistory.com/338,2026-07-30
,약한영웅 Class 2,Weak Hero Class 2,drama,박지훈;최민영;유수빈,대전시민천문대,천문대,대전 유성구 과학로 213-48,36.3815959116623,127.353670899164,,,,https://haechi-travel.tistory.com/338,2026-07-30
,약한영웅 Class 2,Weak Hero Class 2,drama,박지훈;최민영;유수빈,쓰리팝 PC방 대방점,PC방,서울 동작구 등용로 123,37.51211660013201,126.93173146874808,,,금성제가 이용하는 PC방으로 등장하는 곳,https://haechi-travel.tistory.com/338;https://m.blog.naver.com/beerry/223849631829,2026-07-30
,약한영웅 Class 2,Weak Hero Class 2,drama,박지훈;최민영;유수빈,CU 공군호텔점,편의점,서울 영등포구 신길동 1279,37.5109001498169,126.922936432973,,,,https://haechi-travel.tistory.com/338,2026-07-30
,약한영웅 Class 2,Weak Hero Class 2,drama,박지훈;최민영;유수빈,멕시칸치킨 효창중앙점,음식점,서울 용산구 효창동 5-364,37.5414241885347,126.961614828032,,,,https://haechi-travel.tistory.com/338,2026-07-30
