id,title,title_aliases,title_category,title_cast,place_name,place_type,place_address,place_latitude,place_longitude,place_image_url,place_naver_url,scene_description,source_url,last_updated
,언젠가는 슬기로울 전공의생활,Resident Playbook,drama,고윤정;신시아;강유석,용인세브란스병원,병원,경기 용인시 기흥구 동백죽전대로 363,,,,,,https://haechi-travel.tistory.com/328,2026-07-30
,언젠가는 슬기로울 전공의생활,Resident Playbook,drama,고윤정;신시아;강유석,써브웨이 서판교점,음식점,경기 성남시 분당구 운중로 126,,,,,,https://haechi-travel.tistory.com/328,2026-07-30
,언젠가는 슬기로울 전공의생활,Resident Playbook,drama,고윤정;신시아;강유석,종로 일대,도로,서울 종로구 세종로 1-68,,,,,,https://haechi-travel.tistory.com/328,2026-07-30
,언젠가는 슬기로울 전공의생활,Resident Playbook,drama,고윤정;신시아;강유석,루하스사우나,사우나,서울 은평구 통일로 1020,,,,,,https://haechi-travel.tistory.com/328,2026-07-30
,언젠가는 슬기로울 전공의생활,Resident Playbook,drama,고윤정;신시아;강유석,서울역 11번 출구 버스정류장,버스정류장,서울 용산구 동자동 12-1,,,,,,https://haechi-travel.tistory.com/328,2026-07-30
,언젠가는 슬기로울 전공의생활,Resident Playbook,drama,고윤정;신시아;강유석,준오헤어 문정역테라타워점,미용실,서울 송파구 송파대로 167,,,,,,https://haechi-travel.tistory.com/328,2026-07-30
,언젠가는 슬기로울 전공의생활,Resident Playbook,drama,고윤정;신시아;강유석,지후아타네호,음식점,경기 성남시 분당구 판교공원로2길 45,,,,,,https://haechi-travel.tistory.com/328,2026-07-30
,언젠가는 슬기로울 전공의생활,Resident Playbook,drama,고윤정;신시아;강유석,바이젠하우스 방배1호점,음식점,서울 서초구 방배천로2길 15,,,,,,https://haechi-travel.tistory.com/328,2026-07-30
,언젠가는 슬기로울 전공의생활,Resident Playbook,drama,고윤정;신시아;강유석,대왕판교로644번길,도로,경기 성남시 분당구 삼평동 667-7,,,,,,https://haechi-travel.tistory.com/328,2026-07-30
,언젠가는 슬기로울 전공의생활,Resident Playbook,drama,고윤정;신시아;강유석,블루쇼 파스타 연남,음식점,서울 마포구 동교로 262-3,,,,,,https://haechi-travel.tistory.com/328,2026-07-30
,언젠가는 슬기로울 전공의생활,Resident Playbook,drama,고윤정;신시아;강유석,CU 종로가회점,편의점,서울 종로구 북촌로 12,,,,,,https://haechi-travel.tistory.com/328,2026-07-30
,언젠가는 슬기로울 전공의생활,Resident Playbook,drama,고윤정;신시아;강유석,서울여자대학교 50주년기념관,대학교,서울 노원구 화랑로 621,,,,,,https://haechi-travel.tistory.com/328,2026-07-30
,언젠가는 슬기로울 전공의생활,Resident Playbook,drama,고윤정;신시아;강유석,삼거마을삼성래미안1차아파트,아파트,경기 용인시 기흥구 용구대로2394번길 27,,,,,,https://haechi-travel.tistory.com/328,2026-07-30
,언젠가는 슬기로울 전공의생활,Resident Playbook,drama,고윤정;신시아;강유석,명륜진사갈비 마포성산점,음식점,서울 마포구 월드컵북로 173,,,,,,https://haechi-travel.tistory.com/328,2026-07-30
,언젠가는 슬기로울 전공의생활,Resident Playbook,drama,고윤정;신시아;강유석,서순라길,도로,서울 종로구 권농동 163-1,,,,,,https://haechi-travel.tistory.com/328,2026-07-30
,언젠가는 슬기로울 전공의생활,Resident Playbook,drama,고윤정;신시아;강유석,경복궁,궁궐,서울 종로구 사직로 161,,,,,,https://haechi-travel.tistory.com/328,2026-07-30
,언젠가는 슬기로울 전공의생활,Resident Playbook,drama,고윤정;신시아;강유석,모던눌랑 센트럴시티점,음식점,서울 서초구 사평대로 205,,,,,,https://haechi-travel.tistory.com/328,2026-07-30
,언젠가는 슬기로울 전공의생활,Resident Playbook,drama,고윤정;신시아;강유석,낙원상가 앞,거리,서울 종로구 삼일대로 428,,,,,,https://haechi-travel.tistory.com/328,2026-07-30
,언젠가는 슬기로울 전공의생활,Resident Playbook,drama,고윤정;신시아;강유석,삼일대로30길,도로,서울 종로구 낙원동 10-2,,,,,,https://haechi-travel.tistory.com/328,2026-07-30
,언젠가는 슬기로울 전공의생활,Resident Playbook,drama,고윤정;신시아;강유석,삼일대로,도로,서울 종로구 경운동 2-2,,,,,,https://haechi-travel.tistory.com/328,2026-07-30
,언젠가는 슬기로울 전공의생활,Resident Playbook,drama,고윤정;신시아;강유석,세종대로,도로,서울 중구 남대문로4가 17-3,,,,,,https://haechi-travel.tistory.com/328,2026-07-30
,언젠가는 슬기로울 전공의생활,Resident Playbook,drama,고윤정;신시아;강유석,용인 동백호수공원,호수공원,경기 용인시 기흥구 동백중앙로 239,,,,,,https://haechi-travel.tistory.com/328,2026-07-30
,언젠가는 슬기로울 전공의생활,Resident Playbook,drama,고윤정;신시아;강유석,아니다파르크,음식점,서울 강남구 선릉로 807,,,,,,https://haechi-travel.tistory.com/328,2026-07-30
,언젠가는 슬기로울 전공의생활,Resident Playbook,drama,고윤정;신시아;강유석,명륜진사갈비 포천시청점,음식점,경기 포천시 신북면 중앙로 332,,,,,,https://haechi-travel.tistory.com/328,2026-07-30
,언젠가는 슬기로울 전공의생활,Resident Playbook,drama,고윤정;신시아;강유석,멜랑말랑 범계,음식점,경기 안양시 동안구 평촌대로223번길 16,,,,,,https://haechi-travel.tistory.com/328,2026-07-30
