id,title,title_aliases,title_category,title_cast,place_name,place_type,place_address,place_latitude,place_longitude,place_image_url,place_naver_url,scene_description,source_url,last_updated
,이상한 변호사 우영우,Extraordinary Attorney Woo,drama,박은빈;강태오;하윤경,우영김밥(카자구루마),분식점,경기도 수원시 팔달구 신풍로23번길 61,,,,,영우 아버지가 운영하는 김밥집으로 등장한 실제 분식점,https://creatrip.com/en/news/12837,2026-07-30
,이상한 변호사 우영우,Extraordinary Attorney Woo,drama,박은빈;강태오;하윤경,센터필드(한바다 로펌),오피스 빌딩,서울특별시 강남구 테헤란로 231,37.503582,127.041647,,,한바다 로펌 사옥 회전문 출입 장면이 촬영된 오피스 빌딩,https://creatrip.com/en/news/12837,2026-07-30
,이상한 변호사 우영우,Extraordinary Attorney Woo,drama,박은빈;강태오;하윤경,소소바,술집,경기도 고양시 일산서구 강성로232번길 8-10,,,,,동그라미가 일하는 레트로 분위기의 바 장면이 촬영됐다,https://creatrip.com/en/news/12837,2026-07-30
,이상한 변호사 우영우,Extraordinary Attorney Woo,drama,박은빈;강태오;하윤경,오복수퍼,편의점·구멍가게,서울특별시 마포구 환일1길 16,37.557127,126.960823,,,영우의 어린 시절 사건이 벌어지는 슈퍼 장면이 촬영됐다,https://creatrip.com/en/news/12837,2026-07-30
,이상한 변호사 우영우,Extraordinary Attorney Woo,drama,박은빈;강태오;하윤경,울산지방법원,법원,울산광역시 남구 법대로 55,35.539345,129.287506,,,법정 공방 장면이 촬영된 실제 법원 청사,https://creatrip.com/en/news/12837,2026-07-30
,이상한 변호사 우영우,Extraordinary Attorney Woo,drama,박은빈;강태오;하윤경,장화리 일몰 조망지,해안 전망대,인천광역시 강화군 화도면 장화리 1359,37.616024,126.377742,,,영우와 준호가 함께 노을을 바라보는 장면이 촬영됐다,https://creatrip.com/en/news/12837,2026-07-30
,이상한 변호사 우영우,Extraordinary Attorney Woo,drama,박은빈;강태오;하윤경,더현대서울,백화점,서울특별시 영등포구 여의대로 108,37.525872,126.928446,,,영우와 동료들이 쇼핑하러 가는 장면이 촬영됐다,https://creatrip.com/en/news/12837,2026-07-30
,이상한 변호사 우영우,Extraordinary Attorney Woo,drama,박은빈;강태오;하윤경,창원 북부리 팽나무,천연기념물·고목,경상남도 창원시 의창구 대산면 북부리 102-1,35.349106,128.727538,,,500년 된 팽나무가 두 차례 장면에 등장했다,https://creatrip.com/en/news/12837,2026-07-30
,이상한 변호사 우영우,Extraordinary Attorney Woo,drama,박은빈;강태오;하윤경,카페 온더데스크,카페,경기도 성남시 분당구 서현로237번길 3,37.385537,127.128173,,,9화에서 인물들이 카페를 찾는 장면이 촬영됐다,https://creatrip.com/en/news/12837,2026-07-30
,이상한 변호사 우영우,Extraordinary Attorney Woo,drama,박은빈;강태오;하윤경,덕수궁 돌담길,고궁 돌담길,서울특별시 중구 세종대로19길 24,37.564976,126.975665,,,10화에서 영우와 준호가 함께 걷는 돌담길 장면이 촬영됐다,https://creatrip.com/en/news/12837,2026-07-30
,이상한 변호사 우영우,Extraordinary Attorney Woo,drama,박은빈;강태오;하윤경,창꼼,해안 기암·포토존,제주특별자치도 제주시 조천읍 북촌리 403-9,33.552942,126.700002,,,정명석 변호사가 아내와의 추억을 떠올리는 장면이 바위 구멍 앞에서 촬영됐다,https://english.visitkorea.or.kr/svc/whereToGo/hdrdslt/hdrdsltView.do?crsSn=396342&menuSn=217,2026-07-30
,이상한 변호사 우영우,Extraordinary Attorney Woo,drama,박은빈;강태오;하윤경,함덕해수욕장,해수욕장,제주특별자치도 제주시 조천읍 조함해안로 525,33.543062,126.669239,,,제주 동쪽 대표 해변으로 등장한 장면이 촬영됐다,https://english.visitkorea.or.kr/svc/whereToGo/hdrdslt/hdrdsltView.do?crsSn=396342&menuSn=217,2026-07-30
,이상한 변호사 우영우,Extraordinary Attorney Woo,drama,박은빈;강태오;하윤경,관음사,사찰,제주특별자치도 제주시 산록북로 660,33.423740,126.558124,,,13~14화 황지사로 등장한 한라산 중턱의 사찰이 촬영지로 쓰였다,https://english.visitkorea.or.kr/svc/whereToGo/hdrdslt/hdrdsltView.do?crsSn=396342&menuSn=217,2026-07-30
,이상한 변호사 우영우,Extraordinary Attorney Woo,drama,박은빈;강태오;하윤경,새연교(새섬),보행교,제주특별자치도 서귀포시 서홍동 707-4,33.238533,126.558886,,,두 사람이 함께 걷는 다리 장면이 새섬 진입로에서 촬영됐다,https://english.visitkorea.or.kr/svc/whereToGo/hdrdslt/hdrdsltView.do?crsSn=396342&menuSn=217,2026-07-30
