id,title,title_aliases,title_category,title_cast,place_name,place_type,place_address,place_latitude,place_longitude,place_image_url,place_naver_url,scene_description,source_url,last_updated
,폭싹 속았수다,When Life Gives You Tangerines,drama,아이유;박보검;문소리,성산일출봉,화산체·유네스코 세계자연유산,제주특별자치도 서귀포시 성산읍 성산리 78,33.459135,126.940538,,,애순이 강제로 삼천 배를 올리러 성산일출봉을 오르는 장면이 촬영됐다,https://d-travel.tistory.com/entry/폭싹-속았수다-제주도-촬영지-총정리;https://travelmapjourney.com/poksak-filming-location-travel/,2026-07-30
,폭싹 속았수다,When Life Gives You Tangerines,drama,아이유;박보검;문소리,김녕해수욕장,해수욕장,제주특별자치도 제주시 구좌읍 해맞이해안로 7-6,33.557439,126.759314,,,애순의 어머니와 해녀들이 물질하는 장면이 촬영된 해변,https://d-travel.tistory.com/entry/폭싹-속았수다-제주도-촬영지-총정리;https://travelmapjourney.com/poksak-filming-location-travel/,2026-07-30
,폭싹 속았수다,When Life Gives You Tangerines,drama,아이유;박보검;문소리,제주목 관아,사적·옛 관아,제주특별자치도 제주시 관덕로 25,33.514202,126.522003,,,한라춘사제 백일장이 열리는 장면이 촬영된 옛 관아,https://d-travel.tistory.com/entry/폭싹-속았수다-제주도-촬영지-총정리;https://travelmapjourney.com/poksak-filming-location-travel/,2026-07-30
,폭싹 속았수다,When Life Gives You Tangerines,drama,아이유;박보검;문소리,오라동 메밀꽃밭,메밀꽃밭·포토존,제주특별자치도 제주시 오라이동 산 76,33.426905,126.505261,,,애순과 관식이 메밀꽃밭에서 마주하는 로맨틱한 장면이 촬영됐다,https://d-travel.tistory.com/entry/폭싹-속았수다-제주도-촬영지-총정리,2026-07-30
,폭싹 속았수다,When Life Gives You Tangerines,drama,아이유;박보검;문소리,섭지코지,해안 관광지,제주특별자치도 서귀포시 성산읍 섭지코지로 107,33.423938,126.930609,,,,https://dangoon.co.kr/entry/폭싹-속았수다-제주도-촬영지-코스-완벽-정리;https://www.hansbiz.co.kr,2026-07-30
,폭싹 속았수다,When Life Gives You Tangerines,drama,아이유;박보검;문소리,제주돌문화공원,테마공원·전시관,제주특별자치도 제주시 조천읍 남조로 2023,33.448562,126.660273,,,10화에서 어린 애순이 뛰어가는 장면이 돌문화공원에서 촬영됐다,https://m.blog.naver.com/flor04/223946538638;https://www.segye.com/newsView/20251022515932,2026-07-30
,폭싹 속았수다,When Life Gives You Tangerines,drama,아이유;박보검;문소리,청심국제해양청소년수련원,청소년수련원·해양리조트,전남광주통합특별시 여수시 화양면 장수로 183-5,34.645571,127.610472,,,1화 오프닝에서 마을 어르신들이 노년의 애순을 그리는 장면이 촬영됐다,https://www.여수뉴스.kr;https://www.pressian.com,2026-07-30
,폭싹 속았수다,When Life Gives You Tangerines,drama,아이유;박보검;문소리,고창 학원농장,유채꽃밭·청보리밭 관광농원,전북특별자치도 고창군 공음면 학원농장길 150,35.375391,126.543230,,,애순과 관식의 첫 키스 장면이 노란 유채꽃밭에서 촬영됐다,https://travelmapjourney.com/poksak-filming-location-travel/;https://singing3.tistory.com,2026-07-30
,폭싹 속았수다,When Life Gives You Tangerines,drama,아이유;박보검;문소리,광주극장,단관 극장·문화시설,전남광주통합특별시 동구 충장로46번길 10,35.149927,126.912315,,,금명이 영사기사(간판·매표) 아르바이트를 하는 극장 장면이 촬영됐다,https://www.joongang.co.kr/article/25325107;https://m.mdilbo.com/newsroom/5646956,2026-07-30
,폭싹 속았수다,When Life Gives You Tangerines,drama,아이유;박보검;문소리,가실성당,성당·근대건축물,경상북도 칠곡군 왜관읍 가실1길 1,35.936633,128.405350,,,금명의 결혼식 야외 장면이 촬영된 고딕 양식 성당,https://m.blog.naver.com/lmykys/223896056207;https://jjang1743.tistory.com,2026-07-30
,폭싹 속았수다,When Life Gives You Tangerines,drama,아이유;박보검;문소리,계산성당(주교좌계산대성당),성당·근대건축물,대구광역시 중구 서성로 10,35.867958,128.587814,,,금명의 결혼식 실내 장면이 촬영된 대구 대표 성당,https://www.hani.co.kr/arti/area/yeongnam/1190239.html;https://telltrip.com/domestic-travel/daegu-gyesan-cathedral/,2026-07-30
