id,title,title_aliases,title_category,title_cast,place_name,place_type,place_address,place_latitude,place_longitude,place_image_url,place_naver_url,scene_description,source_url,last_updated
,힘쎈여자도봉순,Strong Woman Do Bong-soon,drama,박보영;박형식;지수,이화벽화마을·이화동마을박물관,마을/박물관,서울 종로구 낙산성곽서1길 12,,,,,1화에서 도봉순의 집과 가족이 사는 동네로 이화벽화마을이 등장하는 장면,https://kdramamap.com/location/%ed%9e%98%ec%8e%88%ec%97%ac%ec%9e%90%eb%8f%84%eb%b4%89%ec%88%9c-%ec%9d%b4%ed%99%94%eb%b2%bd%ed%99%94%eb%a7%88%ec%9d%84-%ec%9d%b4%ed%99%94%eb%8f%99%eb%a7%88%ec%9d%84%eb%b0%95%eb%ac%bc%ea%b4%80-2711/;https://traveltodrama.com/%eb%93%9c%eb%9d%bc%eb%a7%88-%ed%9e%98%ec%8e%88%ec%97%ac%ec%9e%90-%eb%8f%84%eb%b4%89%ec%88%9c-%ec%b4%ac%ec%98%81%ec%a7%80-22%ea%b3%b3/,2026-07-30
,힘쎈여자도봉순,Strong Woman Do Bong-soon,drama,박보영;박형식;지수,보라매공원,공원,서울 동작구 여의대방로20길 33,,,,,,https://kdramamap.com/location/%ed%9e%98%ec%8e%88%ec%97%ac%ec%9e%90%eb%8f%84%eb%b4%89%ec%88%9c-%eb%b3%b4%eb%9d%bc%eb%a7%a4%ea%b3%b5%ec%9b%90-2701/;https://traveltodrama.com/%eb%93%9c%eb%9d%bc%eb%a7%88-%ed%9e%98%ec%8e%88%ec%97%ac%ec%9e%90-%eb%8f%84%eb%b4%89%ec%88%9c-%ec%b4%ac%ec%98%81%ec%a7%80-22%ea%b3%b3/,2026-07-30
,힘쎈여자도봉순,Strong Woman Do Bong-soon,drama,박보영;박형식;지수,현대프리미엄아울렛 김포점,쇼핑시설,경기 김포시 고촌읍 아라육로152번길 100,,,,,,https://traveltodrama.com/%eb%93%9c%eb%9d%bc%eb%a7%88-%ed%9e%98%ec%8e%88%ec%97%ac%ec%9e%90-%eb%8f%84%eb%b4%89%ec%88%9c-%ec%b4%ac%ec%98%81%ec%a7%80-22%ea%b3%b3/,2026-07-30
,힘쎈여자도봉순,Strong Woman Do Bong-soon,drama,박보영;박형식;지수,두텁바위로58길 육교,거리,서울 용산구 두텁바위로58길 2,,,,,,https://kdramamap.com/location/%ed%9e%98%ec%8e%88%ec%97%ac%ec%9e%90%eb%8f%84%eb%b4%89%ec%88%9c-%eb%8b%a4%eb%a6%ac%eb%b0%91-2705/;https://traveltodrama.com/%eb%93%9c%eb%9d%bc%eb%a7%88-%ed%9e%98%ec%8e%88%ec%97%ac%ec%9e%90-%eb%8f%84%eb%b4%89%ec%88%9c-%ec%b4%ac%ec%98%81%ec%a7%80-22%ea%b3%b3/,2026-07-30
,힘쎈여자도봉순,Strong Woman Do Bong-soon,drama,박보영;박형식;지수,라비두스,예식/문화공간,서울 중구 필동로5길 7,,,,,,https://kdramamap.com/location/%ed%9e%98%ec%8e%88%ec%97%ac%ec%9e%90%eb%8f%84%eb%b4%89%ec%88%9c-%eb%9d%bc%eb%b9%84%eb%91%90%ec%8a%a4-2715/;https://traveltodrama.com/%eb%93%9c%eb%9d%bc%eb%a7%88-%ed%9e%98%ec%8e%88%ec%97%ac%ec%9e%90-%eb%8f%84%eb%b4%89%ec%88%9c-%ec%b4%ac%ec%98%81%ec%a7%80-22%ea%b3%b3/,2026-07-30
,힘쎈여자도봉순,Strong Woman Do Bong-soon,drama,박보영;박형식;지수,대둔산,산/자연,전북특별자치도 완주군 운주면 산북리 611-34,,,,,,https://traveltodrama.com/%eb%93%9c%eb%9d%bc%eb%a7%88-%ed%9e%98%ec%8e%88%ec%97%ac%ec%9e%90-%eb%8f%84%eb%b4%89%ec%88%9c-%ec%b4%ac%ec%98%81%ec%a7%80-22%ea%b3%b3/,2026-07-30
,힘쎈여자도봉순,Strong Woman Do Bong-soon,drama,박보영;박형식;지수,한강대로 철도 굴다리,거리,서울 용산구 한강대로 347,,,,,,https://kdramamap.com/location/%ed%9e%98%ec%8e%88%ec%97%ac%ec%9e%90%eb%8f%84%eb%b4%89%ec%88%9c-%ed%8f%ac%eb%a7%a8%ec%9d%b8%ed%85%8c%eb%a6%ac%ec%96%b4-2707/;https://traveltodrama.com/%eb%93%9c%eb%9d%bc%eb%a7%88-%ed%9e%98%ec%8e%88%ec%97%ac%ec%9e%90-%eb%8f%84%eb%b4%89%ec%88%9c-%ec%b4%ac%ec%98%81%ec%a7%80-22%ea%b3%b3/,2026-07-30
,힘쎈여자도봉순,Strong Woman Do Bong-soon,drama,박보영;박형식;지수,인천문학경기장 암벽장,체육시설,인천 미추홀구 매소홀로 618,,,,,,https://traveltodrama.com/%eb%93%9c%eb%9d%bc%eb%a7%88-%ed%9e%98%ec%8e%88%ec%97%ac%ec%9e%90-%eb%8f%84%eb%b4%89%ec%88%9c-%ec%b4%ac%ec%98%81%ec%a7%80-22%ea%b3%b3/,2026-07-30
,힘쎈여자도봉순,Strong Woman Do Bong-soon,drama,박보영;박형식;지수,서울대공원,공원/관광명소,경기 과천시 대공원광장로 102,,,,,,https://traveltodrama.com/%eb%93%9c%eb%9d%bc%eb%a7%88-%ed%9e%98%ec%8e%88%ec%97%ac%ec%9e%90-%eb%8f%84%eb%b4%89%ec%88%9c-%ec%b4%ac%ec%98%81%ec%a7%80-22%ea%b3%b3/,2026-07-30
,힘쎈여자도봉순,Strong Woman Do Bong-soon,drama,박보영;박형식;지수,낙산공원,공원,서울 종로구 낙산길 41,,,,,,https://kdramamap.com/location/%ed%9e%98%ec%8e%88%ec%97%ac%ec%9e%90%eb%8f%84%eb%b4%89%ec%88%9c-%eb%82%99%ec%82%b0%ea%b3%b5%ec%9b%90-2713/;https://traveltodrama.com/%eb%93%9c%eb%9d%bc%eb%a7%88-%ed%9e%98%ec%8e%88%ec%97%ac%ec%9e%90-%eb%8f%84%eb%b4%89%ec%88%9c-%ec%b4%ac%ec%98%81%ec%a7%80-22%ea%b3%b3/,2026-07-30
