id,title,title_aliases,title_category,title_cast,place_name,place_type,place_address,place_latitude,place_longitude,place_image_url,place_naver_url,scene_description,source_url,last_updated,audience_acc
mv_0001,박하사탕,Peppermint Candy,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=19990050,2026-07-28,850000
mv_0002,정,My Heart,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=19990082,2026-07-28,
mv_0003,동감,Ditto,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20000011,2026-07-28,1200000
mv_0004,섬,The Isle,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20000021,2026-07-28,
mv_0005,공동경비구역 JSA,Joint Security Area /JSA,movie,,남양주 종합촬영소,명소,경기도 남양주시 조안면 북한강로855번길 138,37.60466,127.320173,,https://map.naver.com/p/search/%EB%82%A8%EC%96%91%EC%A3%BC%20%EC%A2%85%ED%95%A9%EC%B4%AC%EC%98%81%EC%86%8C,공동경비구역 JSA의 세트장으로 유명한 곳,assets/한국문화정보원_미디어콘텐츠 영상 촬영지 데이터_20221125.csv,2026-07-28,5830000
mv_0006,공동경비구역 JSA,Joint Security Area /JSA,movie,,영남대학교 본관,명소,경상북도 경산시 대학로 280,35.830065,128.761367,,https://map.naver.com/p/search/%EC%98%81%EB%82%A8%EB%8C%80%ED%95%99%EA%B5%90%20%EB%B3%B8%EA%B4%80,송강호가 입원한 북한의 개성병원,assets/한국문화정보원_미디어콘텐츠 영상 촬영지 데이터_20221125.csv,2026-07-28,5830000
mv_0007,공동경비구역 JSA,Joint Security Area /JSA,movie,,서울과학기술대학교 다산관,명소,서울특별시 노원구 공릉로 232,37.63239,127.078024,,https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%EA%B3%BC%ED%95%99%EA%B8%B0%EC%88%A0%EB%8C%80%ED%95%99%EA%B5%90%20%EB%8B%A4%EC%82%B0%EA%B4%80,공동경비구역 JSA 촬영지이자 시대극 전문 촬영장,assets/한국문화정보원_미디어콘텐츠 영상 촬영지 데이터_20221125.csv,2026-07-28,5830000
mv_0008,공동경비구역 JSA,Joint Security Area /JSA,movie,,고창 청보리밭,명소,전라북도 고창군 공음면 학원농장길 158-6,35.375406,126.542835,,https://map.naver.com/p/search/%EA%B3%A0%EC%B0%BD%20%EC%B2%AD%EB%B3%B4%EB%A6%AC%EB%B0%AD,공동경비구역 JSA 등 다양한 영화의 촬영 장소,assets/한국문화정보원_미디어콘텐츠 영상 촬영지 데이터_20221125.csv,2026-07-28,5830000
mv_0009,공동경비구역 JSA,Joint Security Area /JSA,movie,,금강하굿독,명소,충청남도 서천군 마서면 장산로855번길 13,36.020244,126.736216,,https://map.naver.com/p/search/%EA%B8%88%EA%B0%95%ED%95%98%EA%B5%BF%EB%8F%85,공동경비구역 JSA 촬영지인 금강 하구,assets/한국문화정보원_미디어콘텐츠 영상 촬영지 데이터_20221125.csv,2026-07-28,5830000
mv_0010,공동경비구역 JSA,Joint Security Area /JSA,movie,,신성리 갈대밭,명소,충청남도 서천군 한산면 신성리 125-1,36.068336,126.86074,,https://map.naver.com/p/search/%EC%8B%A0%EC%84%B1%EB%A6%AC%20%EA%B0%88%EB%8C%80%EB%B0%AD,동료를 잃고 이병헌이 헤매던 갈대 숲,assets/한국문화정보원_미디어콘텐츠 영상 촬영지 데이터_20221125.csv,2026-07-28,5830000
mv_0011,반칙왕,The Foul King,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20000030,2026-07-28,1870000
mv_0012,죽거나 혹은 나쁘거나,Die Bad,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20000006,2026-07-28,
mv_0013,낮은 목소리 3 : 숨결,My Own Breathing,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20009175,2026-07-28,
mv_0014,진혼곡,Triangle Stories,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20000732,2026-07-28,
mv_0015,킬리만자로,Kilimanjaro,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20000017,2026-07-28,
mv_0016,불후의 명작,A Masterpiece in My Life,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20000049,2026-07-28,
mv_0017,춘향뎐(春香傳),Chunhyang,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20000029,2026-07-28,
mv_0018,플란다스의 개,Barking Dogs Never Bite,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20000024,2026-07-28,
mv_0019,시월애,Il Mare,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20000005,2026-07-28,
mv_0020,공포택시,Ghost Taxi,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20000034,2026-07-28,
mv_0021,리베라메,Libera Me,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20000055,2026-07-28,1350000
mv_0022,산책,Promenade,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20000025,2026-07-28,
mv_0023,순애보,Asako In Ruby Shoes,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20000056,2026-07-28,
mv_0024,행복한 장의사,The Happy Funeral Director,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=19990055,2026-07-28,
mv_0025,청춘,Plum Blossom,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20000036,2026-07-28,
mv_0026,물고기자리,Pisces,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20000040,2026-07-28,
mv_0027,진실게임,Truth Game,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20000022,2026-07-28,
mv_0028,오! 수정,Virgin Stripped Bare By Her Bachelors,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20000018,2026-07-28,
mv_0029,아나키스트,The Anarchists,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20000016,2026-07-28,
mv_0030,비천무,Bichunmoo,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20000013,2026-07-28,2100000
mv_0031,인터뷰,Interview,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20000015,2026-07-28,
mv_0032,가위,A nightmare,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20000009,2026-07-28,1000000
mv_0033,대학로에서 매춘하다가 토막살해당한 여고생 아직 대학로에 있다,Teenage Hooker Become Killing Machine,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20000047,2026-07-28,
mv_0034,배니싱 트윈,Vanishing Twin,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20000032,2026-07-28,
mv_0035,종합병원(천일동안),General Hospital The Movie: A Thousand Days,movie,,,,,,,,,,https://www.kobis.or.kr/kobis/business/mast/mvie/searchMovieDtl.do?code=20000019,2026-07-28,
