location_id,place_name,place_category,latitude,longitude,coordinate_status,address,content_id,content_title,content_title_en,content_type,cast_members,episode,scene_no,episode_status,scene_description,image_url,naver_map_url,source_url,collected_by,updated_at
LOC-0001,HYBE 사옥,건물/사옥,37.52454762867078,126.96419767358931,kakao_local,서울 용산구 한강대로 42,,HYBE,HYBE,kpop,"방탄소년단, 세븐틴, 투모로우바이투게더, 뉴진스",,,not_applicable,하이브 레이블 통합 사옥. 팬들이 외관 촬영·인증하는 대표 성지. 내부는 일반 관람 불가.,,,https://namu.wiki/w/HYBE,claude-ai,2026-07-28
LOC-0002,SM엔터테인먼트 사옥,건물/사옥,37.544154478073516,127.04335809286884,kakao_local,서울 성동구 왕십리로 83-21,,SM Entertainment,SM Entertainment,kpop,"에스파, NCT, 라이즈, 샤이니",,,not_applicable,성수동 아크로서울포레스트 D타워. 서울숲 상권과 붙어 있어 도보 연계 가능.,,,https://www.smentertainment.com/en/contact/location/,claude-ai,2026-07-28
LOC-0003,JYP엔터테인먼트 사옥,건물/사옥,37.52403016967309,127.1291218554006,kakao_local,서울 강동구 강동대로 205,,JYP Entertainment,JYP Entertainment,kpop,"트와이스, 스트레이 키즈, 있지, 엔믹스",,,not_applicable,강동구 강동대로 205 JYP센터.,,,https://www.jype.com/ko/JYP/Contact,claude-ai,2026-07-28
LOC-0004,YG엔터테인먼트 사옥,건물/사옥,37.54885386444588,126.9076473683962,kakao_local,서울 마포구 희우정로1길 7,,YG Entertainment,YG Entertainment,kpop,"블랙핑크, 트레저, 베이비몬스터",,,not_applicable,합정동 소재. 구사옥·신사옥 두 동이 붙어 있음.,,,https://namu.wiki/w/YG%EC%97%94%ED%84%B0%ED%85%8C%EC%9D%B8%EB%A8%BC%ED%8A%B8,claude-ai,2026-07-28
LOC-0005,주문진 BTS 버스정류장,포토존,37.9124066163012,128.817101815108,kakao_local,강원특별자치도 강릉시 주문진읍 향호리 8-39,,방탄소년단,BTS,kpop,방탄소년단,,,not_applicable,You Never Walk Alone 앨범 재킷 촬영지. 촬영 당시 임시 설치물을 철거 후 포토존으로 재현. 향호해변 인접.,,,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=affa8a02-ae7b-4ad7-9bae-728b6ea04607,claude-ai,2026-07-28
LOC-0006,KSPO DOME(올림픽체조경기장),공연장,37.519261232854504,127.12739989041407,kakao_local,서울 송파구 올림픽로 424,,K-POP 콘서트,K-POP Concerts,kpop,,,,not_applicable,K-POP 대형 콘서트 대표 공연장.,,,,claude-ai,2026-07-28
LOC-0007,고척스카이돔,공연장,37.49821220764421,126.8670889679075,kakao_local,서울 구로구 경인로 430,,K-POP 콘서트,K-POP Concerts,kpop,,,,not_applicable,돔 공연 개최지. 대형 아이돌 투어 서울 공연이 자주 열림.,,,,claude-ai,2026-07-28
LOC-0008,인스파이어 아레나,공연장,37.46668401261223,126.39058830028088,kakao_local,인천 영종구 공항문화로 127,,K-POP 콘서트,K-POP Concerts,kpop,,,,not_applicable,인천 영종도. 국내 최초 전용 아레나급 공연장.,,,,claude-ai,2026-07-28
LOC-0009,서울숲,공원,37.5443222301513,127.037617759165,kakao_local,서울 성동구 성수동1가 678-1,,K-POP 성수 코스,Seongsu K-POP Course,kpop,,,,not_applicable,SM 사옥 인접. MV·화보 배경으로 자주 쓰이며 성수 카페거리와 연결.,,,,claude-ai,2026-07-28
LOC-0010,롯데월드,테마파크,37.51113059993883,127.09811980036908,kakao_local,서울 송파구 올림픽로 240,,K-POP MV,K-POP MV,kpop,,,,not_applicable,다수 아이돌 MV·예능 촬영지.,,,,claude-ai,2026-07-28
LOC-0011,성산일출봉,자연/명소,33.4591349705437,126.940537521366,kakao_local,제주특별자치도 서귀포시 성산읍 성산리 78,,폭싹 속았수다,When Life Gives You Tangerines,drama,"아이유, 박보검",,,needs_manual,애순이 삼천배를 올리는 장면 배경.,,,https://www.visitjeju.net/kr/themtour/view?contentsid=CNTS_300000000013461,claude-ai,2026-07-28
LOC-0012,김녕해수욕장,해변,33.5574388587079,126.759313988844,kakao_local,제주특별자치도 제주시 구좌읍 해맞이해안로 7-6,,폭싹 속았수다,When Life Gives You Tangerines,drama,"아이유, 박보검",,,needs_manual,애순의 어머니와 해녀들이 물질하던 장면.,,,https://www.visitjeju.net/kr/themtour/view?contentsid=CNTS_300000000013461,claude-ai,2026-07-28
LOC-0013,제주목관아,유적/한옥,33.5142023610171,126.522003486182,kakao_local,제주특별자치도 제주시 관덕로 25,,폭싹 속았수다,When Life Gives You Tangerines,drama,"아이유, 박보검",,,needs_manual,극 중 관아 장면 배경.,,,https://www.gukjenews.com/news/articleView.html?idxno=3237209,claude-ai,2026-07-28
LOC-0014,협재해수욕장,해변,33.394314495016246,126.23965234966808,kakao_local,제주특별자치도 제주시 한림읍 협재리,,폭싹 속았수다,When Life Gives You Tangerines,drama,"아이유, 박보검",,,needs_manual,제주 해변 장면.,,,https://www.gukjenews.com/news/articleView.html?idxno=3237209,claude-ai,2026-07-28
LOC-0015,고창 학원농장,자연/명소,35.37539053097195,126.54323017579813,kakao_local,전북특별자치도 고창군 공음면 학원농장길 150,,폭싹 속았수다,When Life Gives You Tangerines,drama,"아이유, 박보검",,,needs_manual,청보리밭 장면 배경.,,,https://www.gukjenews.com/news/articleView.html?idxno=3237209,claude-ai,2026-07-28
LOC-0016,중앙고등학교,학교,37.584025386322,126.98684423018,kakao_local,서울 종로구 창덕궁길 164,,폭싹 속았수다,When Life Gives You Tangerines,drama,"아이유, 박보검",,,needs_manual,학교 장면. 다수 드라마가 함께 쓰는 촬영지.,,,https://www.gukjenews.com/news/articleView.html?idxno=3237209,claude-ai,2026-07-28
LOC-0017,안동 하회마을,유적/한옥,36.5389828267328,128.518141153901,kakao_local,경북 안동시 풍천면 하회리 1176-1,,미스터 션샤인,Mr. Sunshine,drama,"이병헌, 김태리",,,needs_manual,고택 장면 촬영지. 전통 한옥 보존 지구.,,,https://www.ddaily.co.kr/page/view/2026062615191847623,claude-ai,2026-07-28
LOC-0018,논산 선샤인랜드,세트장,36.1024882037596,127.10661111460092,kakao_local,충남 논산시 연무읍 봉황로 102,,미스터 션샤인,Mr. Sunshine,drama,"이병헌, 김태리",,,needs_manual,드라마 전용 세트장. 한성 거리 재현.,,,,claude-ai,2026-07-28
LOC-0019,주문진방파제(도깨비 방파제),해변,37.8798554564007,128.834204251177,kakao_local,강원특별자치도 강릉시 주문진읍 교항리,,도깨비,Guardian: The Lonely and Great God,drama,"공유, 김고은",1,,verified,"1화. 은탁이 생일에 김신을 소환해 처음 마주치고, 김신이 메밀꽃을 건네는 장면.",,,https://namu.wiki/w/%EA%B9%80%EC%8B%A0(%EB%8F%84%EA%B9%A8%EB%B9%84)/%EC%9E%91%EC%A4%91%20%ED%96%89%EC%A0%81,claude-ai,2026-07-28
LOC-0020,태백 태양의 후예 세트장,세트장,37.16039884887507,129.04312788710092,kakao_local,강원특별자치도 태백시 통동 산 67-38,,태양의 후예,Descendants of the Sun,drama,"송중기, 송혜교",,,needs_manual,우르크 배경 세트. 태백 폐광 부지 활용.,,,,claude-ai,2026-07-28
LOC-0021,녹사평역,역/교통,37.5347227952064,126.9865496751,kakao_local,서울 용산구 녹사평대로 지하 195,,이태원 클라스,Itaewon Class,drama,"박서준, 김다미",,,needs_manual,이태원 상권 진입부. 극 중 이동 동선의 기준점.,,,,claude-ai,2026-07-28
LOC-0022,경리단길,거리,37.5397580614249,126.991721972247,kakao_local,서울 용산구 이태원동 210-5,,이태원 클라스,Itaewon Class,drama,"박서준, 김다미",,,needs_manual,단밤 포차 주변 거리 분위기 배경.,,,,claude-ai,2026-07-28
LOC-0023,창원 북부리 팽나무,자연/명소,35.3491062321099,128.72753813773,kakao_local,경남 창원시 의창구 대산면 북부리 102-1,,이상한 변호사 우영우,Extraordinary Attorney Woo,drama,"박은빈, 강태오",7~9,,verified,소덕동 팽나무 에피소드의 실제 나무. 천연기념물.,,,https://www.thedrive.co.kr/news/newsview.php?ncode=1065600493723829,claude-ai,2026-07-28
LOC-0024,쁘띠프랑스,테마파크,37.71499518010759,127.49053682305495,kakao_local,경기 가평군 청평면 호반로 1063,,별에서 온 그대,My Love from the Star,drama,"김수현, 전지현",,,needs_manual,도민준·천송이 장면 배경. 가평.,,,,claude-ai,2026-07-28
LOC-0025,구룡포 근대문화역사거리,거리,35.990877724431,129.560603237807,kakao_local,경북 포항시 남구 구룡포읍 구룡포길 145,,갯마을 차차차,Hometown Cha-Cha-Cha,drama,"신민아, 김선호",,,needs_manual,공진읍 배경 거리. 일본식 가옥 보존 구역. 인근 석병1리 빨간등대는 혜진이 두식에게 고백하는 장면 배경.,,,https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=3e09029e-387a-400d-80f7-a3aa67d093a6,claude-ai,2026-07-28
LOC-0026,청하시장,시장,36.19705421304869,129.33977153030838,kakao_local,경북 포항시 북구 청하면 미남리 382-3,,갯마을 차차차,Hometown Cha-Cha-Cha,drama,"신민아, 김선호",,,needs_manual,극 중 공진시장. 방영 후 시장 이름이 '청하공진시장'으로 바뀜. 시장 안에 공진반점·보라슈퍼·청호철물·오윤카페(한낮에커피달밤에맥주)가 있음.,,,https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=3e09029e-387a-400d-80f7-a3aa67d093a6,claude-ai,2026-07-28
LOC-0027,탄금호 무지개길,자연/명소,37.0122945148519,127.8695481885,kakao_local,충북 충주시 중앙탑면 루암리 642,,사랑의 불시착,Crash Landing on You,drama,"현빈, 손예진",,,needs_manual,감성 장면 배경. 달 조형물·포토존 설치.,,,https://www.ddaily.co.kr/page/view/2026062615191847623,claude-ai,2026-07-28
LOC-0028,전동성당,건물/사옥,35.8133287976839,127.149221479663,kakao_local,전북특별자치도 전주시 완산구 태조로 51,,스물다섯 스물하나,Twenty-Five Twenty-One,drama,"김태리, 남주혁",,,needs_manual,전주 배경 장면.,,,,claude-ai,2026-07-28
LOC-0029,인천 개항장 거리,거리,37.4728901762073,126.620862305307,kakao_local,인천 제물포구 중앙동1가,,도깨비,Guardian: The Lonely and Great God,drama,"공유, 김고은",,,needs_manual,근대 건축 거리. 다수 시대극이 함께 사용.,,,,claude-ai,2026-07-28
LOC-0030,N서울타워,전망대,37.5513049702718,126.988230622132,kakao_local,서울 용산구 남산공원길 105,MANUAL-kdh-2025,케이팝 데몬 헌터스,K-Pop Demon Hunters,movie,,,,not_applicable,오프닝 서울 전경 및 옥상 장면 모티프. 극 중 장소가 아닌 배경 참조임에 유의.,,,,claude-ai,2026-07-28
LOC-0031,명동 거리,거리,37.5620769169639,126.984901336292,kakao_local,서울 중구 명동2가,MANUAL-kdh-2025,케이팝 데몬 헌터스,K-Pop Demon Hunters,movie,,,,not_applicable,도심 추격 시퀀스 배경 모티프.,,,,claude-ai,2026-07-28
LOC-0032,북촌한옥마을,유적/한옥,37.581768153833444,126.98481245064092,kakao_local,서울 종로구 북촌로 53,MANUAL-kdh-2025,케이팝 데몬 헌터스,K-Pop Demon Hunters,movie,,,,not_applicable,한옥 골목 배경 모티프.,,,,claude-ai,2026-07-28
LOC-0033,광장시장,시장,37.57005529646949,126.99894728223626,kakao_local,서울 종로구 창경궁로 88,MANUAL-kdh-2025,케이팝 데몬 헌터스,K-Pop Demon Hunters,movie,,,,not_applicable,엔딩 먹거리 시퀀스 배경 모티프.,,,,claude-ai,2026-07-28
LOC-0034,자하문터널 계단,거리,37.59109381053928,126.96529582862915,kakao_local,서울 종로구 청운동 산 4-34,KOBIS-20183782,기생충,Parasite,movie,"송강호, 이선균, 조여정, 최우식, 박소담",,,not_applicable,폭우 속 기택 가족이 집으로 내려가는 계단 장면. 종로구 자하문로 219 인근.,,,https://mediahub.seoul.go.kr/archives/1268956,claude-ai,2026-07-28
LOC-0035,돼지쌀슈퍼(극중 우리슈퍼),상점,37.5568080014297,126.961563365721,kakao_local,서울 마포구 손기정로 32,KOBIS-20183782,기생충,Parasite,movie,"최우식, 박서준",,,not_applicable,기우가 민혁에게 과외 자리를 제안받는 장면. 극 중 '우리슈퍼'.,,,https://mediahub.seoul.go.kr/archives/1268956,claude-ai,2026-07-28
LOC-0036,기택 동네 계단,거리,37.55655743249014,126.96128282034569,kakao_local,서울 마포구 손기정로6길 3-2,KOBIS-20183782,기생충,Parasite,movie,박소담,,,not_applicable,기정이 복숭아를 들고 박 사장 집으로 향하는 장면.,,,https://mediahub.seoul.go.kr/archives/1268956,claude-ai,2026-07-28
LOC-0037,감천문화마을,마을,35.09740872250286,129.01056080474402,kakao_local,부산 사하구 감천동 1-17,KOBIS-20134803,변호인,The Attorney,movie,송강호,,,not_applicable,부산 산복도로 마을 전경. 다수 작품이 함께 사용.,,,,claude-ai,2026-07-28
LOC-0038,국제시장,시장,35.101319053986096,129.02818525258604,kakao_local,부산 중구 신창동4가 56-4,KOBIS-20137048,국제시장,Ode to My Father,movie,"황정민, 김윤진",,,not_applicable,극 중 '꽃분이네'가 있는 시장 본거리.,,,,claude-ai,2026-07-28
LOC-0039,해운대해수욕장,해변,35.1585232170784,129.159854668484,kakao_local,부산 해운대구 우동,KOBIS-20090074,해운대,Haeundae,movie,"설경구, 하지원",,,not_applicable,쓰나미 시퀀스 배경.,,,,claude-ai,2026-07-28
LOC-0040,부산역,역/교통,35.11520340622514,129.04154985192403,kakao_local,부산 동구 중앙대로 206,KOBIS-20156564,부산행,Train to Busan,movie,"공유, 마동석, 정유미",,,not_applicable,종착지 장면 배경.,,,,claude-ai,2026-07-28
LOC-0041,울돌목,자연/명소,34.571897924816916,126.30445512970756,kakao_local,전남광주통합특별시 진도군 군내면 녹진리,KOBIS-20129370,명량,The Admiral: Roaring Currents,movie,"최민식, 류승룡",,,not_applicable,명량해전의 실제 해역. 세트가 아닌 역사 현장.,,,,claude-ai,2026-07-28
LOC-0042,경복궁,유적/한옥,37.577613288258206,126.97689786832184,kakao_local,서울 종로구 사직로 161,KOBIS-20126091,관상,The Face Reader,movie,"송강호, 이정재",,,not_applicable,궁궐 장면. 다수 사극이 함께 사용.,,,,claude-ai,2026-07-28
LOC-0043,창덕궁,유적/한옥,37.57964694739535,126.99099980677127,kakao_local,서울 종로구 율곡로 99,KOBIS-20148846,사도,The Throne,movie,"송강호, 유아인",,,not_applicable,궁궐 장면.,,,,claude-ai,2026-07-28
LOC-0044,합천영상테마파크,세트장,35.54875124468043,128.0718460684288,kakao_local,경남 합천군 용주면 합천호수로 757,KOBIS-20162869,택시운전사,A Taxi Driver,movie,"송강호, 유해진",,,not_applicable,1980년대 거리 재현 세트. 다수 시대극이 함께 사용.,,,,claude-ai,2026-07-28
LOC-0045,수원 통닭거리,거리,37.27952174062038,127.0177516366243,kakao_local,경기 수원시 팔달구 남수동 158-2,KOBIS-20182530,극한직업,Extreme Job,movie,"류승룡, 이하늬, 진선규",,,not_applicable,치킨집 소재의 배경 상권. 극 중 직접 촬영지와는 구분 필요.,,,,claude-ai,2026-07-28
LOC-0046,남산골한옥마을,유적/한옥,37.55954236008625,126.99473828260912,kakao_local,서울 중구 퇴계로34길 28,KOBIS-20123501,군도: 민란의 시대,Kundo,movie,"하정우, 강동원",,,not_applicable,한옥 장면 배경.,,,,claude-ai,2026-07-28
LOC-0047,아침고요수목원,공원,37.74300402014755,127.35166124525132,kakao_local,경기 가평군 상면 수목원로 427,,편지,The Letter,movie,,,,not_applicable,가평 소재. 영화·드라마 다수 촬영.,,,,claude-ai,2026-07-28
LOC-0048,서울월드컵경기장,공연장,37.56825003712418,126.89724365713197,kakao_local,서울 마포구 월드컵로 240,,런닝맨,Running Man,variety,,,,needs_manual,레이스 미션 장소로 반복 등장. K-POP 대형 공연도 개최.,,,,claude-ai,2026-07-28
LOC-0049,경복궁역,역/교통,37.5758061234865,126.973691352767,kakao_local,서울 종로구 사직로 지하 130,,런닝맨,Running Man,variety,,,,needs_manual,레이스 이동 거점으로 반복 등장.,,,,claude-ai,2026-07-28
