geonameid,official_rr,hangul,feature_class,feature_code,latitude,longitude,variant,variant_type,is_historic,same_name_diff_spelling
1832006,Yong Seom,,T,ISL,34.2725,127.27833,Ryū-sho,other_variant,,
1832006,Yong Seom,,T,ISL,34.2725,127.27833,Yong-sŏ,MR,,
1832006,Yong Seom,,T,ISL,34.2725,127.27833,Yong-sŏm,MR,,
1832007,Yongi,용이,P,PPL,35.67557,126.98807,Yongi-ri,other_variant,,
1832008,Tokusan-ri,,P,PPL,35.13333,128.7,Tŏksan-dong,MR,,
1832008,Tokusan-ri,,P,PPL,35.13333,128.7,Tŏksan-ni,MR,,
1832009,Tahung-ji,,H,RSV,36.60778,126.8025,Yedang-jŏsuji,MR,,
1832010,Songch’ŏl-li,,P,PPL,36.5574,129.4031,Shosendō,other_variant,,
1832010,Songch’ŏl-li,,P,PPL,36.5574,129.4031,Shōsen,other_variant,,
1832010,Songch’ŏl-li,,P,PPL,36.5574,129.4031,Songch’ŏn,MR,,
1832010,Songch’ŏl-li,,P,PPL,36.5574,129.4031,Songch’ŏn-dong,MR,,
1832011,Sanwŏl-li,,P,PPL,35.63333,126.81667,Sanwŏn-ni,MR,,
1832012,Puksam-dong,,P,PPLX,37.48495,129.08468,Hokusan-men,other_variant,,
1832012,Puksam-dong,,P,PPLX,37.48495,129.08468,Pukp’yong-up,MR,,
1832012,Puksam-dong,,P,PPLX,37.48495,129.08468,Puksam-myŏn,MR,,
1832012,Puksam-dong,,P,PPLX,37.48495,129.08468,Puksan-myŏn,MR,,
1832013,Yeongdeungpoyeok,영등포 / 영등포역,S,RSTN,37.5157,126.9076,Namkyŏngsŏng,MR,,
1832013,Yeongdeungpoyeok,영등포 / 영등포역,S,RSTN,37.5157,126.9076,Yeongdeungpo,other_variant,,
1832013,Yeongdeungpoyeok,영등포 / 영등포역,S,RSTN,37.5157,126.9076,Yongdŭngp’o,MR,,
1832013,Yeongdeungpoyeok,영등포 / 영등포역,S,RSTN,37.5157,126.9076,Yongdŭngp’o-yŏk,MR,,
1832014,Kwangsŏm-gut,,T,PT,35.08333,129.06667,Kōsen-matsu,other_variant,,
1832015,Heunghae,흥해,P,PPLA3,36.10945,129.34517,Funhai,other_variant,,
1832015,Heunghae,흥해,P,PPLA3,36.10945,129.34517,Heung-hai,other_variant,,
1832015,Heunghae,흥해,P,PPLA3,36.10945,129.34517,Hŭnghae,MR,,
1832015,Heunghae,흥해,P,PPLA3,36.10945,129.34517,Kōkai,other_variant,,
1832015,Heunghae,흥해,P,PPLA3,36.10945,129.34517,Ŭich’ang,MR,,
1832016,Deception Bay,,H,HBR,34.83333,128.5,Hadun-p’o,MR,,
1832017,Janggundo,장군도,T,ISLS,34.26721,126.45156,Chang-gundo,other_variant,,
1832017,Janggundo,장군도,T,ISLS,34.26721,126.45156,Chō-guntō,other_variant,,
1832018,Chuk-to,,T,ISL,34.72861,128.53111,Chiku-tō,other_variant,,
1832018,Chuk-to,,T,ISL,34.72861,128.53111,Jug Do,other_variant,,
1832018,Chuk-to,,T,ISL,34.72861,128.53111,Tiku Tō,other_variant,,
1832019,Chungnyeongcheon,죽령천,H,STM,36.88222,128.35417,Chikurei-sen,other_variant,,
1832019,Chungnyeongcheon,죽령천,H,STM,36.88222,128.35417,Chungnyŏng-ch’ŏn,MR,,
1832020,Yuyu,유유,P,PPL,35.62472,126.515,Yuyu-dong,other_variant,,
1832021,Yuyangni,,L,LCTY,37.78333,127.11667,Yangju,other_variant,,
1832021,Yuyangni,,L,LCTY,37.78333,127.11667,Yuyang-ni,spacing_hyphen,,Y
1832021,Yuyangni,,L,LCTY,37.78333,127.11667,Yōshū,other_variant,,
1832022,Yuyang-ni,,L,LCTY,34.71667,126.91667,Yuryangni-ilgu,other_variant,,
1832024,Yuwŏl-li,,L,LCTY,35.2983,128.49154,Yuwŏn,MR,,
1832024,Yuwŏl-li,,L,LCTY,35.2983,128.49154,Yuwŏn-dong,MR,,
1832024,Yuwŏl-li,,L,LCTY,35.2983,128.49154,Yuwŏn-ni,MR,,
1832025,Yutujeong,유투정,P,PPL,35.09997,126.3279,Yut’ujŏng,MR,,
1832026,Yutangchon,유탕촌,P,PPL,35.31564,126.81794,Yut’ang,MR,,
1832026,Yutangchon,유탕촌,P,PPL,35.31564,126.81794,Yut’ang-ni,MR,,
1832028,Yusuam,유수암,P,PPL,33.43366,126.40351,Yusu-dong,other_variant,,
1832029,Yusu,,P,PPL,35.31667,128.18333,Yusu-dong,other_variant,,
1832030,Yunae-ri,Yusŏ-ri / 유서리,L,LCTY,34.33083,126.98722,Ryūsei-ri,other_variant,,
1832034,Yuseong,,P,PPLA2,36.35389,127.33667,Jujō,other_variant,,
1832034,Yuseong,,P,PPLA2,36.35389,127.33667,Yusŏng,MR,,
1832036,Yusil,,P,PPL,37.30333,127.22,Yusil-li,other_variant,,
1832037,Yusal-li,유산리,P,PPLL,37.23722,127.43306,Yusan-ni,other_variant,,
1832037,Yusal-li,유산리,P,PPLL,37.23722,127.43306,Yusan-ri,other_variant,,
1832038,Yusal-li,유산리,L,LCTY,34.71643,127.04671,Yusan-ni,other_variant,,
1832039,Yusang-ni,,L,LCTY,36.8,128,Yosang-ni,other_variant,,
1832041,Yusan,유산,P,PPL,35.25487,126.9579,Yusan-ni,other_variant,,
1832042,Yuryang-dong,,L,LCTY,36.809,127.1803,Yuryang-ni,other_variant,,
1832042,Yuryang-dong,,L,LCTY,36.809,127.1803,Yuyang-ni,other_variant,,
1832043,Yullyang-dong,,P,PPLL,36.66778,127.50222,Yullyang-ni,other_variant,,
1832043,Yullyang-dong,,P,PPLL,36.66778,127.50222,Yuryang-ni,other_variant,,
