id,title,title_aliases,title_category,title_cast,place_name,place_type,place_address,place_latitude,place_longitude,place_image_url,place_naver_url,scene_description,source_url,last_updated
st_0001,HYBE,,kpop,방탄소년단;세븐틴;투모로우바이투게더;뉴진스,HYBE 사옥,건물/사옥,서울 용산구 한강대로 42,37.524548,126.964198,,,하이브 레이블 통합 사옥. 팬들이 외관 촬영·인증하는 대표 성지. 내부는 일반 관람 불가.,https://namu.wiki/w/HYBE,2026-07-28
st_0002,SM Entertainment,,kpop,에스파;NCT;라이즈;샤이니,SM엔터테인먼트 사옥,건물/사옥,서울 성동구 왕십리로 83-21,37.544154,127.043358,,,성수동 아크로서울포레스트 D타워. 서울숲 상권과 붙어 있어 도보 연계 가능.,https://www.smentertainment.com/en/contact/location/,2026-07-28
st_0003,JYP Entertainment,,kpop,트와이스;스트레이 키즈;있지;엔믹스,JYP엔터테인먼트 사옥,건물/사옥,서울 강동구 강동대로 205,37.524030,127.129122,,,강동구 강동대로 205 JYP센터.,https://www.jype.com/ko/JYP/Contact,2026-07-28
st_0004,YG Entertainment,,kpop,블랙핑크;트레저;베이비몬스터,YG엔터테인먼트 사옥,건물/사옥,서울 마포구 희우정로1길 7,37.548854,126.907647,,,합정동 소재. 구사옥·신사옥 두 동이 붙어 있음.,https://namu.wiki/w/YG%EC%97%94%ED%84%B0%ED%85%8C%EC%9D%B8%EB%A8%BC%ED%8A%B8,2026-07-28
st_0005,방탄소년단,BTS,kpop,방탄소년단,주문진 BTS 버스정류장,포토존,강원특별자치도 강릉시 주문진읍 향호리 8-39,37.912407,128.817102,,,You Never Walk Alone 앨범 재킷 촬영지. 촬영 당시 임시 설치물을 철거 후 포토존으로 재현. 향호해변 인접.,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=affa8a02-ae7b-4ad7-9bae-728b6ea04607,2026-07-28
st_0006,K-POP 콘서트,K-POP Concerts,kpop,,KSPO DOME(올림픽체조경기장),공연장,서울 송파구 올림픽로 424,37.519261,127.127400,,,K-POP 대형 콘서트 대표 공연장.,,2026-07-28
st_0007,K-POP 콘서트,K-POP Concerts,kpop,,고척스카이돔,공연장,서울 구로구 경인로 430,37.498212,126.867089,,,돔 공연 개최지. 대형 아이돌 투어 서울 공연이 자주 열림.,,2026-07-28
st_0008,K-POP 콘서트,K-POP Concerts,kpop,,인스파이어 아레나,공연장,인천 영종구 공항문화로 127,37.466684,126.390588,,,인천 영종도. 국내 최초 전용 아레나급 공연장.,,2026-07-28
st_0009,K-POP 성수 코스,Seongsu K-POP Course,kpop,,서울숲,공원,서울 성동구 성수동1가 678-1,37.544322,127.037618,,,SM 사옥 인접. MV·화보 배경으로 자주 쓰이며 성수 카페거리와 연결.,,2026-07-28
st_0010,K-POP MV,,kpop,,롯데월드,테마파크,서울 송파구 올림픽로 240,37.511131,127.098120,,,다수 아이돌 MV·예능 촬영지.,,2026-07-28
st_0011,폭싹 속았수다,When Life Gives You Tangerines,drama,아이유;박보검,성산일출봉,자연/명소,제주특별자치도 서귀포시 성산읍 성산리 78,33.459135,126.940538,,,애순이 삼천배를 올리는 장면 배경.,https://www.visitjeju.net/kr/themtour/view?contentsid=CNTS_300000000013461,2026-07-28
st_0012,폭싹 속았수다,When Life Gives You Tangerines,drama,아이유;박보검,김녕해수욕장,해변,제주특별자치도 제주시 구좌읍 해맞이해안로 7-6,33.557439,126.759314,,,애순의 어머니와 해녀들이 물질하던 장면.,https://www.visitjeju.net/kr/themtour/view?contentsid=CNTS_300000000013461,2026-07-28
st_0013,폭싹 속았수다,When Life Gives You Tangerines,drama,아이유;박보검,제주목관아,유적/한옥,제주특별자치도 제주시 관덕로 25,33.514202,126.522003,,,극 중 관아 장면 배경.,https://www.gukjenews.com/news/articleView.html?idxno=3237209,2026-07-28
st_0014,폭싹 속았수다,When Life Gives You Tangerines,drama,아이유;박보검,협재해수욕장,해변,제주특별자치도 제주시 한림읍 협재리,33.394314,126.239652,,,제주 해변 장면.,https://www.gukjenews.com/news/articleView.html?idxno=3237209,2026-07-28
st_0015,폭싹 속았수다,When Life Gives You Tangerines,drama,아이유;박보검,고창 학원농장,자연/명소,전북특별자치도 고창군 공음면 학원농장길 150,35.375391,126.543230,,,청보리밭 장면 배경.,https://www.gukjenews.com/news/articleView.html?idxno=3237209,2026-07-28
st_0016,폭싹 속았수다,When Life Gives You Tangerines,drama,아이유;박보검,중앙고등학교,학교,서울 종로구 창덕궁길 164,37.584025,126.986844,,,학교 장면. 다수 드라마가 함께 쓰는 촬영지.,https://www.gukjenews.com/news/articleView.html?idxno=3237209,2026-07-28
st_0017,미스터 션샤인,Mr. Sunshine,drama,이병헌;김태리,안동 하회마을,유적/한옥,경북 안동시 풍천면 하회리 1176-1,36.538983,128.518141,,,고택 장면 촬영지. 전통 한옥 보존 지구.,https://www.ddaily.co.kr/page/view/2026062615191847623,2026-07-28
st_0018,미스터 션샤인,Mr. Sunshine,drama,이병헌;김태리,논산 선샤인랜드,세트장,충남 논산시 연무읍 봉황로 102,36.102488,127.106611,,,드라마 전용 세트장. 한성 거리 재현.,,2026-07-28
st_0019,도깨비,Guardian: The Lonely and Great God,drama,공유;김고은,주문진방파제(도깨비 방파제),해변,강원특별자치도 강릉시 주문진읍 교항리,37.879855,128.834204,,,"1화. 은탁이 생일에 김신을 소환해 처음 마주치고, 김신이 메밀꽃을 건네는 장면.",https://namu.wiki/w/%EA%B9%80%EC%8B%A0(%EB%8F%84%EA%B9%A8%EB%B9%84)/%EC%9E%91%EC%A4%91%20%ED%96%89%EC%A0%81,2026-07-28
st_0020,태양의 후예,Descendants of the Sun,drama,송중기;송혜교,태백 태양의 후예 세트장,세트장,강원특별자치도 태백시 통동 산 67-38,37.160399,129.043128,,,우르크 배경 세트. 태백 폐광 부지 활용.,,2026-07-28
st_0021,이태원 클라스,Itaewon Class,drama,박서준;김다미,녹사평역,역/교통,서울 용산구 녹사평대로 지하 195,37.534723,126.986550,,,이태원 상권 진입부. 극 중 이동 동선의 기준점.,,2026-07-28
st_0022,이태원 클라스,Itaewon Class,drama,박서준;김다미,경리단길,거리,서울 용산구 이태원동 210-5,37.539758,126.991722,,,단밤 포차 주변 거리 분위기 배경.,,2026-07-28
st_0023,이상한 변호사 우영우,Extraordinary Attorney Woo,drama,박은빈;강태오,창원 북부리 팽나무,자연/명소,경남 창원시 의창구 대산면 북부리 102-1,35.349106,128.727538,,,소덕동 팽나무 에피소드의 실제 나무. 천연기념물.,https://www.thedrive.co.kr/news/newsview.php?ncode=1065600493723829,2026-07-28
st_0024,별에서 온 그대,My Love from the Star,drama,김수현;전지현,쁘띠프랑스,테마파크,경기 가평군 청평면 호반로 1063,37.714995,127.490537,,,도민준·천송이 장면 배경. 가평.,,2026-07-28
st_0025,갯마을 차차차,Hometown Cha-Cha-Cha,drama,신민아;김선호,구룡포 근대문화역사거리,거리,경북 포항시 남구 구룡포읍 구룡포길 145,35.990878,129.560603,,,공진읍 배경 거리. 일본식 가옥 보존 구역. 인근 석병1리 빨간등대는 혜진이 두식에게 고백하는 장면 배경.,https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=3e09029e-387a-400d-80f7-a3aa67d093a6,2026-07-28
st_0026,갯마을 차차차,Hometown Cha-Cha-Cha,drama,신민아;김선호,청하시장,시장,경북 포항시 북구 청하면 미남리 382-3,36.197054,129.339772,,,극 중 공진시장. 방영 후 시장 이름이 '청하공진시장'으로 바뀜. 시장 안에 공진반점·보라슈퍼·청호철물·오윤카페(한낮에커피달밤에맥주)가 있음.,https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=3e09029e-387a-400d-80f7-a3aa67d093a6,2026-07-28
st_0027,사랑의 불시착,Crash Landing on You,drama,현빈;손예진,탄금호 무지개길,자연/명소,충북 충주시 중앙탑면 루암리 642,37.012295,127.869548,,,감성 장면 배경. 달 조형물·포토존 설치.,https://www.ddaily.co.kr/page/view/2026062615191847623,2026-07-28
st_0028,스물다섯 스물하나,Twenty-Five Twenty-One,drama,김태리;남주혁,전동성당,건물/사옥,전북특별자치도 전주시 완산구 태조로 51,35.813329,127.149221,,,전주 배경 장면.,,2026-07-28
st_0029,도깨비,Guardian: The Lonely and Great God,drama,공유;김고은,인천 개항장 거리,거리,인천 제물포구 중앙동1가,37.472890,126.620862,,,근대 건축 거리. 다수 시대극이 함께 사용.,,2026-07-28
st_0030,케이팝 데몬 헌터스,K-Pop Demon Hunters,movie,,N서울타워,전망대,서울 용산구 남산공원길 105,37.551305,126.988231,,,오프닝 서울 전경 및 옥상 장면 모티프. 극 중 장소가 아닌 배경 참조임에 유의.,,2026-07-28
